measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,1593.0,25139.0,25139.0,8908.0,140600.0,140600.0
2003-02-01,,,,1586.4160000000002,26398.0,26398.0,9501.208,158118.0,158118.0
2003-03-01,,,,1529.0,23967.0,23967.0,10638.0,166716.0,166716.0
2003-04-01,,,,1701.0,27885.0,27885.0,10145.0,166345.0,166345.0
2003-05-01,,,,1270.0,21050.0,21050.0,9918.0,164388.0,164388.0
2003-06-01,,,,1103.0,17961.0,17961.0,7634.0,124251.0,124251.0
2003-07-01,,,,1215.0,18762.0,18762.0,10488.0,161890.0,161890.0
2003-08-01,,,,1501.0,23309.0,23309.0,10781.0,167476.0,167476.0
2003-09-01,,,,1606.0,24339.0,24339.0,10519.0,159448.0,159448.0
2003-10-01,,,,1615.0,24396.0,24396.0,10970.0,165737.0,165737.0
2003-11-01,,,,1533.0,25425.0,25425.0,10564.0,175199.0,175199.0
2003-12-01,,,,1552.0,26140.0,26140.0,10060.0,169480.0,169480.0
2004-01-01,,,,1720.527,25690.0,25690.0,8813.991,131607.0,131607.0
2004-02-01,,,,2757.1730000000002,41169.0,41169.0,9047.043,135087.0,135087.0
2004-03-01,,,,2008.67,29992.0,29992.0,8777.509,131062.0,131062.0
2004-04-01,,,,1577.971,23561.0,23561.0,9277.018,138521.0,138521.0
2004-05-01,,,,1796.553,26825.0,26825.0,6995.879,104460.0,104460.0
2004-06-01,,,,2171.302,32421.0,32421.0,7160.204000000001,106913.0,106913.0
2004-07-01,,,,1676.499,25033.0,25033.0,10919.709,163049.0,163049.0
2004-08-01,,,,1540.1680000000001,22997.0,22997.0,10593.773,158182.0,158182.0
2004-09-01,,,,2069.382,30899.0,30899.0,10222.709,152642.0,152642.0
2004-10-01,,,,1891.6490000000001,28245.0,28245.0,10523.632,157135.0,157135.0
2004-11-01,,,,485.127,7244.0,7244.0,9799.656,146325.0,146325.0
2004-12-01,,,,2065.978,30848.0,30848.0,10697.875,159737.0,159737.0
2005-01-01,,,,1875.057,25702.2,25702.2,9814.113000000001,134679.43,134679.43
2005-02-01,,,,1672.699,22928.38,22928.38,9108.067000000001,124990.34,124990.34
