measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,9.0,256.0,256.0,8696.0,255636.0,255636.0
2003-02-01,0.0,0.0,0.0,7704.0,226026.0,226026.0
2003-03-01,0.0,0.0,0.0,,,
2003-04-01,169.0,4128.0,4128.0,3805.0,93020.0,93020.0
2003-05-01,8.0,192.0,192.0,7811.0,192240.0,192240.0
2003-06-01,0.0,0.0,0.0,7114.0,174506.0,174506.0
2003-07-01,0.0,0.0,0.0,6408.0,155023.0,155023.0
2003-08-01,0.0,0.0,0.0,7805.0,200275.0,200275.0
2003-10-01,15.0,448.0,448.0,,,
2004-01-01,197.87,3508.0,3508.0,5547.343,98345.0,98345.0
2004-02-01,171.761,3045.0,3045.0,5054.633,89610.0,89610.0
2004-03-01,215.251,3816.0,3816.0,4727.3,83807.0,83807.0
2004-04-01,228.672,4054.0,4054.0,5785.273,102563.0,102563.0
2004-05-01,272.67400000000004,4834.0,4834.0,5248.314,93043.0,93043.0
2004-06-01,196.01600000000002,3475.0,3475.0,5639.393,99976.0,99976.0
2004-07-01,132.726,2353.0,2353.0,6897.767000000001,122285.0,122285.0
2004-08-01,160.042,2837.0,2837.0,6531.104,115785.0,115785.0
2004-09-01,93.605,1659.0,1659.0,4403.7210000000005,78070.0,78070.0
2004-10-01,73.248,1298.0,1298.0,4748.744000000001,84187.0,84187.0
2004-11-01,158.53,2810.0,2810.0,5243.96,92966.0,92966.0
2004-12-01,174.606,3095.0,3095.0,6029.447,106891.0,106891.0
2005-01-01,261.717,4168.8,4168.8,4327.481,71077.2,71077.2
2005-02-01,223.209,3555.42,3555.42,3894.597,63967.25,63967.25
2005-03-01,249.359,3971.95,3971.95,4157.537,68285.93,68285.93
2005-04-01,230.233,3667.31,3667.31,4094.5930000000003,67252.1,67252.1
2005-05-01,252.257,4018.13,4018.13,4100.8640000000005,67355.09,67355.09
2005-06-01,244.597,3896.11,3896.11,4246.249,69742.99,69742.99
2005-07-01,262.784,4185.81,4185.81,4425.485000000001,72686.86,72686.86
2005-08-01,253.133,4032.08,4032.08,4370.476000000001,71783.36,71783.36
2005-09-01,241.0,3838.82,3838.82,4217.376,69268.76,69268.76
2005-10-01,207.98100000000002,3312.86,3312.86,4304.447,70698.86,70698.86
2005-11-01,231.586,3688.86,3688.86,4170.774,68503.33,68503.33
2005-12-01,259.145,4127.84,4127.84,4247.12,69757.29,69757.29
2006-01-01,127.35,3730.0,3730.0,4153.807,60833.0,60833.0
2006-02-01,117.691,3447.0,3447.0,3875.402,56756.0,56756.0
2006-03-01,129.821,3802.0,3802.0,3980.648,58297.0,58297.0
2006-04-01,95.51700000000001,2797.0,2797.0,3290.9460000000004,48197.0,48197.0
2006-05-01,116.778,3420.0,3420.0,3155.998,46220.0,46220.0
2006-06-01,122.32900000000001,3583.0,3583.0,3914.7520000000004,57332.0,57332.0
2006-07-01,126.95700000000001,3718.0,3718.0,4211.544,61679.0,61679.0
2006-08-01,126.194,3696.0,3696.0,4170.466,61077.0,61077.0
2006-09-01,120.70700000000001,3535.0,3535.0,3764.2810000000004,55129.0,55129.0
2006-10-01,125.255,3668.0,3668.0,3548.9610000000002,51975.0,51975.0
2006-11-01,126.506,3705.0,3705.0,3903.2810000000004,57164.0,57164.0
2006-12-01,121.894,3570.0,3570.0,3905.916,57203.0,57203.0
2007-01-01,0.0,0.0,0.0,2045.0,75497.0,75497.0
2007-02-01,0.0,0.0,0.0,3528.0,138313.0,138313.0
2007-03-01,0.0,0.0,0.0,3665.0,117189.0,117189.0
2007-04-01,0.0,0.0,0.0,3982.0,118393.0,118393.0
2007-05-01,0.0,0.0,0.0,3787.0,109948.0,109948.0
2007-06-01,0.0,0.0,0.0,5443.0,163356.0,163356.0
2007-07-01,0.0,0.0,0.0,5760.0,181578.0,181578.0
2007-08-01,0.0,0.0,0.0,4378.0,139518.0,139518.0
2007-09-01,0.0,0.0,0.0,5940.0,202005.0,202005.0
2007-10-01,0.0,0.0,0.0,5472.0,187740.0,187740.0
2007-11-01,0.0,0.0,0.0,4896.0,139087.0,139087.0
2007-12-01,0.0,0.0,0.0,3888.0,125088.0,125088.0
2008-01-01,0.0,0.0,0.0,360.0,20009.0,20009.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,,,,0.0,0.0,0.0
2009-02-01,,,,0.0,0.0,0.0
2009-03-01,,,,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0
2009-06-01,,,,0.0,0.0,0.0
2009-07-01,,,,532.0,23369.0,23369.0
2009-08-01,,,,6149.0,177482.0,177482.0
2009-09-01,,,,5062.0,145338.0,145338.0
2009-10-01,,,,173.0,5110.0,5110.0
2009-11-01,,,,3900.0,112522.0,112522.0
2009-12-01,,,,5933.0,167985.0,167985.0
2010-01-01,,,,5098.0,143136.0,143136.0
2010-02-01,,,,5291.0,149796.0,149796.0
2010-03-01,,,,6941.0,196068.0,196068.0
2010-04-01,,,,9166.0,246792.0,246792.0
2010-05-01,,,,9310.0,249144.0,249144.0
2010-06-01,,,,8770.0,215616.0,215616.0
2010-07-01,,,,8928.0,238968.0,238968.0
2010-08-01,,,,5817.0,143592.0,143592.0
2010-09-01,,,,8330.0,201888.0,201888.0
2010-10-01,,,,9346.0,217404.0,217404.0
2010-11-01,,,,8885.0,207480.0,207480.0
2010-12-01,,,,8942.0,196212.0,196212.0
2011-01-01,,,,8932.0,197628.0,197628.0
2011-02-01,,,,6385.0,141000.0,141000.0
2011-03-01,,,,9194.0,190692.0,190692.0
2011-04-01,,,,9206.0,203640.0,203640.0
2011-05-01,,,,9251.0,195696.0,195696.0
2011-06-01,,,,8445.0,124812.0,124812.0
2011-07-01,,,,9359.0,196896.0,196896.0
2011-08-01,,,,8670.0,180708.0,180708.0
2011-09-01,,,,5176.0,108888.0,108888.0
2011-10-01,,,,9346.0,207732.0,207732.0
2011-11-01,,,,9444.0,208752.0,208752.0
2011-12-01,,,,9852.0,214440.0,214440.0
2012-01-01,,,,10186.0,218760.0,218760.0
2012-02-01,,,,9476.0,200796.0,200796.0
2012-03-01,,,,9937.0,219984.0,219984.0
2012-04-01,,,,7533.0,171228.0,171228.0
2012-05-01,,,,9373.0,206232.0,206232.0
2012-06-01,,,,9406.0,210120.0,210120.0
2012-07-01,,,,7809.0,184968.0,184968.0
2012-08-01,,,,7998.0,189804.0,189804.0
2012-09-01,,,,8406.0,191040.0,191040.0
2012-10-01,,,,9515.0,211416.0,211416.0
2012-11-01,,,,5480.0,113472.0,113472.0
2012-12-01,,,,9184.0,193200.0,193200.0
2013-01-01,,,,9455.0,171333.0,171333.0
2013-02-01,,,,7767.0,139129.0,139129.0
2013-03-01,,,,7105.0,130999.0,130999.0
2013-04-01,,,,9677.0,187288.0,187288.0
2013-05-01,,,,5293.0,99938.0,99938.0
2013-06-01,,,,8808.0,176368.0,176368.0
2013-07-01,,,,9527.0,200474.0,200474.0
2013-08-01,,,,9685.0,201062.0,201062.0
2013-09-01,,,,9540.0,197611.0,197611.0
2013-10-01,,,,7302.0,150594.0,150594.0
2013-11-01,,,,8909.0,170263.0,170263.0
2013-12-01,,,,10112.0,195198.0,195198.0
2014-01-01,,,,8060.0,160329.0,160329.0
2014-02-01,,,,8972.0,175749.0,175749.0
2014-03-01,,,,8694.0,175938.0,175938.0
2014-04-01,,,,9147.0,187016.0,187016.0
2014-05-01,,,,7703.0,165417.0,165417.0
2014-06-01,,,,7523.0,143398.0,143398.0
2014-07-01,,,,6868.0,134702.0,134702.0
2014-08-01,,,,9178.0,174407.0,174407.0
2014-09-01,,,,9680.0,192019.0,192019.0
2014-10-01,,,,9383.0,183953.0,183953.0
2014-11-01,,,,5878.0,112799.0,112799.0
2014-12-01,,,,7566.0,149073.0,149073.0
2015-01-01,,,,7887.0,150657.0,150657.0
2015-02-01,,,,6460.0,121611.0,121611.0
2015-03-01,,,,0.0,0.0,0.0
2015-04-01,,,,8564.0,167945.0,167945.0
2015-05-01,,,,9871.0,189261.0,189261.0
2015-06-01,,,,8231.0,165616.0,165616.0
2015-07-01,,,,6034.0,118023.0,118023.0
2015-08-01,,,,9773.0,185012.0,185012.0
2015-09-01,,,,9303.0,184005.0,184005.0
2015-10-01,,,,6307.0,129510.0,129510.0
2015-11-01,,,,9697.0,195397.0,195397.0
2015-12-01,,,,9842.0,193152.0,193152.0
2016-01-01,,,,9543.0,194380.0,194380.0
2016-02-01,,,,8991.0,177176.0,177176.0
2016-03-01,,,,9687.0,186040.0,186040.0
2016-04-01,,,,8083.0,163319.0,163319.0
2016-05-01,,,,9873.0,188484.0,188484.0
2016-06-01,,,,3673.0,70440.0,70440.0
2016-07-01,,,,7732.0,149850.0,149850.0
2016-08-01,,,,9591.0,189628.0,189628.0
2016-09-01,,,,9382.0,184425.0,184425.0
2016-10-01,,,,6894.0,135772.0,135772.0
2016-11-01,,,,8875.0,157413.0,157413.0
2016-12-01,,,,9750.0,178792.0,178792.0
2017-01-01,,,,8589.0,167497.0,167497.0
2017-02-01,,,,8716.0,167714.0,167714.0
2017-03-01,,,,8019.0,155646.0,155646.0
2017-04-01,,,,9463.0,181513.0,181513.0
2017-05-01,,,,8383.0,160609.0,160609.0
2017-06-01,,,,4137.0,79995.0,79995.0
