measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,11235.0,62313.0,223067.0,18825.0,104405.0,373750.0,52.0,308.0,1056.0,1548.0,8885.0,31037.0,11745.0,65139.0,233181.0
2001-02-01,8082.0,225451.0,225451.0,14429.0,402500.0,402500.0,22.0,626.0,626.0,365.0,10273.0,10273.0,8682.0,242181.0,242181.0
2001-03-01,7768.0,69903.0,236455.0,15113.0,135988.0,460000.0,17.0,161.0,522.0,154.0,1428.0,4720.0,8528.0,76735.0,259569.0
2001-04-01,4501.0,40426.0,139777.0,7591.0,68183.0,235750.0,7.0,67.0,220.0,1065.0,9886.0,33397.0,4613.0,41431.0,143253.0
2001-05-01,6207.0,55807.0,171924.0,14323.0,128786.0,396750.0,36.0,339.0,1009.0,779.0,7212.0,21785.0,6313.0,56767.0,174879.0
2001-06-01,5177.0,46588.0,134118.0,17536.0,157789.0,454250.0,19.0,181.0,505.0,188.0,1740.0,4920.0,6975.0,62760.0,180675.0
2001-07-01,6480.0,66313.0,185627.0,16458.0,168438.0,471500.0,24.0,260.0,708.0,134.0,1409.0,3875.0,7259.0,74286.0,207945.0
2001-08-01,6947.0,62512.0,204019.0,16447.0,147994.0,483000.0,29.0,275.0,864.0,178.0,1652.0,5277.0,6471.0,58225.0,190026.0
2001-09-01,6412.0,57685.0,179287.0,14806.0,133204.0,414000.0,39.0,369.0,1108.0,273.0,2530.0,7706.0,7309.0,65753.0,204363.0
2001-10-01,7191.0,64674.0,194194.0,12563.0,112984.0,339250.0,39.0,365.0,1061.0,591.0,5472.0,16120.0,8120.0,73031.0,219285.0
2001-11-01,5553.0,49964.0,158824.0,15883.0,142903.0,454250.0,33.0,316.0,969.0,192.0,1781.0,5546.0,7285.0,65542.0,208341.0
2001-12-01,1529.0,13758.0,34610.0,17279.0,155429.0,391000.0,15.0,144.0,354.0,639.0,5892.0,14611.0,9633.0,86650.0,217980.0
2002-01-01,7737.137000000001,81843.0,209517.0,12831.529,131576.0,345188.0,28.809,296.0,781.0,344.748,3284.0,8992.0,6606.8640000000005,68855.0,176431.0
2002-02-01,6866.145,72630.0,185931.0,11711.819,120094.0,315066.0,24.008000000000003,247.0,651.0,329.38300000000004,2171.0,10229.0,6314.933,65813.0,168635.0
2002-03-01,7584.4490000000005,43353.0,220316.0,14164.425,80966.0,411459.0,28.809,166.0,844.0,377.398,2160.0,10974.0,7105.26,40616.0,206406.0
2002-04-01,5960.0,63045.0,161393.0,14301.0,146644.0,384719.0,33.0,339.0,895.0,391.0,3724.0,10199.0,7261.0,75672.0,193899.0
2002-05-01,3089.2850000000003,32678.0,83656.0,9304.0,95404.0,250292.0,33.0,339.0,895.0,85.0,810.0,2217.0,4688.0,48857.0,125189.0
2002-06-01,5805.0,61405.0,157196.0,11815.0,121152.0,317842.0,18.0,185.0,488.0,969.0,9230.0,25275.0,6808.0,70951.0,181802.0
2002-07-01,4861.039000000001,51420.0,131634.0,16557.493000000002,169782.0,445422.0,21.127000000000002,217.0,573.0,39.372,375.0,1027.0,7252.186000000001,75580.0,193664.0
2002-08-01,6859.423000000001,72559.0,185749.0,11701.256,119986.0,314782.0,23.047,237.0,625.0,355.31100000000004,3384.0,9268.0,6309.171,65753.0,168481.0
2002-09-01,5612.954000000001,59374.0,151995.0,14999.886,153810.0,403520.0,51.856,533.0,1406.0,523.364,4985.0,13651.0,6302.4490000000005,65683.0,168302.0
2002-10-01,6356.226000000001,67236.0,172122.0,14947.07,153269.0,402099.0,36.491,375.0,989.0,482.071,4592.0,12574.0,6725.941000000001,70096.0,179611.0
2002-11-01,6659.0,70439.0,180321.0,12432.0,127479.0,353855.0,26.0,267.0,753.0,713.0,6791.0,20652.0,7898.0,82311.0,205065.0
2002-12-01,5089.59,53837.0,137823.0,13772.623,141226.0,370505.0,19.206,197.0,521.0,1566.249,14919.0,40854.0,7101.419000000001,74009.0,189638.0
2003-01-01,7760.198,35545.0,210023.0,14383.964,65884.0,389288.0,78.71600000000001,360.0,2129.0,616.56,2824.0,16687.0,7830.359,35866.0,211922.0
2003-02-01,6623.522,30338.0,179260.0,12277.072,56234.0,332267.0,67.186,308.0,1817.0,526.249,2410.0,14242.0,6683.407,30613.0,180881.0
2003-03-01,6054.2570000000005,27731.0,163853.0,11221.907,51401.0,303710.0,61.412000000000006,281.0,1661.0,481.02,2203.0,13018.0,6108.995,27982.0,165335.0
2003-04-01,5259.075,24089.0,142332.0,9747.992,44650.0,263820.0,53.346000000000004,244.0,1443.0,417.84200000000004,1914.0,11308.0,5306.6230000000005,24307.0,143619.0
2003-05-01,5553.158,25436.0,150291.0,10293.092,47146.0,278572.0,56.329,258.0,1524.0,441.207,2021.0,11941.0,5603.366,25666.0,151651.0
2003-06-01,6568.962,30089.0,177783.0,12175.942,55771.0,329530.0,66.63300000000001,305.0,1802.0,521.914,2391.0,14125.0,6628.354,30361.0,179391.0
2003-07-01,8110.29,37148.0,219498.0,15032.879,68856.0,406850.0,82.26700000000001,377.0,2225.0,644.375,2952.0,17439.0,8183.617,37484.0,221483.0
2003-08-01,8611.837,39446.0,233072.0,15962.525000000001,73115.0,432010.0,87.355,400.0,2363.0,684.224,3134.0,18518.0,8689.699,39803.0,235180.0
2003-09-01,6382.579000000001,29235.0,172739.0,11830.471,54188.0,320180.0,64.742,296.0,1751.0,507.10600000000005,2323.0,13724.0,6440.286,29499.0,174301.0
2003-10-01,5871.207,26893.0,158899.0,10882.613,49847.0,294527.0,59.555,273.0,1611.0,466.47700000000003,2137.0,12625.0,5924.29,27136.0,160336.0
2003-11-01,6021.871,27583.0,162977.0,11161.878,51126.0,302085.0,61.083000000000006,280.0,1652.0,478.447,2192.0,12949.0,6076.317,27832.0,164451.0
2003-12-01,7924.045,36295.0,214457.0,14687.665,67275.0,397507.0,80.378,368.0,2174.0,629.578,2884.0,17039.0,7995.688,36624.0,216397.0
2004-01-01,7880.85587,35240.35,239075.0,13243.7276,59221.19,401764.0,21.98695,98.32,667.0,218.94193,979.03,6641.86,7473.25665,33417.72,226710.0
2004-02-01,7194.36148,32170.6,225660.6,13261.93451,59302.6,415978.0,10.17015,45.48,319.0,93.60168999999999,418.55,2935.94,7078.32617,31651.73,222021.0
2004-03-01,7170.57332,32064.23,223328.8,15440.44674,69044.13,480895.5,29.05104,129.91,904.8,66.32808,296.6,2065.8,7129.16081,31879.05,222039.0
2004-04-01,3260.98487,14581.95,112398.0,6557.17682,29321.34,226009.5,106.51773,476.31,3671.4,386.30651,1727.42,13315.02,3539.42107,15827.02,121995.0
2004-05-01,6000.88811,26833.81,170326.2,14851.32274,66409.78,421532.5,42.29923,189.15,1200.6,205.77379,920.15,5840.58,7838.35714,35050.31,222480.0
2004-06-01,5723.63859,25594.05,166501.0,14165.64542,63343.68,412079.5,31.50217,140.87,916.4,95.97641999999999,429.17,2791.96,7558.2514,33797.78,219870.0
2004-07-01,4794.10954,21437.53,129663.8,15796.80459,70637.63,427248.0,65.19147,291.51,1763.2,326.58073,1460.35,8832.86,7131.05667,31887.52,192870.0
2004-08-01,6324.95691,28282.93,186386.8,15117.41216,67599.63,445487.0,30.90082,138.18,910.6,203.29593,909.07,5990.82,6862.58917,30687.03,202230.0
2004-09-01,6275.66173,28062.5,198989.0,14015.1946,62670.91,444394.5,25.242800000000003,112.88,800.4,324.17382,1449.59,10278.92,6378.72704,28523.37,202257.0
2004-10-01,0.0,0.0,0.0,17718.13364,79229.13,446004.5,30.64491,137.03,771.4,440.67335,1970.53,11092.72,9106.1151,40719.27,229221.0
2004-11-01,0.0,0.0,0.0,16700.12584,74676.96,430019.5,18.695529999999998,83.6,481.4,84.11666,376.14,2165.96,9815.61698,43891.91,252747.0
2004-12-01,2069.60831,9254.54,54312.6,16182.77346,72363.54,424683.5,23.206239999999998,103.77,609.0,116.4077,520.53,3054.88,9185.90028,41076.04,241065.0
2005-01-01,6662.69225,29793.17,215940.4,12084.26058,54036.47,391655.5,24.85759,111.15,805.64,250.89923,1121.93,8131.74,7143.54434,31943.36,231525.0
2005-02-01,4022.87107,17988.83,119445.8,12801.11134,57241.97,380086.5,15.22608,68.09,452.09,36.47419,163.1,1082.98,7306.59231,32672.45,216945.0
2005-03-01,4093.33483,18303.92,121096.4,13757.02231,61516.46,406985.0,29.779539999999997,133.16,880.99,117.43927,525.15,3474.3,8645.94805,38661.57,255780.0
2005-04-01,4968.16304,22215.84,149261.4,13427.82753,60044.42,403420.0,25.272489999999998,113.01,759.28,274.20700999999997,1226.16,8238.16,7336.34293,32805.49,220410.0
2005-05-01,5486.80048,24535.0,158614.8,10812.81397,48351.02,312581.5,16.240109999999998,72.62,469.48,360.11569,1610.31,10410.38,6749.58775,30181.73,195120.0
2005-06-01,4014.20604,17950.09,124292.8,9326.43219,41704.46,288776.5,59.151959999999995,264.51,1831.54,453.07477,2025.99,14028.66,4054.80904,18131.65,125550.0
2005-07-01,3868.31144,17297.7,94948.8,13879.95799,62066.19,340687.5,179.69871999999998,803.55,4410.76,555.98462,2486.16,13646.8,6479.04522,28971.96,159030.0
2005-08-01,5566.34781,24890.71,152091.0,14665.35802,65578.21,400706.0,24.81882,110.98,678.13,271.72265,1215.05,7424.36,6745.2317,30162.25,184302.0
