measured_on,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed
2001-01-01,,,,4697.0,88571.5,88571.5
2001-02-01,,,,3780.0,72316.5,72316.5
2001-03-01,,,,4725.0,90792.0,90792.0
2001-04-01,,,,4613.0,88493.5,88493.5
2001-05-01,,,,4424.0,89117.5,89117.5
2001-06-01,,,,3514.0,72321.5,72321.5
2001-07-01,,,,4648.0,92222.0,92222.0
2001-08-01,,,,4592.0,90183.5,90183.5
2001-09-01,,,,4543.0,83902.0,83902.0
2001-10-01,,,,4445.0,78660.5,78660.5
2001-11-01,,,,4445.0,78660.5,78660.5
2001-12-01,,,,4312.0,75519.5,75519.5
2002-01-01,,,,4830.0,77910.0,77910.0
2002-02-01,,,,3619.0,64550.0,64550.0
2002-03-01,,,,4669.0,70056.0,70056.0
2002-04-01,,,,4557.0,82960.0,82960.0
2002-05-01,,,,4606.0,78384.0,78384.0
2002-06-01,,,,3351.5,60295.0,60295.0
2002-07-01,,,,4599.0,83965.0,83965.0
2002-08-01,,,,4578.0,79870.0,79870.0
2002-09-01,,,,4445.0,73275.0,73275.0
2002-10-01,,,,4277.0,72870.0,72870.0
2002-11-01,,,,4284.0,77825.0,77825.0
2002-12-01,,,,4698.5,87770.0,87770.0
2003-01-01,,,,4655.0,85670.0,85670.0
2003-02-01,,,,3759.0,68525.0,68525.0
2003-03-01,,,,4634.0,82040.0,82040.0
2003-04-01,,,,4473.0,82940.0,82940.0
2003-05-01,,,,4192.641,85465.0,85465.0
2003-06-01,,,,3155.8914999999997,66200.0,66200.0
2003-07-01,,,,4529.0,87620.0,87620.0
2003-08-01,,,,4473.0,83760.0,83760.0
2003-09-01,,,,4522.0,81980.0,81980.0
2003-10-01,,,,4389.0,75390.0,75390.0
2003-11-01,,,,4319.0,79895.0,79895.0
2003-12-01,,,,4725.0,84075.0,84075.0
2004-01-01,,,,4379.666499999999,82229.0,82229.0
2004-02-01,,,,4379.666499999999,82229.0,82229.0
2004-03-01,,,,4379.666499999999,82229.0,82229.0
2004-04-01,,,,4379.666499999999,82229.0,82229.0
2004-05-01,,,,4379.666499999999,82229.0,82229.0
2004-06-01,,,,4379.666499999999,82229.0,82229.0
2004-07-01,,,,4379.666499999999,82229.0,82229.0
2004-08-01,,,,4379.666499999999,82229.0,82229.0
2004-09-01,,,,4379.666499999999,82229.0,82229.0
2004-10-01,,,,4379.666499999999,82229.0,82229.0
2004-11-01,,,,4379.666499999999,82229.0,82229.0
2004-12-01,,,,4379.666499999999,82229.0,82229.0
2005-01-01,0.0,0.0,0.0,3920.1625000000004,75944.83499999999,75944.83499999999
2005-02-01,0.0,0.0,0.0,3497.093,67748.765,67748.765
2005-03-01,0.0,0.0,0.0,3994.1639999999998,77378.45999999999,77378.45999999999
2005-04-01,0.0,0.0,0.0,3985.907,77218.505,77218.505
2005-05-01,0.0,0.0,0.0,4381.925499999999,84890.525,84890.525
2005-06-01,0.0,0.0,0.0,4341.222,84101.97,84101.97
2005-07-01,0.0,0.0,0.0,4495.103,87083.09,87083.09
2005-08-01,0.0,0.0,0.0,4474.7865,86689.505,86689.505
2005-09-01,0.0,0.0,0.0,4215.219,81660.935,81660.935
2005-10-01,0.0,0.0,0.0,4254.951,82430.655,82430.655
2005-11-01,0.0,0.0,0.0,4285.4545,83021.605,83021.605
2005-12-01,0.0,0.0,0.0,4295.012000000001,83206.75,83206.75
