measured_on,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed
2001-01-01,19440.5,287715.0,287715.0
2001-02-01,15321.0,218480.0,218480.0
2001-03-01,21615.5,331640.0,331640.0
2001-04-01,20506.5,297700.0,297700.0
2001-05-01,20519.5,309005.0,309005.0
2001-06-01,20010.5,315420.0,315420.0
2001-07-01,21041.0,326025.0,326025.0
2001-08-01,20016.5,313635.0,313635.0
2001-09-01,19772.5,303290.0,303290.0
2001-10-01,20891.5,319785.0,319785.0
2001-11-01,20891.5,319785.0,319785.0
2001-12-01,20359.5,297765.0,297765.0
2002-01-01,19843.5,287495.0,287495.0
2002-02-01,17447.5,237355.0,237355.0
2002-03-01,21027.0,245812.5,245812.5
2002-04-01,20402.0,305140.0,305140.0
2002-05-01,21026.5,332121.5,332121.5
2002-06-01,19564.5,324900.0,324900.0
2002-07-01,21449.5,318450.0,318450.0
2002-08-01,20869.0,301285.0,301285.0
2002-09-01,19440.5,314480.0,314480.0
2002-10-01,20678.5,322765.0,322765.0
2002-11-01,20063.0,323500.0,323500.0
2002-12-01,19659.0,304980.0,304980.0
2003-01-01,19302.5,306040.0,306040.0
2003-02-01,16452.0,249355.0,249355.0
2003-03-01,21537.5,329740.0,329740.0
2003-04-01,19856.5,307840.0,307840.0
2003-05-01,18003.3925,309510.0,309510.0
2003-06-01,18080.2405,325070.0,325070.0
2003-07-01,21435.5,329630.0,329630.0
2003-08-01,20525.5,316515.0,316515.0
2003-09-01,20034.5,311370.0,311370.0
2003-10-01,20492.0,313740.0,313740.0
2003-11-01,21155.5,313350.0,313350.0
2003-12-01,19481.5,302255.0,302255.0
2004-01-01,19444.0,304631.5,304631.5
2004-02-01,17120.5,262225.5,262225.5
2004-03-01,18759.5,318921.0,318921.0
2004-04-01,20371.0,319509.0,319509.0
2004-05-01,21075.0,338671.0,338671.0
2004-06-01,19936.5,305141.0,305141.0
2004-07-01,20677.0,334921.5,334921.5
2004-08-01,20964.0,333902.5,333902.5
2004-09-01,19822.0,312525.0,312525.0
2004-10-01,22065.5,342134.0,342134.0
2004-11-01,19944.0,300019.0,300019.0
2004-12-01,19685.5,285010.0,285010.0
2005-01-01,19249.5,302671.19999999995,302671.19999999995
2005-02-01,10373.0,244431.2,244431.2
2005-03-01,12977.5,308978.80000000005,308978.80000000005
2005-04-01,20413.5,308848.8,308848.8
2005-05-01,20898.0,318349.19999999995,318349.19999999995
2005-06-01,20330.0,316253.6,316253.6
2005-07-01,21992.5,331312.80000000005,331312.80000000005
2005-08-01,21108.0,331484.4,331484.4
2005-09-01,19552.5,296576.8,296576.8
2005-10-01,20975.0,328213.6,328213.6
2005-11-01,20547.5,316971.19999999995,316971.19999999995
2005-12-01,19945.0,307642.4,307642.4
