measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,4060.1,79337.5,79337.5,3321.9,64912.5,64912.5
2003-02-01,3727.9,73727.5,73727.5,3050.1,60322.5,60322.5
2003-03-01,2745.6,57838.0,57838.0,2246.4,47322.0,47322.0
2003-04-01,4688.75,89798.5,89798.5,3836.25,73471.5,73471.5
2003-05-01,4308.61145,91327.5,91327.5,3525.22755,74722.5,74722.5
2003-06-01,3792.1928000000003,81026.0,81026.0,3102.7032,66294.0,66294.0
2003-07-01,4530.35,89958.0,89958.0,3706.65,73602.0,73602.0
2003-08-01,4514.4,88159.5,88159.5,3693.6,72130.5,72130.5
2003-09-01,3945.7,82912.5,82912.5,3228.3,67837.5,67837.5
2003-10-01,4706.35,92411.0,92411.0,3850.65,75609.0,75609.0
2003-11-01,3764.2,72044.5,72044.5,3079.8,58945.5,58945.5
2003-12-01,4888.4,86432.5,86432.5,3999.6,70717.5,70717.5
2004-01-01,3804.3368,78760.55,78760.55,3112.6392,64440.45,64440.45
2004-02-01,3771.6547,78083.5,78083.5,3085.8993,63886.5,63886.5
2004-03-01,4211.8241,87196.45,87196.45,3446.0379000000003,71342.55,71342.55
2004-04-01,4131.3514000000005,85530.5,85530.5,3380.1966,69979.5,69979.5
2004-05-01,4559.78325,94400.35,94400.35,3730.73175,77236.65,77236.65
2004-06-01,4392.6773,90940.85,90940.85,3594.0087000000003,74406.15,74406.15
2004-07-01,4436.577200000001,91849.45,91849.45,3629.9268,75149.55,75149.55
2004-08-01,4442.60795,91974.3,91974.3,3634.86105,75251.7,75251.7
2004-09-01,4015.4081,83130.3,83130.3,3285.3339,68015.7,68015.7
2004-10-01,4037.00165,83576.9,83576.9,3303.00135,68381.1,68381.1
2004-11-01,4403.50625,91164.7,91164.7,3602.86875,74589.3,74589.3
2004-12-01,4217.2713,87309.2,87309.2,3450.4947,71434.8,71434.8
2005-01-01,4111.07536,83421.28,83421.28,3230.13064,65545.29,65545.29
2005-02-01,3667.40248,74418.34,74418.34,2881.53052,58471.56,58471.56
2005-03-01,4188.68072,84996.04,84996.04,3291.10628,66782.6,66782.6
2005-04-01,4180.022,84820.33,84820.33,3284.3030000000003,66644.55,66644.55
2005-05-01,4595.3264,93247.63,93247.63,3610.6136,73266.0,73266.0
2005-06-01,4552.6404,92381.45,92381.45,3577.0746000000004,72585.43,72585.43
2005-07-01,4714.015600000001,95656.05,95656.05,3703.8694,75158.32,75158.32
2005-08-01,4692.70984,95223.72,95223.72,3687.12916,74818.64,74818.64
2005-09-01,4420.50112,89700.11,89700.11,3473.25088,70478.65,70478.65
2005-10-01,4462.16792,90545.6,90545.6,3505.98908,71142.97,71142.97
2005-11-01,4494.15736,91194.72,91194.72,3531.12364,71653.0,71653.0
2005-12-01,4504.18024,91398.1,91398.1,3538.99876,71812.79,71812.79
