measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,5.352,48.0,511.0,154.648,1392.0,14753.0
2001-02-01,4.014,36.0,383.0,115.986,1044.0,11065.0
2001-03-01,5.352,48.0,511.0,154.648,1392.0,14753.0
2001-04-01,3.6790000000000003,33.0,351.0,106.32100000000001,957.0,10143.0
2001-05-01,4.75,43.0,453.0,137.25,1235.0,13094.0
2001-06-01,4.482,40.0,428.0,129.518,1166.0,12356.0
2001-07-01,4.6160000000000005,42.0,440.0,133.38400000000001,1200.0,12725.0
2001-08-01,5.352,48.0,511.0,154.648,1392.0,14753.0
2001-09-01,3.479,31.0,332.0,100.521,905.0,9590.0
2001-10-01,5.118,46.0,488.0,147.882,1331.0,14108.0
2001-11-01,3.746,34.0,357.0,108.254,974.0,10327.0
2001-12-01,3.88,35.0,370.0,112.12,1009.0,10696.0
2002-01-01,0.0,0.0,0.0,139.0,1560.0,9360.0
2002-02-01,0.0,0.0,0.0,179.0,1963.0,11775.0
2002-03-01,0.0,0.0,0.0,107.0,630.0,6825.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,253.0,1393.0,14910.0
2002-06-01,0.0,0.0,0.0,174.0,1839.0,19650.0
2002-07-01,0.0,0.0,0.0,290.0,1830.0,19800.0
2002-08-01,0.0,0.0,0.0,290.0,1844.0,21150.0
2002-09-01,0.0,0.0,0.0,193.0,1136.0,12225.0
2002-10-01,0.0,0.0,0.0,147.0,1160.0,12510.0
2002-11-01,0.0,0.0,0.0,59.0,725.0,7830.0
2002-12-01,0.0,0.0,0.0,6.0,96.0,1065.0
2003-01-01,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,0.0,0.0,0.0
