measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,,,
2003-02-01,,,,0.0,0.0,0.0,,,,,,
2003-03-01,,,,0.0,0.0,0.0,,,,,,
2003-04-01,,,,0.0,0.0,0.0,,,,,,
2003-05-01,,,,0.0,0.0,0.0,,,,,,
2003-06-01,,,,0.0,0.0,0.0,,,,,,
2003-07-01,,,,0.0,0.0,0.0,,,,,,
2003-08-01,,,,0.0,0.0,0.0,,,,,,
2003-09-01,,,,0.0,0.0,0.0,,,,,,
2003-10-01,,,,0.0,0.0,0.0,,,,,,
2003-11-01,,,,0.0,0.0,0.0,,,,,,
2003-12-01,,,,0.0,0.0,0.0,,,,,,
2004-01-01,178.96432,883.32,8085.12,3.86433,19.07,174.58,771.96135,3810.18,34875.11,,,
2004-02-01,159.54056,787.45,7234.56,2.7534799999999997,13.59,124.86,968.34296,4779.47,43910.69,,,
2004-03-01,157.64451,778.09,7083.6,5.1533299999999995,25.44,231.56,643.92016,3178.2,28933.92,,,
2004-04-01,139.17176999999998,686.91,6327.36,1.50535,7.43,68.44,1005.37788,4962.25,45708.9,,,
2004-05-01,128.31664,633.33,5770.8,6.30532,31.12,283.57,914.65604,4514.48,41134.94,,,
2004-06-01,136.04993,671.5,6125.04,3.74274,18.47,168.5,534.29434,2637.12,24054.22,,,
2004-07-01,160.00444,789.74,7105.92,6.28857,31.04,279.28,379.84099,1874.78,16869.03,,,
2004-08-01,163.71623,808.06,7369.92,5.3444899999999995,26.38,240.59,786.62427,3882.55,35411.02,,,
2004-09-01,149.22554,736.53,6731.52,3.97564,19.62,179.34,693.85681,3424.68,31299.68,,,
2004-10-01,119.25896,588.63,5420.64,1.7712899999999998,8.74,80.51,1122.43675,5540.03,51017.77,,,
2004-11-01,137.95922,680.93,6233.76,4.16372,20.55,188.14,907.49205,4479.12,41005.51,,,
2004-12-01,179.22135,884.59,8111.76,2.7975399999999997,13.81,126.62,680.03711,3356.47,30779.25,,,
2005-01-01,124.78699,615.91,6640.32,2.4031599999999997,11.86,127.88,622.99385,3074.92,33151.52,,,
2005-02-01,113.07742999999999,558.12,6029.28,2.12622,10.49,113.37,646.80935,3192.47,34487.83,,,
2005-03-01,121.22507999999999,598.33,6462.96,2.53743,12.52,135.28,729.05249,3598.4,38868.5,,,
2005-04-01,99.92931999999999,493.22,5316.96,2.6067899999999997,12.87,138.7,592.35489,2923.69,31517.55,,,
2005-05-01,94.79611,467.89,5051.28,2.11163,10.42,112.52,567.60225,2801.52,30245.1,,,
