measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,26725.0,273690.73,273690.73
2003-02-01,24843.0,254417.16,254417.16
2003-03-01,26238.0,268703.36,268703.36
2003-04-01,25148.0,257540.67,257540.67
2003-05-01,27836.0,285068.48,285068.48
2003-06-01,23457.0,240223.14,240223.14
2003-07-01,23058.0,236136.98,236136.98
2003-08-01,23317.0,238789.4,238789.4
2003-09-01,22597.0,231415.88,231415.88
2003-10-01,23076.0,236321.32,236321.32
2003-11-01,23062.0,236177.94,236177.94
2003-12-01,22889.0,234406.25,234406.25
2004-01-01,23408.0,234594.98,234594.98
2004-02-01,19622.0,196651.68,196651.68
2004-03-01,21763.0,218108.79,218108.79
2004-04-01,22553.0,226026.17,226026.17
2004-05-01,23535.0,235867.77,235867.77
2004-06-01,26976.0,270353.47,270353.47
2004-07-01,28517.0,285797.37,285797.37
2004-08-01,27122.0,271816.68,271816.68
2004-09-01,24086.0,241389.89,241389.89
2004-10-01,25284.0,253396.25,253396.25
2004-11-01,30572.0,306392.58,306392.58
2004-12-01,32069.0,321395.52,321395.52
2005-01-01,32196.0,321927.8,321927.8
2005-02-01,29443.0,294400.56,294400.56
2005-03-01,37783.0,377792.22,377792.22
2005-04-01,30182.0,301789.82,301789.82
2005-05-01,32741.0,327377.26,327377.26
2005-06-01,28539.0,285361.46,285361.46
2005-07-01,29940.0,299370.06,299370.06
2005-08-01,30740.0,307369.26,307369.26
2005-09-01,30551.0,305479.45,305479.45
2005-10-01,30994.0,309909.01,309909.01
2005-11-01,31155.0,311518.85,311518.85
2005-12-01,31804.0,318008.2,318008.2
2006-01-01,31241.0,309879.48,309879.48
2006-02-01,28982.0,287472.46,287472.46
2006-03-01,31175.0,309224.83,309224.83
2006-04-01,30333.0,300873.03,300873.03
2006-05-01,12748.0,126447.41,126447.41
2006-06-01,0.0,0.0,0.0
2006-07-01,19472.0,193142.77,193142.77
2006-08-01,30153.0,299087.61,299087.61
2006-09-01,28986.0,287512.13,287512.13
2006-10-01,30093.0,298492.47,298492.47
2006-11-01,30963.0,307122.0,307122.0
2006-12-01,31257.0,310038.18,310038.18
2007-01-01,30145.0,297953.18,297953.18
2007-02-01,26806.0,264950.5,264950.5
2007-03-01,30527.0,301728.87,301728.87
2007-04-01,25686.0,253880.42,253880.42
2007-05-01,29510.0,291676.84,291676.84
2007-06-01,27177.0,268617.47,268617.47
2007-07-01,25470.0,251745.48,251745.48
2007-08-01,25792.0,254928.13,254928.13
2007-09-01,26307.0,260018.39,260018.39
2007-10-01,28325.0,279964.3,279964.3
2007-11-01,26947.0,266344.15,266344.15
2007-12-01,28670.0,283374.28,283374.28
2008-01-01,29326.0,288978.4,288978.4
2008-02-01,28562.0,281449.95,281449.95
2008-03-01,30404.0,299601.02,299601.02
2008-04-01,27444.0,270433.18,270433.18
2008-05-01,29555.0,291234.97000000003,291234.97000000003
2008-06-01,25639.0,252646.71,252646.71
2008-07-01,31724.0,312608.3,312608.3
2008-08-01,29621.0,291885.33,291885.33
2008-09-01,28120.0,277094.48,277094.48
2008-10-01,29134.0,287086.44,287086.44
2008-11-01,25148.0,247808.39,247808.39
2008-12-01,26866.0,264737.56,264737.56
2009-01-01,25685.0,250685.6,250685.6
2009-02-01,24994.0,243941.44,243941.44
2009-03-01,27997.0,273250.72,273250.72
2009-04-01,25990.0,253662.4,253662.4
2009-05-01,25979.0,253555.04,253555.04
2009-06-01,20987.0,204833.12,204833.12
2009-07-01,25273.0,246664.48,246664.48
2009-08-01,25065.0,244634.4,244634.4
2009-09-01,19757.0,192828.32,192828.32
2009-10-01,26400.0,257664.0,257664.0
2009-11-01,24837.0,242409.12,242409.12
2009-12-01,26466.0,258308.16,258308.16
2010-01-01,26238.0,255978.0,255978.0
2010-02-01,23195.0,226290.0,226290.0
2010-03-01,25708.0,250807.0,250807.0
2010-04-01,22365.0,218193.0,218193.0
2010-05-01,27887.0,272066.0,272066.0
2010-06-01,26216.0,255763.0,255763.0
2010-07-01,25722.0,250944.0,250944.0
2010-08-01,25267.0,246505.0,246505.0
2010-09-01,26030.0,253949.0,253949.0
2010-10-01,27290.0,266241.0,266241.0
2010-11-01,26205.0,255656.0,255656.0
2010-12-01,26928.0,262710.0,262710.0
2011-01-01,27821.0,270309.0,270309.0
2011-02-01,23023.0,223691.0,223691.0
2011-03-01,24947.0,242385.0,242385.0
2011-04-01,24255.0,235662.0,235662.0
2011-05-01,23686.0,230133.0,230133.0
2011-06-01,26050.0,253102.0,253102.0
2011-07-01,27186.0,264139.0,264139.0
2011-08-01,27013.0,262458.0,262458.0
2011-09-01,24533.0,238363.0,238363.0
2011-10-01,24043.0,233602.0,233602.0
2011-11-01,25199.0,244833.0,244833.0
2011-12-01,26464.0,257124.0,257124.0
2012-01-01,25299.0,240745.0,240745.0
2012-02-01,24479.0,232942.0,232942.0
2012-03-01,25934.0,246788.0,246788.0
2012-04-01,23808.0,226557.0,226557.0
2012-05-01,25938.0,246826.0,246826.0
2012-06-01,28845.0,274489.0,274489.0
2012-07-01,29294.0,278762.0,278762.0
2012-08-01,29090.0,276820.0,276820.0
2012-09-01,27589.0,262537.0,262537.0
2012-10-01,27988.0,266334.0,266334.0
2012-11-01,27749.0,264059.0,264059.0
2012-12-01,28745.0,273537.0,273537.0
2013-01-01,27832.0,265545.0,265545.0
2013-02-01,26150.0,249497.0,249497.0
2013-03-01,27869.0,265898.0,265898.0
2013-04-01,23706.0,226179.0,226179.0
2013-05-01,31925.0,304596.0,304596.0
2013-06-01,30060.0,286802.0,286802.0
2013-07-01,27745.0,264715.0,264715.0
2013-08-01,28166.0,268732.0,268732.0
2013-09-01,27369.0,261128.0,261128.0
2013-10-01,28871.0,275458.0,275458.0
2013-11-01,26687.0,254621.0,254621.0
2013-12-01,26028.0,248333.0,248333.0
2014-01-01,27041.0,257160.0,257160.0
2014-02-01,25003.0,237779.0,237779.0
2014-03-01,27986.0,266147.0,266147.0
2014-04-01,25918.0,246480.0,246480.0
2014-05-01,27952.0,265824.0,265824.0
2014-06-01,23434.0,222857.0,222857.0
2014-07-01,27721.0,263627.0,263627.0
2014-08-01,26671.0,253641.0,253641.0
2014-09-01,24918.0,236970.0,236970.0
2014-10-01,27619.0,262657.0,262657.0
2014-11-01,27477.0,261306.0,261306.0
2014-12-01,26532.0,252319.0,252319.0
2015-01-01,26350.0,245556.0,245556.0
2015-02-01,23466.0,218680.0,218680.0
2015-03-01,26503.0,246981.0,246981.0
2015-04-01,23977.0,223442.0,223442.0
