measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,313736.0,2097926.0,6222926.0,,,,,,
2001-02-01,265934.0,1797400.0,5672400.0,,,,,,
2001-03-01,278191.15,1847549.0,6222549.0,,,,,,
2001-04-01,303154.1,2076020.0,6076020.0,,,,,,
2001-05-01,284062.56,1871307.0,6121307.0,,,,,,
2001-06-01,282921.84,1977734.0,6227734.0,,,,,,
2001-07-01,291918.59,2039075.0,6164075.0,,,,,,
2001-08-01,287799.0,1874710.0,6624710.0,,,,,,
2001-09-01,291289.06,1936802.0,6061802.0,,,,,,
2001-10-01,229311.88,1972720.0,6347720.0,,,,,,
2001-11-01,254566.8,1653170.0,5028170.0,,,,,,
2001-12-01,307900.31,2024822.0,5149822.0,,,,,,
2002-01-01,290860.0,2591081.0,5375681.0,,,,,,
2002-02-01,245502.0,2298720.0,4825374.0,,,,,,
2002-03-01,282094.0,2929336.0,5607614.0,,,,,,
2002-04-01,193408.3,2294422.0,3519576.0,47832.0,587306.0,832526.0,27803.0,286629.0,286629.0
2002-05-01,224368.76,1533109.0,4758904.0,70400.66,659888.0,1017142.0,4740.39,48870.0,66270.0
2002-06-01,199625.03,1364036.0,4234085.0,58688.88,710391.0,1101459.0,17971.19,81328.0,103839.0
2002-07-01,215897.75,1475227.0,4579232.0,50882.32,755045.0,1096895.0,61057.62,134899.0,179614.0
2002-08-01,169228.14,2386165.0,3324039.0,66389.71,684430.0,684430.0,63910.39,658870.0,658870.0
2002-09-01,169630.69,2038878.0,3664046.0,48025.67,676782.0,911444.0,78057.84,804720.0,804720.0
2002-10-01,170319.39,1918392.0,3454779.0,44763.56,754591.0,975300.0,81609.01,841330.0,841330.0
2002-11-01,194643.11,1600977.0,3243425.0,37379.92,694390.0,810639.0,47562.98,490340.0,490340.0
2002-12-01,228740.55,1562982.0,4851631.0,61243.86,714545.0,978168.0,5638.61,45993.0,86533.0
2004-01-01,177132.883985,1331100.105,2535218.1750000003,6808.041955,51160.33,461682.595,1091.1684,8199.79,42044.64
2004-02-01,195674.83366499998,1470437.245,2323588.575,6477.44232,48675.975,382131.82,2458.71739,18476.5,112639.56
2004-03-01,239390.20355,1798944.935,2210040.525,17341.82255,130318.51,331242.12,7672.38051,57655.57,241498.82
2004-04-01,114813.917695,862792.05,1303494.675,31403.557775,235988.27,417174.16000000003,4187.98381,31471.4,132609.18
2004-05-01,110100.03919499999,827367.76,1184467.2,23027.68662,173045.945,666237.2799999999,3459.76731,25999.08,110103.18
2004-06-01,73443.692315,551906.905,848348.025,31832.99474,239215.2,494604.05,4368.70458,32829.46,84642.36
2004-07-01,86283.03615500001,648391.585,953604.2250000001,28011.633635,210499.11,386287.16,2716.73494,20415.42,42357.81
