measured_on,Natural Gas-Other Generation,Natural Gas-Other Quantity Consumed For Electricity,Natural Gas-Other Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Other Gases-Other Generation,Other Gases-Other Quantity Consumed For Electricity,Other Gases-Other Total Fuel Consumed,"Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,6774.83726,42915.86,1974782.16,,,,,,,,,
2004-02-01,6541.48142,41429.77,1819307.52,,,,,,,,,
2004-03-01,5774.97146,36557.27,2174488.2,,,,,,,,,
2004-04-01,6943.66118,43971.2,2351462.4,,,,,,,,,
2004-05-01,8594.25103,54438.47,2706291.0,,,,,,,,,
2004-06-01,7796.64764,49385.13,2540847.96,,,,,,,,,
2004-07-01,5415.1861,34297.96,2453045.04,,,,,,,,,
2004-08-01,5814.93374,36828.44,2540847.96,,,,,,,,,
2004-09-01,5650.09815,35780.74,2033028.72,,,,,,,,,
2004-10-01,4844.68738,30678.53,2454575.4,,,,,,,,,
2004-11-01,3901.13281,24695.92,2291439.24,,,,,,,,,
2004-12-01,5411.39632,34269.88,2475025.2,,,,,,,,,
2005-01-01,2169.89,13752.09,2222304.06,,,,,,,0.0,0.0,0.0
2005-02-01,2182.5,13832.01,2208569.78,,,,,,,0.0,0.0,0.0
2005-03-01,1139.75,7223.38,2463831.19,,,,,,,0.0,0.0,0.0
2005-05-01,2943.95,18657.85,2471168.78,,,,,,,0.0,0.0,0.0
2005-06-01,2157.28,13672.17,2532155.71,,,,,,,0.0,0.0,0.0
2005-07-01,2322.18,14717.26,20778.11,,,,,,,0.0,0.0,0.0
2005-08-01,2027.3,10359.79,10359.79,,,,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
