measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,222.98100000000002,3579.0,3579.0,,,,,,
2001-02-01,174.265,2797.0,2797.0,,,,,,
2001-03-01,181.727,2917.0,2917.0,,,,,,
2001-04-01,127.31200000000001,2044.0,2044.0,,,,,,
2001-05-01,103.94300000000001,1669.0,1669.0,,,,,,
2001-06-01,157.577,2530.0,2530.0,,,,,,
2001-07-01,180.33200000000002,2895.0,2895.0,,,,,,
2001-08-01,220.381,3538.0,3538.0,,,,,,
2001-09-01,185.90800000000002,2984.0,2984.0,,,,,,
2001-10-01,156.425,2511.0,2511.0,,,,,,
2001-11-01,127.81400000000001,2052.0,2052.0,,,,,,
2001-12-01,111.333,1787.0,1787.0,,,,,,
2002-01-01,92.521,948.0,948.0,26.192,269.0,269.0,3.58,37.0,37.0
2002-02-01,85.278,874.0,874.0,24.142,248.0,248.0,3.3,34.0,34.0
2002-03-01,113.944,1167.0,1167.0,32.257000000000005,331.0,331.0,4.409,45.0,45.0
2002-04-01,129.856,1330.0,1330.0,36.762,377.0,377.0,5.025,51.0,51.0
2002-05-01,93.501,958.0,958.0,26.47,271.0,271.0,3.6180000000000003,37.0,37.0
2002-06-01,116.6,1195.0,1195.0,33.009,339.0,339.0,4.5120000000000005,46.0,46.0
2002-07-01,169.537,1737.0,1737.0,47.995,492.0,492.0,6.56,67.0,67.0
2002-08-01,173.244,1775.0,1775.0,49.045,503.0,503.0,6.704000000000001,69.0,69.0
2002-09-01,142.957,1465.0,1465.0,40.471000000000004,415.0,415.0,5.532,57.0,57.0
2002-10-01,113.505,1163.0,1163.0,32.133,330.0,330.0,4.392,45.0,45.0
2002-11-01,94.421,967.0,967.0,26.73,274.0,274.0,3.6540000000000004,37.0,37.0
2002-12-01,147.637,1513.0,1513.0,41.795,429.0,429.0,5.713,58.0,58.0
2003-01-01,18.084,171.0,171.0,8.477,80.0,80.0,16.201,141.0,141.0
2003-02-01,15.436,146.0,146.0,7.235,69.0,69.0,13.828000000000001,120.0,120.0
2003-03-01,14.109,134.0,134.0,6.614,63.0,63.0,12.639000000000001,110.0,110.0
2003-04-01,12.256,116.0,116.0,5.745,55.0,55.0,10.979000000000001,95.0,95.0
2003-05-01,12.941,122.0,122.0,6.066000000000001,58.0,58.0,11.593,101.0,101.0
2003-06-01,15.308000000000002,145.0,145.0,7.176,68.0,68.0,13.714,119.0,119.0
