measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,4216.859,75060.0,75060.0,,,
2003-02-01,3583.347,63783.0,63783.0,,,
2003-03-01,3959.6130000000003,70481.0,70481.0,,,
2003-04-01,3434.302,61130.0,61130.0,,,
2003-05-01,3090.367,55008.0,55008.0,,,
2003-06-01,3695.643,65782.0,65782.0,,,
2003-07-01,4468.293000000001,79535.0,79535.0,,,
2003-08-01,4213.6990000000005,75004.0,75004.0,,,
2003-09-01,3915.9730000000004,69704.0,69704.0,,,
2003-10-01,3829.4570000000003,68164.0,68164.0,,,
2003-11-01,3649.982,64969.0,64969.0,,,
2003-12-01,4124.466,73415.0,73415.0,,,
2004-01-01,3114.1670000000004,57078.0,57078.0,,,
2004-02-01,3114.1670000000004,57078.0,57078.0,,,
2004-03-01,3114.1670000000004,57078.0,57078.0,,,
2004-04-01,3114.1670000000004,57078.0,57078.0,,,
2004-05-01,3114.1670000000004,57078.0,57078.0,,,
2004-06-01,3114.1670000000004,57078.0,57078.0,,,
2004-07-01,3114.1670000000004,57078.0,57078.0,,,
2004-08-01,3114.1670000000004,57078.0,57078.0,,,
2004-09-01,3114.1670000000004,57078.0,57078.0,,,
2004-10-01,3114.1670000000004,57078.0,57078.0,,,
2004-11-01,3114.1670000000004,57078.0,57078.0,,,
2004-12-01,3114.1670000000004,57078.0,57078.0,,,
2005-01-01,2822.945,30730.9,30730.9,0.0,0.0,0.0
2005-02-01,2518.289,27414.38,27414.38,0.0,0.0,0.0
2005-03-01,2876.235,31311.01,31311.01,0.0,0.0,0.0
2005-04-01,2870.289,31246.29,31246.29,0.0,0.0,0.0
2005-05-01,3155.465,34350.75,34350.75,0.0,0.0,0.0
2005-06-01,3126.154,34031.67,34031.67,0.0,0.0,0.0
2005-07-01,3236.965,35237.97,35237.97,0.0,0.0,0.0
2005-08-01,3222.335,35078.71,35078.71,0.0,0.0,0.0
2005-09-01,3035.418,33043.91,33043.91,0.0,0.0,0.0
2005-10-01,3064.03,33355.37,33355.37,0.0,0.0,0.0
2005-11-01,3085.996,33594.5,33594.5,0.0,0.0,0.0
2005-12-01,3092.878,33669.42,33669.42,0.0,0.0,0.0
2006-01-01,3.6710000000000003,75.0,75.0,0.0,0.0,0.0
2006-02-01,3.3930000000000002,69.0,69.0,0.0,0.0,0.0
2006-03-01,3.742,76.0,76.0,0.0,0.0,0.0
2006-04-01,2.753,56.0,56.0,0.0,0.0,0.0
2006-05-01,3.366,68.0,68.0,0.0,0.0,0.0
2006-06-01,3.5260000000000002,72.0,72.0,0.0,0.0,0.0
2006-07-01,3.66,74.0,74.0,0.0,0.0,0.0
2006-08-01,3.6380000000000003,74.0,74.0,0.0,0.0,0.0
2006-09-01,3.48,71.0,71.0,0.0,0.0,0.0
2006-10-01,3.611,73.0,73.0,0.0,0.0,0.0
2006-11-01,3.6470000000000002,74.0,74.0,0.0,0.0,0.0
2006-12-01,3.5140000000000002,71.0,71.0,0.0,0.0,0.0
2007-01-01,2.2310000000000003,20.0,20.0,0.0,0.0,0.0
2007-02-01,2.119,19.0,19.0,0.0,0.0,0.0
2007-03-01,2.593,23.0,23.0,0.0,0.0,0.0
2007-04-01,3.274,30.0,30.0,0.0,0.0,0.0
2007-05-01,4.328,39.0,39.0,0.0,0.0,0.0
2007-06-01,4.032,36.0,36.0,0.0,0.0,0.0
2007-07-01,4.2540000000000004,38.0,38.0,0.0,0.0,0.0
2007-08-01,4.071000000000001,37.0,37.0,0.0,0.0,0.0
2007-09-01,4.2,38.0,38.0,0.0,0.0,0.0
2007-10-01,4.445,40.0,40.0,0.0,0.0,0.0
2007-11-01,2.923,26.0,26.0,0.0,0.0,0.0
2007-12-01,2.529,23.0,23.0,0.0,0.0,0.0
2008-01-01,3570.286,68809.0,68809.0,0.0,0.0,0.0
2008-02-01,3146.21,60636.0,60636.0,0.0,0.0,0.0
2008-03-01,3424.4900000000002,65999.0,65999.0,0.0,0.0,0.0
2008-04-01,3967.311,76461.0,76461.0,0.0,0.0,0.0
2008-05-01,4302.928,82929.0,82929.0,0.0,0.0,0.0
2008-06-01,4478.167,86306.0,86306.0,0.0,0.0,0.0
2008-07-01,3524.257,67922.0,67922.0,0.0,0.0,0.0
2008-08-01,4166.549,80300.0,80300.0,0.0,0.0,0.0
2008-09-01,4245.828,81829.0,81829.0,0.0,0.0,0.0
2008-10-01,4148.755,79957.0,79957.0,0.0,0.0,0.0
2008-11-01,3110.733,59952.0,59952.0,0.0,0.0,0.0
2008-12-01,3116.4860000000003,60063.0,60063.0,0.0,0.0,0.0
2009-01-01,2840.348,55262.0,55262.0,0.0,0.0,0.0
2009-02-01,2808.6620000000003,54645.0,54645.0,0.0,0.0,0.0
2009-03-01,3447.59,67076.0,67076.0,0.0,0.0,0.0
2009-04-01,3279.022,63796.0,63796.0,0.0,0.0,0.0
2009-05-01,4501.702,87584.0,87584.0,0.0,0.0,0.0
2009-06-01,3931.713,76495.0,76495.0,0.0,0.0,0.0
2009-07-01,4184.5740000000005,81415.0,81415.0,0.0,0.0,0.0
2009-08-01,4096.997,79710.0,79710.0,0.0,0.0,0.0
2009-09-01,2782.166,54129.0,54129.0,0.0,0.0,0.0
2009-10-01,3909.775,76068.0,76068.0,0.0,0.0,0.0
2009-11-01,4408.207,85765.0,85765.0,0.0,0.0,0.0
2009-12-01,3348.244,65143.0,65143.0,0.0,0.0,0.0
2010-01-01,3550.87,68197.0,68197.0,0.0,0.0,0.0
2010-02-01,3812.402,73219.0,73219.0,0.0,0.0,0.0
2010-03-01,4810.89,92396.0,92396.0,0.0,0.0,0.0
2010-04-01,4891.486,93943.0,93943.0,0.0,0.0,0.0
2010-05-01,4502.363,86470.0,86470.0,0.0,0.0,0.0
2010-06-01,3817.824,73323.0,73323.0,0.0,0.0,0.0
2010-07-01,3413.6290000000004,65561.0,65561.0,0.0,0.0,0.0
2010-08-01,3635.569,69823.0,69823.0,0.0,0.0,0.0
2010-09-01,3917.0310000000004,75229.0,75229.0,0.0,0.0,0.0
2010-10-01,2746.525,52748.0,52748.0,0.0,0.0,0.0
2010-11-01,2078.375,39916.0,39916.0,0.0,0.0,0.0
2010-12-01,2614.036,50204.0,50204.0,0.0,0.0,0.0
2011-01-01,3316.225,64426.0,64426.0,0.0,0.0,0.0
2011-02-01,2884.815,56045.0,56045.0,0.0,0.0,0.0
