measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-01-01,190.405,2232.51,81750.5
2004-02-01,177.043,2075.85,76013.86
2004-03-01,151.137,1772.09,64890.54
2004-04-01,150.99800000000002,1770.46,64831.26
2004-05-01,200.31400000000002,2348.7,86004.88
2004-06-01,200.116,2346.38,85919.86
2004-07-01,214.37800000000001,2513.6,92043.38
2004-08-01,190.751,2236.57,81898.96
2004-09-01,163.519,1917.27,70206.76
2004-10-01,157.92600000000002,1851.69,67805.66
2004-11-01,142.305,1668.54,61098.7
2004-12-01,152.43,1787.25,65445.9
2005-01-01,0.0,0.0,72554.82
2005-02-01,0.0,0.0,63389.82
2005-03-01,0.0,0.0,68737.5
2005-04-01,0.0,0.0,57882.24
2005-05-01,0.0,0.0,68821.74
2005-06-01,0.0,0.0,70935.02
2005-07-01,0.0,0.0,75579.66
2005-08-01,0.0,0.0,74427.08
2005-09-01,0.0,0.0,69835.74
2005-10-01,0.0,0.0,68782.48
2005-11-01,0.0,0.0,68271.06
2005-12-01,0.0,0.0,73848.84
