measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,3680.91593,48737.41,125112.0,18370.86322,243240.64,624414.0,,,,8933.6717,118286.88,303649.84,,,,9.48532,125.59,322.4,15742.86483,208444.45,535090.0
2004-02-01,2074.78181,27471.29,75816.0,15514.23189,205417.23,566916.0,,,,7230.37269,95734.23,264209.92,,,,355.79651,4710.95,13001.4,13284.83209,175898.71,485450.0
2004-03-01,596.13328,7893.14,19682.0,7842.21777,103835.41,258919.5,,,,6308.63598,83529.92,208286.6,,,,864.00859,11439.96,28526.2,10052.06038,133094.98,331879.9
2004-04-01,648.58565,8587.64,32162.0,15415.97666,204116.27,764445.9,,,,4517.43999,59813.47,224010.36,,,,397.45785,5262.57,19709.1,26555.38984,351608.42,1316826.0
2004-05-01,876.76208,11608.83,42978.0,12431.71031,164602.89,609390.0,,,,2979.43046,39449.35,146048.7,,,,364.11596,4821.1,17848.6,22019.26219,291547.52,1079362.2
2004-06-01,1641.75091,21737.71,74204.0,12583.80704,166616.74,568764.0,,,,3928.15921,52011.05,177545.28,,,,526.61964,6972.74,23802.2,21210.5262,280839.39,958675.2
2004-07-01,1872.67687,24795.3,84032.0,16899.59394,223760.21,758329.8,,,,5436.25001,71979.03,243939.02,,,,274.73519,3637.65,12328.1,25548.37398,338274.96,1146423.6
2004-08-01,1865.94729,24706.2,84474.0,12198.10525,161509.83,552225.0,,,,3246.09357,42980.12,146955.12,,,,387.65555,5132.78,17549.7,21463.23134,284185.35,971670.0
2004-09-01,1882.17687,24921.09,84344.0,11958.79669,158341.25,535896.9,,,,3869.81424,51238.54,173413.89,,,,416.13238,5509.83,18647.7,20016.19582,265025.79,896964.6
2004-10-01,2609.06585,34545.51,117468.0,17178.94885,227459.02,773448.0,,,,4929.508400000001,65269.48,221941.31,,,,190.90016,2527.63,8594.9,25680.18174,340020.16,1156199.1
2004-11-01,1676.37195,22196.11,94146.0,10879.51078,144050.89,610999.5,,,,4036.51013,53445.68,226692.7,,,,181.06477,2397.4,10168.7,15761.50738,208691.29,885175.2
2004-12-01,2070.84829,27419.21,94666.0,14753.01233,195338.25,674413.8,,,,7034.42419,93139.76,321569.09,,,,520.01336,6885.27,23771.7,21091.90682,279268.8,964187.7
2005-01-01,3537.28445,46835.65,121732.0,22471.27855,297532.46,773325.9,,,,8351.70828,110581.35,287415.44,,,,467.59499,6191.22,16091.8,16432.94872,217581.55,565523.0
2005-02-01,4211.43587,55761.8,146978.0,17735.96226,234834.19,618980.4,,,,5736.84827,75959.12,200214.49,,,,523.48534,6931.24,18269.5,11942.41126,158124.29,416787.0
2005-03-01,951.56095,12599.21,34398.0,8888.83741,117693.25,321322.8,,,,6908.99338,91478.99,249753.37,,,,690.84575,9147.19,24973.4,6903.3675,91404.5,249550.0
2005-04-01,5029.49263,66593.33,96798.0,16695.49634,221057.83,321322.8,,,,12976.84595,171820.79,249753.37,,,,1297.58395,17180.75,24973.4,12966.27912,171680.88,249550.0
2005-05-01,2305.45486,30525.53,73788.0,19339.26631,256062.85,618969.3,,,,4847.68064,64186.04,155154.05,,,,364.98036,4832.55,11681.5,13705.68983,181471.1,438662.0
2005-06-01,3691.55769,48878.32,135356.0,16952.86695,224465.58,621600.0,,,,4814.99003,63753.2,176548.18,,,,233.57647,3092.68,8564.4,11480.22186,152004.65,420938.0
2005-07-01,5066.24245,67079.93,180570.0,21800.24581,288647.63,777000.0,,,,6299.8485,83413.57,224537.94,,,,901.94659,11942.28,32147.0,8645.85965,114476.09,308154.0
2005-08-01,7515.00056,99502.87,179712.0,22119.91188,292880.18,528970.5,,,,5773.42201,76443.38,138064.29,,,,1370.30669,18143.64,32769.2,13439.28586,177943.77,321384.0
2005-09-01,4268.71917,56520.26,138346.0,14391.63063,190553.34,466422.0,,,,4011.14952,53109.89,129998.36,,,,509.50572,6746.14,16512.7,13608.08897,180178.81,441028.0
2005-10-01,6793.01193,89943.33,205270.0,23274.21501,308163.8,703296.0,,,,3906.3065,51721.71,118040.06,,,,359.12255,4754.99,10851.9,14498.59801,191969.66,438116.0
2005-11-01,5306.46076,70260.55,167752.0,17131.32866,226828.49,541569.0,,,,3476.37552,46029.18,109897.91,,,,703.33887,9312.6,22234.5,12178.61719,161251.79,385000.0
2005-12-01,6988.87911,92536.72,252954.0,15135.0867,200397.13,547796.1,,,,3287.94306,43534.23,119003.11,,,,908.75266,12032.4,32891.2,11006.19847,145728.31,398356.0
2006-01-01,1304.15903,17267.8,144274.0,6731.87736,89133.87,744721.2,,,,1184.21145,15679.63,131004.67,,,,271.56797,3595.71,30042.5,42652.47419,564742.94,4718476.0
2006-02-01,5866.64635,77677.72,193726.0,17360.1414,229858.11,573259.5,,,,3621.98168,47957.09,119603.6,,,,1302.32971,17243.58,43005.0,10597.00586,140310.37,349930.0
2006-03-01,3316.37559,43910.69,126048.0,11725.63252,155254.02,445665.0,,,,4713.42906,62408.47,179146.87,,,,233.19713000000002,3087.66,8863.3,9924.7107,131408.8,377216.0
2006-04-01,3989.02631,52816.97,126048.0,21943.47399,290544.03,693385.0,,,,5504.31072,72880.19,173929.0,,,,280.49582,3713.92,8863.3,11937.93216,158064.99,377223.0
2006-05-01,1680.34007,22248.66,52000.0,18041.90827,238885.09,558327.0,,,,3853.66607,51024.72,119256.0,,,,791.81825,10484.12,24503.7,10404.73034,137764.53,321986.0
2006-06-01,7119.26359,94263.08,254358.0,15620.63129,206826.01,558096.0,,,,2612.5910000000003,34592.19,93343.0,,,,643.66643,8522.51,22997.0,10533.6597,139471.62,376348.0
2006-07-01,2668.36606,35330.68,79768.0,22616.01476,299448.85,676082.0,,,,3979.63476,52692.62,118967.0,,,,506.46369,6705.87,15140.2,16928.91072,224148.37,506072.0
2006-08-01,4631.13744,61318.89,145184.0,17806.22969,235764.58,558217.0,,,,4018.14587,53202.53,125967.0,,,,322.03031,4263.86,10095.5,13036.49369,172610.57,408688.0
2006-09-01,5593.23157,74057.56,177190.0,17709.38519,234482.29,561022.0,,,,3612.82544,47835.86,114452.0,,,,91.07822999999999,1205.93,2885.3,12807.51858,169578.8,405734.0
2006-10-01,4514.31409,59772.08,129428.0,24075.58608,318774.42,690261.0,,,,4648.21441,61545.0,133267.0,,,,404.67267,5358.1,11602.2,16638.51975,220303.44,477036.0
2006-11-01,2361.66623,31269.8,78754.0,16698.84609,221102.19,556853.0,,,,4224.66385,55936.95,140879.0,,,,664.20476,8794.45,22149.1,14547.12507,192612.19,485100.0
2006-12-01,6573.34409,87034.8,209222.0,22467.6965,297485.05,715121.0,,,,5087.08253,67355.86,161916.0,,,,456.70198,6046.99,14536.3,16829.6359,222833.93,535668.0
2007-01-01,7371.086,97604.0,244296.0,21143.383,279950.0,700744.0,,,,5360.222000000001,70972.0,177651.0,,,,807.26,10687.0,26755.0,16847.747,223076.0,558376.0
2007-02-01,3834.8140000000003,50778.0,132808.0,20232.941,267894.0,700711.0,,,,3432.991,45455.0,118892.0,,,,406.7,5386.0,14085.0,12521.184000000001,165788.0,433636.0
2007-03-01,4370.0380000000005,57850.0,140114.0,18588.46,246125.0,595991.0,,,,3209.271,42493.0,102897.0,,,,823.7990000000001,10907.0,26413.0,12399.937,164185.0,397572.0
2007-04-01,3098.286,41028.0,142272.0,11732.88,155353.0,538769.0,,,,4416.351000000001,58475.0,202797.0,,,,838.758,11108.0,38515.0,9827.07,130116.0,451255.0
2007-05-01,0.0,0.0,0.0,18559.98,245740.0,589996.0,,,,2954.612,39121.0,93923.0,,,,579.629,7674.0,18426.0,12255.71,162274.0,389592.0
2007-06-01,5187.024,68692.0,104780.0,2920.931,38676.0,59004.0,,,,4661.738,61724.0,94169.0,,,,522.445,6918.0,10554.0,21057.793,278817.0,425376.0
2007-07-01,4561.49,60398.0,138762.0,22672.704,300201.0,689711.0,,,,3066.7,40605.0,93290.0,,,,557.522,7379.0,16960.0,17243.012000000002,228305.0,524538.0
2007-08-01,2632.0440000000003,34840.0,79014.0,18325.509,242638.0,550132.0,,,,3205.4950000000003,42443.0,96229.0,,,,253.05800000000002,3354.0,7597.0,14917.782,197519.0,447832.0
2007-09-01,4269.871,56524.0,93834.0,10691.24,141557.0,234949.0,,,,3917.5750000000003,51871.0,86092.0,,,,176.776,2342.0,3885.0,20134.382,266588.0,442470.0
2007-10-01,3925.6440000000002,51974.0,114140.0,23380.144,309562.0,679789.0,,,,3160.945,41853.0,91906.0,,,,281.749,3731.0,8192.0,19561.635000000002,259007.0,568764.0
2007-11-01,2815.7850000000003,37284.0,104182.0,14588.365,193160.0,539759.0,,,,3245.8740000000003,42977.0,120095.0,,,,782.7180000000001,10362.0,28960.0,12926.792,171157.0,478282.0
2007-12-01,4146.299,54912.0,170222.0,13858.393,183491.0,568942.0,,,,3360.2110000000002,44491.0,137950.0,,,,864.423,11443.0,35488.0,8144.962,107842.0,334383.0
2008-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,34789.565,111925.0,111925.0,,,,5206.93,16752.0,16752.0,,,
2008-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,35532.853,101492.0,101492.0,,,,996.9590000000001,2848.0,2848.0,,,
2008-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,34832.527,73312.0,73312.0,,,,3310.589,6968.0,6968.0,,,
2008-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,40578.957,85527.0,85527.0,,,,7493.661,15794.0,15794.0,,,
2008-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,24243.994,210101.0,210101.0,,,,877.4540000000001,7604.0,7604.0,,,
2008-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,34807.856,58042.0,58042.0,,,,4650.871,7755.0,7755.0,,,
2008-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,47279.869,96564.0,96564.0,,,,2319.626,4738.0,4738.0,,,
