measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,33417.24,363518.0,373735.0,,,
2001-02-01,30387.099,338494.0,347346.0,,,
2001-03-01,23994.277000000002,267352.0,273501.0,,,
2001-04-01,27371.863,298926.0,305569.0,,,
2001-05-01,33475.924,356886.0,366891.0,,,
2001-06-01,32589.144,350363.0,363240.0,,,
2001-07-01,33626.825,364497.0,376017.0,,,
2001-08-01,33610.99,366190.0,378019.0,,,
2001-09-01,16930.78,183126.0,188148.0,,,
2001-10-01,34081.393,376940.0,389199.0,,,
2001-11-01,32574.24,356191.0,362961.0,,,
2001-12-01,34353.388,378928.0,389325.0,,,
2002-01-01,34081.393,378391.0,384594.0,,,
2002-02-01,30811.859,335945.0,343391.0,,,
2002-03-01,19892.922,219299.0,224209.0,,,
2002-04-01,32471.776,356428.0,364800.0,,,
2002-05-01,33600.743,365314.0,373551.0,,,
2002-06-01,32545.364,353195.0,363305.0,,,
2002-07-01,33651.975,366383.0,380379.0,,,
2002-08-01,33649.181,363401.0,375584.0,,,
2002-09-01,32526.734,335322.0,346272.0,,,
2002-10-01,34385.99,370798.0,377201.0,,,
2002-11-01,17662.932,193565.0,197143.0,,,
2002-12-01,36792.0,379724.0,387853.0,,,
2003-01-01,36876.0,375049.0,383714.0,10.0,105.0,108.0
2003-02-01,33217.0,343371.0,349820.0,12.0,122.0,125.0
2003-03-01,36585.0,382813.0,389501.0,11.0,111.0,113.0
2003-04-01,29229.0,305871.0,312600.0,10.0,99.0,102.0
2003-05-01,25934.0,261637.0,267787.0,83.0,840.0,860.0
2003-06-01,34263.0,359536.0,366250.0,30.0,301.0,306.0
2003-07-01,35767.0,372791.0,381451.0,36.0,376.0,385.0
2003-08-01,36161.0,379123.0,387704.0,2.0,17.0,17.0
2003-09-01,29160.0,305105.0,312123.0,100.0,1051.0,1075.0
2003-10-01,36936.0,379361.0,389095.0,0.0,0.0,0.0
2003-11-01,16812.0,174137.0,177866.0,95.0,959.0,979.0
2003-12-01,36822.0,392853.0,400587.0,0.0,0.0,0.0
2004-01-01,33439.58957,338599.3,378013.75,70.34443,712.29,795.2
2004-02-01,32193.66645,325983.46,363935.0,38.18355,386.64,431.65
2004-03-01,31242.16605,316348.84,353179.75,32.56095,329.7,368.09
2004-04-01,25915.91802,262416.85,292966.25,39.12498,396.17,442.29
2004-05-01,30373.29243,307550.89,343353.0,55.27457,559.69,624.85
2004-06-01,28965.225,293293.22,327439.0,34.171,346.01,386.29
2004-07-01,33456.47115,338770.23,378212.25,30.85185,312.4,348.77
2004-08-01,30860.41378,312483.33,348863.5,35.538219999999995,359.85,401.74
2004-09-01,23741.42229,240398.55,268384.0,39.80871,403.09,450.02
2004-10-01,25823.18558,261477.87,291917.5,42.300419999999995,428.32,478.18
2004-11-01,24525.90395,248341.98,277251.5,44.500049999999995,450.59,503.05
2004-12-01,28314.84142,286707.64,320084.5,45.60458,461.78,515.54
2005-01-01,30114.47086,304930.16,347432.99,44.10914,446.64,508.89
2005-02-01,26310.08856,266408.1,303545.94,10.76344,108.99,124.18
2005-03-01,28529.60414,288882.25,329152.63,15.379859999999999,155.73,177.44
2005-04-01,24024.15942,243261.47,277172.29,12.632579999999999,127.91,145.75
2005-05-01,28564.57571,289236.38,329556.32,13.06429,132.29,150.73
2005-06-01,29441.72128,298118.09,339676.54,11.42572,115.69,131.82
2005-07-01,31369.72345,317640.47,361916.97,33.33555,337.55,384.6
2005-08-01,30891.44579,312797.56,356397.78,40.34621,408.53,465.48
2005-09-01,28985.73194,293500.87,334412.09,33.31106,337.3,384.31
2005-10-01,28548.33754,289071.95,329368.94,14.045459999999999,142.22,162.05
2005-11-01,28336.0251,286922.13,326919.35,14.074900000000001,142.52,162.39
2005-12-01,30651.33106,310366.23,353628.83,31.75094,321.5,366.32
2006-01-01,30950.01664,313390.63,356353.38,35.36936,358.14,407.24
2006-02-01,28891.24815,292544.15,332647.65,42.82685,433.65,493.1
2006-03-01,28243.79846,285988.27,325193.82,36.18054,366.35,416.58
2006-04-01,25463.92312,257840.09,293187.6,27.862879999999997,282.13,320.81
2006-05-01,28656.48767,290167.05,329943.77,49.23233,498.51,566.85
2006-06-01,31614.72698,320121.28,364005.21,46.322019999999995,469.04,533.34
2006-07-01,33291.13551,337096.1,383307.08,48.922489999999996,495.37,563.28
2006-08-01,33785.07591,342097.59,388990.21,76.97309,779.41,886.24
2006-09-01,28818.30039,291805.52,331806.67,50.210609999999996,508.42,578.11
2006-10-01,24333.8386,246397.19,280175.99,26.7814,271.18,308.36
2006-11-01,24038.40621,243405.73,276775.26,21.67379,219.46,249.55
2006-12-01,29220.94149,295882.54,336444.14,41.032509999999995,415.48,472.44
2007-01-01,33509.554000000004,349060.0,393407.0,1.4460000000000002,17.0,17.0
2007-02-01,30305.05,315549.0,351874.0,1.95,23.0,23.0
2007-03-01,29213.544,304414.0,345847.0,66.456,691.0,787.0
2007-04-01,31658.335,330503.0,368657.0,11.665,125.0,136.0
2007-05-01,19061.947,199835.0,225380.0,10.053,108.0,119.0
2007-06-01,30405.866,317752.0,358424.0,45.134,470.0,532.0
2007-07-01,32733.189,341991.0,382598.0,5.811,62.0,68.0
2007-08-01,32506.99,340109.0,385998.0,10.01,108.0,119.0
2007-09-01,15958.057,166947.0,189054.0,54.943000000000005,577.0,651.0
2007-10-01,33423.0,349235.0,400087.0,0.0,0.0,0.0
2007-11-01,32197.426,337355.0,389338.0,13.574,142.0,164.0
2007-12-01,29240.516,201438.0,201438.0,94.48400000000001,651.0,651.0
2008-01-01,33547.58,351667.0,401166.0,1.42,15.0,17.0
2008-02-01,31060.943,326250.0,341900.0,2.057,22.0,23.0
2008-03-01,21609.324,228382.0,262863.0,64.676,684.0,787.0
2008-04-01,31644.484,168465.0,168465.0,25.516000000000002,136.0,136.0
2008-05-01,22262.766,233534.0,286554.0,9.234,97.0,119.0
2008-06-01,31625.052,330876.0,374341.0,44.948,470.0,532.0
2008-07-01,32333.977,338801.0,437178.0,5.023000000000001,53.0,68.0
2008-08-01,32723.476,342423.0,408409.0,9.524000000000001,100.0,119.0
2008-09-01,31572.294,330298.0,350058.0,58.706,614.0,651.0
2008-10-01,31008.0,324300.0,403274.0,0.0,0.0,0.0
2008-11-01,15045.754,143195.0,143195.0,17.246000000000002,164.0,164.0
2008-12-01,28594.706,146215.0,146215.0,127.29400000000001,651.0,651.0
2009-01-01,33176.466,345853.0,416664.0,22.534000000000002,235.0,283.0
2009-02-01,29976.835,312418.0,369200.0,15.165,158.0,187.0
2009-03-01,29991.129,314042.0,357183.0,88.87100000000001,931.0,1058.0
2009-04-01,28732.556,301713.0,339282.0,82.444,866.0,974.0
2009-05-01,21068.516,222216.0,230527.0,14.484,153.0,158.0
2009-06-01,26434.49,276444.0,316702.0,85.51,894.0,1024.0
2009-07-01,32066.034,334606.0,387241.0,22.966,240.0,277.0
2009-08-01,32571.091,339746.0,397619.0,13.909,145.0,170.0
2009-09-01,29356.965,307306.0,362710.0,98.035,1026.0,1211.0
2009-10-01,24563.289,257862.0,295377.0,28.711000000000002,301.0,345.0
2009-11-01,25133.53,209222.0,209222.0,92.47,770.0,770.0
2009-12-01,33300.429000000004,348186.0,393865.0,9.571,100.0,113.0
2010-01-01,33457.0,350050.0,505109.0,0.0,0.0,0.0
2010-02-01,29017.121,304178.0,567989.0,13.879000000000001,145.0,272.0
2010-03-01,32140.18,336901.0,499850.0,1.82,19.0,28.0
2010-04-01,28259.0,298193.0,327434.0,0.0,0.0,0.0
2010-05-01,6479.37,40995.0,40995.0,11.63,74.0,74.0
2010-06-01,20541.115,97070.0,97070.0,374.885,1772.0,1772.0
2010-07-01,32731.293,325584.0,325584.0,1.707,17.0,17.0
2010-08-01,32732.0,343457.0,368677.0,0.0,0.0,0.0
2010-09-01,25392.874,266315.0,364468.0,5.126,54.0,74.0
2010-10-01,26452.201,278431.0,427863.0,2.799,29.0,45.0
