measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2003-01-01,34.285,365.0,365.0,5.275,56.0,56.0,131.866,1392.0,1392.0
2003-02-01,29.263,312.0,312.0,4.502,48.0,48.0,112.551,1188.0,1188.0
2003-03-01,26.748,285.0,285.0,4.115,44.0,44.0,102.878,1086.0,1086.0
2003-04-01,23.235,247.0,247.0,3.575,38.0,38.0,89.365,943.0,943.0
2003-05-01,24.534000000000002,261.0,261.0,3.775,40.0,40.0,94.363,996.0,996.0
2003-06-01,29.022000000000002,309.0,309.0,4.465,48.0,48.0,111.62400000000001,1178.0,1178.0
2003-07-01,35.832,382.0,382.0,5.513,59.0,59.0,137.815,1455.0,1455.0
2003-08-01,38.048,405.0,405.0,5.854,62.0,62.0,146.338,1545.0,1545.0
2003-09-01,28.199,300.0,300.0,4.338,46.0,46.0,108.45700000000001,1145.0,1145.0
2003-10-01,25.939,276.0,276.0,3.991,43.0,43.0,99.76700000000001,1053.0,1053.0
2003-11-01,26.605,283.0,283.0,4.093,44.0,44.0,102.327,1080.0,1080.0
2003-12-01,35.009,373.0,373.0,5.386,57.0,57.0,134.65,1421.0,1421.0
2004-01-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-02-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-03-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-04-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-05-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-06-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-07-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-08-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-09-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-10-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-11-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2004-12-01,1.01786,10.35,10.35,0.0,0.0,0.0,59.170139999999996,601.9,601.9
2005-01-01,52.339439999999996,553.59,726.05,0.0,0.0,0.0,334.64156,3539.47,4642.15
2005-02-01,12.77097,135.08,177.16,0.0,0.0,0.0,81.65303,863.65,1132.68
2005-03-01,18.24692,193.0,253.12,0.0,0.0,0.0,116.67608,1234.07,1618.49
2005-04-01,14.988859999999999,158.53,207.92,0.0,0.0,0.0,95.83713999999999,1013.65,1329.42
2005-05-01,15.4985,163.93,214.99,0.0,0.0,0.0,99.1055,1048.22,1374.77
2005-06-01,13.557929999999999,143.4,188.08,0.0,0.0,0.0,86.67907,916.79,1202.46
2005-07-01,39.55191,418.34,548.67,0.0,0.0,0.0,252.88409000000001,2674.73,3508.01
2005-08-01,47.871489999999994,506.33,664.07,0.0,0.0,0.0,306.09150999999997,3237.51,4246.06
2005-09-01,39.523219999999995,418.03,548.26,0.0,0.0,0.0,252.71478,2672.94,3505.64
2005-10-01,16.66703,176.29,231.21,0.0,0.0,0.0,106.55797,1127.06,1478.19
2005-11-01,16.700419999999998,176.64,231.67,0.0,0.0,0.0,106.79358,1129.54,1481.44
2005-12-01,37.67431,398.48,522.62,0.0,0.0,0.0,240.87669,2547.74,3341.44
2006-01-01,0.13454,1.42,3.25,0.0,0.0,0.0,71.61346,757.46,1728.84
2006-02-01,0.16337,1.73,3.94,0.0,0.0,0.0,86.71163,917.14,2093.34
2006-03-01,0.13934,1.47,3.36,0.0,0.0,0.0,73.25966,774.86,1768.62
2006-04-01,0.10571,1.12,2.55,0.0,0.0,0.0,56.417289999999994,596.73,1362.0
2006-05-01,0.1874,1.98,4.52,0.0,0.0,0.0,99.6876,1054.39,2406.6
2006-06-01,0.17778,1.88,4.29,0.0,0.0,0.0,93.79422,992.06,2264.4
2006-07-01,0.18739,1.98,4.52,0.0,0.0,0.0,99.05461,1047.7,2391.36
2006-08-01,0.29311,3.1,7.08,0.0,0.0,0.0,155.84989,1648.41,3762.42
2006-09-01,0.1922,2.03,4.64,0.0,0.0,0.0,101.6598,1075.25,2454.24
2006-10-01,0.1033,1.09,2.49,0.0,0.0,0.0,54.2227,573.51,1309.08
2006-11-01,0.08169,0.86,1.97,0.0,0.0,0.0,43.88531,464.17,1059.42
2006-12-01,0.15616,1.65,3.77,0.0,0.0,0.0,83.08184,878.75,2005.74
2007-01-01,29.616,249.0,249.0,0.0,0.0,0.0,268.83,2262.0,2262.0
2007-02-01,112.88300000000001,951.0,951.0,0.0,0.0,0.0,1024.674,8619.0,8619.0
2007-03-01,32.953,278.0,278.0,0.0,0.0,0.0,299.123,2517.0,2517.0
2007-04-01,23.765,197.0,197.0,0.0,0.0,0.0,215.726,1815.0,1815.0
2007-05-01,4.896,41.0,41.0,0.0,0.0,0.0,44.446000000000005,371.0,371.0
2007-06-01,14.977,128.0,128.0,0.0,0.0,0.0,135.948,1143.0,1143.0
2007-07-01,6.61,58.0,58.0,0.0,0.0,0.0,59.998000000000005,505.0,505.0
2007-08-01,31.398000000000003,267.0,267.0,0.0,0.0,0.0,285.007,2395.0,2395.0
2007-09-01,3.9520000000000004,35.0,35.0,0.0,0.0,0.0,35.872,302.0,302.0
2007-10-01,7.758,64.0,64.0,0.0,0.0,0.0,70.424,592.0,592.0
2007-11-01,2.47,23.0,23.0,0.0,0.0,0.0,22.422,191.0,191.0
2007-12-01,5.199,46.0,46.0,0.0,0.0,0.0,47.193000000000005,394.0,394.0
2008-01-01,15.93,157.0,157.0,0.0,0.0,0.0,789.71,7598.0,7598.0
2008-02-01,6.2410000000000005,58.0,58.0,0.0,0.0,0.0,309.438,2981.0,2981.0
2008-03-01,0.901,6.0,6.0,0.0,0.0,0.0,44.682,433.0,433.0
2008-04-01,1.8820000000000001,17.0,17.0,0.0,0.0,0.0,93.328,901.0,901.0
2008-05-01,1.5730000000000002,17.0,17.0,0.0,0.0,0.0,78.0,752.0,752.0
2008-06-01,16.898,162.0,162.0,0.0,0.0,0.0,837.754,8071.0,8071.0
2008-07-01,8.246,81.0,81.0,0.0,0.0,0.0,408.831,3939.0,3939.0
2008-08-01,3.2720000000000002,29.0,29.0,0.0,0.0,0.0,162.21800000000002,1562.0,1562.0
2008-09-01,4.187,41.0,41.0,0.0,0.0,0.0,207.59300000000002,2001.0,2001.0
2008-10-01,1.202,12.0,12.0,0.0,0.0,0.0,59.604000000000006,576.0,576.0
2008-11-01,17.944000000000003,174.0,174.0,0.0,0.0,0.0,889.6160000000001,8567.0,8567.0
2008-12-01,14.452,139.0,139.0,0.0,0.0,0.0,716.498,6903.0,6903.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1553.554,13937.0,13937.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,570.243,5121.0,5121.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,450.612,4048.0,4048.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,41.757000000000005,377.0,377.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,117.953,1061.0,1061.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,81.298,731.0,731.0
