measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,41566.0,492192.0,492192.0,27783.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-02-01,30157.0,352372.0,352372.0,15077.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-03-01,2837.0,35265.0,35265.0,1418.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-04-01,4826.0,56107.0,56107.0,2577.0,0.0,0.0,,,,328.0,3807.0,3807.0,,,
2003-05-01,0.0,0.0,0.0,,,,,,,739.0,11759.0,11759.0,370.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,,,,919.0,15204.0,15204.0,459.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,,,,2444.0,35888.0,35888.0,1226.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,,,,12982.0,172503.0,172503.0,6511.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,639.0,8765.0,8765.0,319.0,0.0,0.0
2003-10-01,108.0,1410.0,1410.0,,,,,,,958.0,12451.0,12451.0,534.0,0.0,0.0
2003-11-01,1643.0,21633.0,21633.0,,,,,,,4068.0,53555.0,53555.0,2856.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,59318.0,505759.0,505759.0,0.0,0.0,0.0
2004-07-01,30392.0,261800.0,261800.0,0.0,0.0,0.0,,,,36728.0,318056.0,318056.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,111864.0,942570.0,942570.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28082.0,251155.0,251155.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4472.0,39709.0,39709.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16842.0,146996.0,146996.0,0.0,0.0,0.0
2004-12-01,8250.0,74507.0,74507.0,0.0,0.0,0.0,,,,5020.0,45576.0,45576.0,0.0,0.0,0.0
2005-01-01,11536.0,125761.4,125761.4,0.0,0.0,0.0,,,,47686.0,353006.7,353006.7,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1159.0,11402.58,11402.58,0.0,0.0,0.0
2005-03-01,691.0,5724.6,5724.6,0.0,0.0,0.0,,,,24093.0,204506.64,204506.64,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,33744.0,277504.0,277504.0,0.0,0.0,0.0
2005-05-01,40.0,440.8,440.8,0.0,0.0,0.0,,,,218.0,2292.96,2292.96,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,50247.0,419491.32,419491.32,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,88859.0,731229.76,731229.76,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,109856.0,986678.0,986678.0,0.0,0.0,0.0
2005-09-01,28.0,237.8,237.8,0.0,0.0,0.0,,,,59430.0,495644.24,495644.24,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,8317.0,68326.08,68326.08,0.0,0.0,0.0
2005-11-01,0.0,142.5,142.5,0.0,0.0,0.0,,,,0.0,139.74,139.74,0.0,0.0,0.0
2005-12-01,2456.0,21397.8,21397.8,0.0,0.0,0.0,,,,4149.0,39607.62,39607.62,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,,,,,,,0.0,97.0,97.0,0.0,0.0,0.0
2006-02-01,155.0,1300.0,1300.0,,,,,,,10261.0,86531.0,86531.0,0.0,0.0,0.0
2006-03-01,696.0,5837.0,5837.0,,,,,,,16762.0,142185.0,142185.0,0.0,0.0,0.0
2006-04-01,99.0,747.0,747.0,,,,,,,4177.0,32437.0,32437.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,,,,,,,11651.0,87594.0,87594.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,,,,,,,49076.0,415513.0,415513.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,,,,,,,91037.0,781416.0,781416.0,0.0,0.0,0.0
2006-08-01,114.0,912.0,912.0,,,,,,,79283.0,646530.0,646530.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,,,,2154.0,19623.0,19623.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,,,,,,,6843.0,58255.0,58255.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,,,,,,,12824.0,108976.0,108976.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,,,,,,,874.0,8914.0,8914.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,7354.0,65091.0,65091.0,0.0,0.0,0.0
2007-02-01,21863.258,180211.0,180211.0,0.0,0.0,0.0,,,,4122.742,33982.0,33982.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,13464.0,112422.0,112422.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,43950.0,364280.0,364280.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,23214.0,195322.0,195322.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,37428.0,309191.0,309191.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,72345.0,603843.0,603843.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,97605.0,800402.0,800402.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,58347.0,433954.0,433954.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,43179.0,363581.0,363581.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4499.0,40084.0,40084.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16026.0,134259.0,134259.0,0.0,0.0,0.0
2008-01-01,1632.732,14829.0,14829.0,839.58,8796.0,8796.0,,,,63.268,575.0,575.0,20.42,0.0,0.0
2008-02-01,454.1,4320.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.9,21482.0,21482.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1089.0,7775.0,7775.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,19957.0,172343.0,172343.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5190.0,45828.0,45828.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,58619.0,495189.0,495189.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,82221.0,699274.0,699274.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,72158.0,612871.0,612871.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57471.0,482388.0,482388.0,0.0,0.0,0.0
2008-10-01,158.614,1352.0,1352.0,0.0,0.0,0.0,,,,19616.386,167256.0,167256.0,0.0,0.0,0.0
2008-11-01,732.114,6268.0,6268.0,0.0,0.0,0.0,,,,8362.886,71600.0,71600.0,0.0,0.0,0.0
2008-12-01,511.278,4645.0,4645.0,0.0,0.0,0.0,,,,14743.722000000002,133954.0,133954.0,0.0,0.0,0.0
2009-01-01,8856.996000000001,79839.0,79839.0,0.0,0.0,0.0,,,,135.00400000000002,1217.0,1217.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,210.0,210.0,0.0,0.0,0.0
2009-03-01,11209.961,92939.0,92939.0,0.0,0.0,0.0,,,,8979.039,74443.0,74443.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20251.0,173524.0,173524.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,40455.0,326643.0,326643.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,57382.0,497768.0,497768.0,0.0,0.0,0.0
