measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,236.0,1254.0,2673.0,,,,47363.0,286446.0,570920.0
2001-02-01,131.0,683.0,1733.0,,,,66196.0,402113.0,933034.0
2001-03-01,0.0,0.0,0.0,,,,72847.0,430129.0,977622.0
2001-04-01,136.0,705.0,1639.0,,,,62120.0,369663.0,794820.0
2001-05-01,0.0,0.0,0.0,,,,59788.0,335210.0,810520.0
2001-06-01,0.0,0.0,0.0,,,,59453.0,319884.0,860599.0
2001-07-01,0.0,0.0,0.0,,,,63917.0,379458.0,931993.0
2001-08-01,0.0,0.0,0.0,,,,67142.0,390795.0,962818.0
2001-09-01,0.0,0.0,0.0,,,,62395.0,308853.0,902161.0
2001-10-01,116.0,527.0,1612.0,,,,66493.0,361748.0,983810.0
2001-11-01,125.0,569.0,1683.0,,,,66611.0,362659.0,956895.0
2001-12-01,106.0,461.0,1397.0,,,,70674.0,368644.0,993275.0
2002-01-01,0.0,0.0,0.0,,,,74198.0,405198.0,1033201.0
2002-02-01,803.0,4574.0,11127.0,,,,63968.0,364439.0,886456.0
2002-03-01,0.0,0.0,0.0,,,,69868.0,406938.0,936199.0
2002-04-01,0.0,0.0,0.0,,,,66463.0,369464.0,917496.0
2002-05-01,0.0,0.0,0.0,,,,70053.0,408823.0,928906.0
2002-06-01,0.0,0.0,0.0,,,,63869.0,383882.0,848139.0
2002-07-01,0.0,0.0,0.0,,,,67505.0,380783.0,942255.0
2002-08-01,0.0,0.0,0.0,,,,69697.0,414540.0,955189.0
2002-09-01,0.0,0.0,0.0,,,,69639.0,395314.0,990063.0
2002-10-01,0.0,0.0,0.0,,,,73968.0,417240.0,1032467.0
2002-11-01,0.0,0.0,0.0,,,,61812.0,348670.0,862790.0
2002-12-01,0.0,0.0,0.0,,,,72206.0,407301.0,1007873.0
2003-01-01,,,,1355.0,7935.0,20086.0,73347.0,429518.0,1087333.0
2003-02-01,,,,261.0,1549.0,3647.0,64273.0,382183.0,899620.0
2003-03-01,,,,692.0,4103.0,9889.0,67749.0,401590.0,967969.0
2003-04-01,,,,235.0,1366.0,3229.0,66105.0,384396.0,908491.0
2003-05-01,,,,0.0,0.0,0.0,66696.0,395639.0,901301.0
2003-06-01,,,,0.0,0.0,0.0,62229.0,369698.0,872416.0
2003-07-01,,,,0.0,0.0,0.0,63409.0,335913.0,888470.0
2003-08-01,,,,0.0,0.0,0.0,63696.0,331047.0,885726.0
2003-09-01,,,,0.0,0.0,0.0,63021.0,360833.0,903558.0
2003-10-01,,,,0.0,0.0,0.0,65820.0,393200.0,918187.0
2003-11-01,,,,46.0,315.0,660.0,63412.0,432597.0,906677.0
2003-12-01,,,,0.0,0.0,0.0,67729.0,399691.0,973099.0
2004-01-01,0.0,0.0,0.0,384.78948,1875.28,5337.69,44253.55252,215670.95,613872.72
2004-02-01,0.0,0.0,0.0,383.81561999999997,1870.54,5337.69,57238.43638,278953.15,796009.94
2004-03-01,0.0,0.0,0.0,383.61014,1869.53,5337.69,61018.55886,297375.68,849034.32
2004-04-01,0.0,0.0,0.0,383.9739,1871.31,5337.69,54631.9391,266250.31,759448.44
2004-05-01,0.0,0.0,0.0,383.76514,1870.29,5337.69,58122.88886,283263.55,808416.27
2004-06-01,0.0,0.0,0.0,384.78711,1875.27,5337.69,44278.03389,215790.26,614216.1
2004-07-01,0.0,0.0,0.0,383.94480000000004,1871.17,5337.69,55093.1512,268498.04,765917.87
2004-08-01,0.0,0.0,0.0,383.83227,1870.62,5337.69,56952.52373,277559.74,791999.42
2004-09-01,0.0,0.0,0.0,383.94979,1871.19,5337.69,55013.47021,268109.71,764800.18
2004-10-01,0.0,0.0,0.0,384.09856,1871.92,5337.69,52740.68444,257033.22,732919.81
2004-11-01,0.0,0.0,0.0,383.67835,1869.87,5337.69,59709.46265,290995.76,830671.38
2004-12-01,0.0,0.0,0.0,383.55194,1869.25,5337.69,62181.88506,303045.19,865352.55
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,105.81,515.67,1376.1
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,93.80300000000001,457.15,1219.95
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,111.938,545.53,1455.79
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,114.76400000000001,559.31,1492.55
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,93.101,453.73,1210.81
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,158.392,771.93,2059.95
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,204.11100000000002,994.74,2654.53
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,218.225,1063.53,2838.09
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,144.358,703.53,1877.42
