measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,,,,49702.0,459896.0,459896.0,0.0,0.0,0.0
2001-02-01,,,,56637.0,510391.0,510391.0,0.0,0.0,0.0
2001-03-01,,,,45953.0,410006.0,410006.0,0.0,0.0,0.0
2001-04-01,,,,42653.0,399049.0,399049.0,0.0,0.0,0.0
2001-05-01,,,,34132.0,296684.0,296684.0,3231.0,37696.0,37696.0
2001-06-01,,,,46963.0,402187.0,402187.0,84.0,968.0,968.0
2001-07-01,,,,34225.0,295383.0,295383.0,457.0,5296.0,5296.0
2001-08-01,,,,35633.0,301132.0,301132.0,495.0,5618.0,5618.0
2001-09-01,,,,10407.0,89987.0,89987.0,257.0,2980.0,2980.0
2001-10-01,,,,5284.0,47013.0,47013.0,165.0,1974.0,1974.0
2001-11-01,,,,2081.0,18162.0,18162.0,160.0,1879.0,1879.0
2001-12-01,,,,1710.0,14757.0,14757.0,249.0,2885.0,2885.0
2002-01-01,0.0,0.0,0.0,1048.0,11760.0,11760.0,,,
2002-02-01,0.0,0.0,0.0,938.0,10608.0,10608.0,,,
2002-03-01,22.0,270.0,270.0,1958.0,24557.0,24557.0,,,
2002-04-01,0.0,0.0,0.0,3570.0,38935.0,38935.0,,,
2002-05-01,138.0,1653.0,1653.0,2031.0,24240.0,24240.0,,,
2002-06-01,263.0,3329.0,3329.0,7613.0,96522.0,96522.0,,,
2002-07-01,61.0,736.0,736.0,15209.0,184107.0,184107.0,,,
2002-08-01,0.0,0.0,0.0,423.0,5790.0,5790.0,,,
2002-09-01,62.0,736.0,736.0,4161.0,49560.0,49560.0,,,
2002-10-01,0.0,0.0,0.0,500.0,8714.0,8714.0,,,
2002-11-01,0.0,0.0,0.0,1466.0,14046.0,14046.0,,,
2002-12-01,201.0,2365.0,2365.0,579.0,6803.0,6803.0,,,
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,294.0,3538.0,3538.0,,,
2003-03-01,0.0,0.0,0.0,1792.0,21039.0,21039.0,,,
2003-04-01,0.0,0.0,0.0,328.0,3836.0,3836.0,,,
2003-05-01,861.0,10102.0,10102.0,1114.0,13077.0,13077.0,,,
2003-06-01,437.0,5545.0,5545.0,0.0,0.0,0.0,,,
2003-07-01,190.0,2230.0,2230.0,3030.0,35464.0,35464.0,,,
2003-08-01,0.0,0.0,0.0,581.0,6901.0,6901.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,1430.0,16944.0,16944.0,,,
2003-11-01,0.0,0.0,0.0,1106.0,12973.0,12973.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,608.804,6701.71,6701.71,451.465,1241.84,1241.84,,,
2005-02-01,148.55,1635.24,1635.24,407.494,1120.89,1120.89,,,
2005-03-01,212.262,2336.58,2336.58,439.769,1209.66,1209.66,,,
2005-04-01,174.352,1919.26,1919.26,441.88100000000003,1215.47,1215.47,,,
2005-05-01,180.29600000000002,1984.69,1984.69,485.321,1334.96,1334.96,,,
2005-06-01,157.695,1735.9,1735.9,623.366,1714.68,1714.68,,,
2005-07-01,460.065,5064.39,5064.39,798.2320000000001,2195.68,2195.68,,,
2005-08-01,556.86,6129.91,6129.91,827.2220000000001,2275.42,2275.42,,,
2005-09-01,459.754,5060.97,5060.97,623.902,1716.15,1716.15,,,
2005-10-01,193.859,2134.0,2134.0,484.269,1332.07,1332.07,,,
2005-11-01,194.282,2138.65,2138.65,432.083,1188.52,1188.52,,,
2005-12-01,438.221,4823.93,4823.93,492.994,1356.07,1356.07,,,
2006-01-01,60.961000000000006,878.0,878.0,1629.38,19508.0,19508.0,,,
2006-02-01,60.326,869.0,869.0,1933.111,23144.0,23144.0,,,
2006-03-01,52.893,761.0,761.0,2204.89,26398.0,26398.0,,,
2006-04-01,69.775,1005.0,1005.0,2466.2180000000003,29527.0,29527.0,,,
2006-05-01,63.06,908.0,908.0,2856.496,34199.0,34199.0,,,
2006-06-01,75.417,1086.0,1086.0,3639.953,43579.0,43579.0,,,
2006-07-01,73.159,1053.0,1053.0,4576.215,54789.0,54789.0,,,
2006-08-01,78.735,1134.0,1134.0,4633.927000000001,55480.0,55480.0,,,
2006-09-01,55.934000000000005,805.0,805.0,3152.934,37748.0,37748.0,,,
2006-10-01,71.99300000000001,1036.0,1036.0,2854.704,34178.0,34178.0,,,
2006-11-01,62.839000000000006,905.0,905.0,2120.061,25382.0,25382.0,,,
2006-12-01,69.908,1006.0,1006.0,2210.11,26460.0,26460.0,,,
2007-01-01,45.238,477.0,477.0,638.8290000000001,6713.0,6713.0,,,
2007-02-01,123.665,1300.0,1300.0,581.168,6106.0,6106.0,,,
2007-03-01,158.99,1673.0,1673.0,587.625,6174.0,6174.0,,,
2007-04-01,103.41,1087.0,1087.0,545.721,5734.0,5734.0,,,
