measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,8106.56,144296.0,144296.0,,,
2003-02-01,,,,5890.78,102238.0,102238.0,,,
2003-03-01,,,,4669.7,78082.0,78082.0,,,
2003-04-01,,,,5203.8,86116.0,86116.0,,,
2003-05-01,,,,5271.42,75775.0,75775.0,,,
2003-06-01,,,,1722.84,25412.0,25412.0,,,
2003-07-01,,,,2465.68,72054.0,72054.0,,,
2003-08-01,,,,6072.08,75427.0,75427.0,,,
2003-09-01,,,,7379.4,82507.0,82507.0,,,
2003-10-01,,,,7923.3,85885.0,85885.0,,,
2003-11-01,,,,8082.06,86104.0,86104.0,,,
2003-12-01,,,,5946.64,62424.0,62424.0,,,
2005-01-01,,,,2171.996,38736.52,38736.52,0.0,0.0,0.0
2005-02-01,,,,1937.5910000000001,34556.02,34556.02,0.0,0.0,0.0
2005-03-01,,,,2212.9970000000003,39467.76,39467.76,0.0,0.0,0.0
2005-04-01,,,,2208.422,39386.17,39386.17,0.0,0.0,0.0
2005-05-01,,,,2427.839,43299.37,43299.37,0.0,0.0,0.0
2005-06-01,,,,2405.2870000000003,42897.16,42897.16,0.0,0.0,0.0
2005-07-01,,,,2490.5460000000003,44417.72,44417.72,0.0,0.0,0.0
2005-08-01,,,,2479.289,44216.96,44216.96,0.0,0.0,0.0
2005-09-01,,,,2335.474,41652.08,41652.08,0.0,0.0,0.0
