measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,3382.0,34774.0,34774.0
2003-02-01,,,,1923.0,23520.0,23520.0
2003-03-01,,,,2881.0,29697.0,29697.0
2003-04-01,,,,2892.0,30704.0,30704.0
2003-05-01,,,,4205.0,43275.0,43275.0
2003-06-01,,,,3383.0,35793.0,35793.0
2003-07-01,,,,3406.0,36346.0,36346.0
2003-08-01,,,,8277.0,85467.0,85467.0
2003-09-01,,,,2204.0,23617.0,23617.0
2003-10-01,,,,11306.0,114712.0,114712.0
2003-11-01,,,,7374.0,74934.0,74934.0
2003-12-01,,,,8385.0,86594.0,86594.0
2004-01-01,,,,4367.082,44741.0,44741.0
2004-02-01,,,,3564.5710000000004,36519.0,36519.0
2004-03-01,,,,2646.163,27110.0,27110.0
2004-04-01,,,,8165.883000000001,83659.0,83659.0
2004-05-01,,,,21547.802,220756.0,220756.0
2004-06-01,,,,11431.465,117115.0,117115.0
2004-07-01,,,,21030.914,215461.0,215461.0
2004-08-01,,,,18200.228000000003,186461.0,186461.0
2004-09-01,,,,7894.036,80874.0,80874.0
2004-10-01,,,,1388.931,14230.0,14230.0
2004-11-01,,,,1201.803,12312.0,12312.0
2004-12-01,,,,2534.1220000000003,25962.0,25962.0
2005-01-01,0.0,0.0,0.0,7483.009,76816.84,76816.84
2005-02-01,0.0,0.0,0.0,6633.8820000000005,68100.12,68100.12
2005-03-01,0.0,0.0,0.0,7916.375,81265.56,81265.56
2005-04-01,0.0,0.0,0.0,8116.227000000001,83317.14,83317.14
2005-05-01,0.0,0.0,0.0,6584.203,67590.14,67590.14
2005-06-01,0.0,0.0,0.0,11201.673999999999,114990.79,114990.79
2005-07-01,0.0,0.0,0.0,14434.933,148181.82,148181.82
2005-08-01,0.0,0.0,0.0,15433.103,158428.53,158428.53
2005-09-01,0.0,0.0,0.0,10209.139,104801.93,104801.93
2005-10-01,0.0,0.0,0.0,7060.152,72475.99,72475.99
2005-11-01,0.0,0.0,0.0,6337.282,65055.38,65055.38
2005-12-01,0.0,0.0,0.0,6847.019,70288.08,70288.08
