measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,4.0,63.0,441.0,451.0,6975.5,54291.5,,,
2001-02-01,6.0,95.0,667.0,344.5,5053.0,40467.5,,,
2001-03-01,4.0,75.0,534.0,417.0,6448.0,51618.5,,,
2001-04-01,5.0,88.0,626.0,420.0,6821.5,54610.0,,,
2001-05-01,1.0,21.0,151.0,470.5,8790.0,70324.0,,,
2001-06-01,3.0,66.0,470.0,335.5,6952.5,55652.5,,,
2001-07-01,4.0,78.0,557.0,327.5,5814.0,46542.5,,,
2001-08-01,0.0,0.0,0.0,66.0,1167.5,46542.5,,,
2001-09-01,1.0,19.0,139.0,482.0,7758.0,62073.0,,,
2001-10-01,2.0,46.0,325.0,483.5,7799.0,62413.0,,,
2001-11-01,4.0,66.0,470.0,462.0,7349.5,58827.5,,,
2001-12-01,4.0,56.0,400.0,561.5,7183.0,57494.0,,,
2002-01-01,4.0,27.0,435.0,541.5,3623.0,56551.0,,,
2002-02-01,3.0,53.0,377.0,474.5,7688.0,65044.0,,,
2002-03-01,7.0,124.0,880.0,544.5,8822.0,74639.5,,,
2002-04-01,4.0,81.0,481.0,518.5,10503.0,62051.0,,,
2002-05-01,3.0,96.0,435.0,464.0,14015.0,62969.5,,,
2002-06-01,9.0,159.0,1132.0,401.0,6497.0,54968.5,,,
2002-07-01,3.0,53.0,377.0,461.0,7469.0,63193.5,,,
2002-08-01,7.0,124.0,880.0,185.0,2997.5,25359.5,,,
2002-09-01,1.0,18.0,126.0,490.0,7939.0,67168.5,,,
2002-10-01,3.0,83.0,319.0,517.0,16553.0,63613.0,,,
2002-11-01,4.0,71.0,423.0,487.0,8894.0,56936.0,,,
2002-12-01,2.0,16.0,193.0,514.5,4900.5,59075.5,,,
2004-01-01,2.74953,13.31,545.37,289.54422999999997,1402.13,57431.505000000005,,,
2004-02-01,4.2019,20.35,835.55,288.81804999999997,1398.615,57431.505000000005,,,
2004-03-01,3.66744,17.76,728.6,289.08528,1399.905,57431.505000000005,,,
2004-04-01,4.25807,20.62,846.8,288.789965,1398.48,57431.505000000005,,,
2004-05-01,2.00967,9.73,398.11,289.914165,1403.92,57431.505000000005,,,
2004-06-01,1.38899,6.73,274.86,290.224505,1405.425,57431.505000000005,,,
