measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2003-01-01,,,,25460.09,225458.0,297862.0,,,,,,,,,,,,,,,,,,
2003-02-01,,,,22444.193,198751.0,262579.0,,,,,,,,,,,,,,,,,,
2003-03-01,,,,22289.773,197384.0,260772.0,,,,,,,,,,,,,,,,,,
2003-04-01,,,,22479.877,199067.0,262996.0,,,,,,,,,,,,,,,,,,
2003-05-01,,,,26748.471,236867.0,312935.0,,,,,,,,,,,,,,,,,,
2003-06-01,,,,27925.479,247290.0,326705.0,,,,,,,,,,,,,,,,,,
2003-07-01,,,,30465.304,269781.0,356419.0,,,,,,,,,,,,,,,,,,
2003-08-01,,,,32202.448,285164.0,376742.0,,,,,,,,,,,,,,,,,,
2003-09-01,,,,26437.776,234116.0,309300.0,,,,,,,,,,,,,,,,,,
2003-10-01,,,,23966.135000000002,212228.0,280384.0,,,,,,,,,,,,,,,,,,
2003-11-01,,,,22692.653,200951.0,265485.0,,,,,,,,,,,,,,,,,,
2003-12-01,,,,23469.8,207833.0,274577.0,,,,,,,,,,,,,,,,,,
2004-01-01,21089.889,266488.55,272799.05,217.757,2.13,2.13,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-02-01,20372.337,257730.29,263517.47,253.85,2.49,2.49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-03-01,21748.01,275154.69,281311.89,273.918,2.67,2.67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-04-01,22812.702,288607.21,295083.74,284.80400000000003,2.79,2.79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-05-01,24595.471,311433.94,318143.97,345.49100000000004,3.38,3.38,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-06-01,26308.691,333306.26,340304.59,394.79900000000004,3.86,3.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-07-01,29198.74,370104.65,377687.54,464.13100000000003,4.53,4.53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-08-01,29435.63,373198.66,380751.73,480.774,4.7,4.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-09-01,26830.653,339922.22,347056.2,403.083,3.94,3.94,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-10-01,25043.911,317190.77,323944.57,362.86400000000003,3.55,3.55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-11-01,21797.006,275985.27,281945.65,304.233,2.97,2.97,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-12-01,22058.93,279259.01,285333.66,301.87800000000004,2.95,2.95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-01-01,18503.923000000003,232457.24,244841.75,177.241,1259.17,2376.88,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-02-01,16701.721,209816.91,220995.22,159.979,1136.53,2145.39,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-03-01,18024.541,226434.96,238498.62,172.649,1226.55,2315.31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-04-01,18111.107,227522.46,239644.06,173.478,1232.44,2326.43,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-05-01,19891.537,249889.26,263202.49,190.532,1353.59,2555.12,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-06-01,25549.52,320968.2,338068.27,244.728,1738.62,3281.91,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-07-01,32716.637,411005.77,432902.71,313.37800000000004,2226.33,4202.55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-08-01,33904.849,425932.79,448625.01,324.76,2307.18,4355.18,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-09-01,25571.494,321244.25,338359.02,244.93800000000002,1740.11,3284.74,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-10-01,19848.42,249347.61,262631.97,190.119,1350.66,2549.59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
