measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,60474.65,350016.0,774113.0,4827.69,0.0,0.0,,,,,,,,,,,,,,,
2003-02-01,53403.35,289572.0,665515.0,4577.43,0.0,0.0,,,,,,,,,,,,,,,
2003-03-01,57667.47,311791.0,719682.0,5354.4,0.0,0.0,,,,,,,,,,,,,,,
2003-04-01,39877.67,221394.0,520578.0,3949.84,0.0,0.0,,,,,,,,,,,,,,,
2003-05-01,52582.73,287479.0,688305.0,5367.01,0.0,0.0,,,,,,,,,,,,,,,
2003-06-01,53593.47,292397.0,703189.0,5070.19,0.0,0.0,,,,,,,,,,,,,,,
2003-07-01,53380.07,289011.0,701466.0,5818.06,0.0,0.0,,,,,,,,,,,,,,,
2003-08-01,49841.51,285895.0,677633.0,5230.24,0.0,0.0,,,,,,,,,,,,,,,
2003-09-01,55538.32,293740.0,689736.0,5989.75,0.0,0.0,,,,,,,,,,,,,,,
2003-10-01,51703.91,701344.0,701344.0,6027.58,0.0,0.0,,,,,,,,,,,,,,,
2003-11-01,56114.5,710788.0,710788.0,4462.0,0.0,0.0,,,,,,,,,,,,,,,
2003-12-01,55902.07,315716.0,719633.0,6124.58,0.0,0.0,,,,,,,,,,,,,,,
2004-01-01,42425.722,237236.0,562732.65,3319.74,0.0,0.0,,,,,,,,,,,,,,,
2004-02-01,40982.248,232603.64,543586.5,3869.971,0.0,0.0,,,,,,,,,,,,,,,
2004-03-01,43749.637,248541.93,580293.01,4175.911,0.0,0.0,,,,,,,,,,,,,,,
2004-04-01,45891.437,260509.97,608701.74,4341.871,0.0,0.0,,,,,,,,,,,,,,,
