measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,,,
2001-02-01,0.0,0.0,0.0,,,
2001-03-01,0.0,0.0,0.0,,,
2001-04-01,0.0,0.0,0.0,,,
2001-05-01,0.0,0.0,0.0,,,
2001-06-01,25.0,617.0,617.0,233.0,5644.0,5644.0
2001-07-01,54.0,690.0,690.0,209.0,2576.0,2576.0
2001-08-01,137.0,2239.0,2239.0,254.0,3982.0,3982.0
2001-09-01,0.0,0.0,0.0,421.0,8812.0,8812.0
2001-10-01,0.0,0.0,0.0,434.0,8527.0,8527.0
2001-11-01,0.0,0.0,0.0,282.0,5821.0,5821.0
2001-12-01,0.0,0.0,0.0,159.0,3352.0,3352.0
2002-01-01,0.0,0.0,0.0,50.0,1388.0,1388.0
2002-02-01,0.0,0.0,0.0,58.0,1599.0,1599.0
2002-03-01,0.0,0.0,0.0,63.0,1687.0,1687.0
2002-04-01,77.0,1264.0,1264.0,34.0,661.0,661.0
2002-05-01,0.0,0.0,0.0,140.0,3122.0,3122.0
2002-06-01,0.0,0.0,0.0,53.0,1301.0,1301.0
2002-07-01,21.0,430.0,430.0,75.0,1501.0,1501.0
2002-08-01,16.0,303.0,303.0,66.0,1229.0,1229.0
2002-09-01,0.0,0.0,0.0,53.0,1528.0,1528.0
2002-10-01,0.0,0.0,0.0,113.0,2597.0,2597.0
2002-11-01,0.0,0.0,0.0,46.0,1451.0,1451.0
2002-12-01,0.0,0.0,0.0,30.0,1143.0,1143.0
2003-01-01,3.6510000000000002,47.0,47.0,85.18900000000001,2219.0,2219.0
2003-02-01,3.1510000000000002,40.0,40.0,73.521,1915.0,1915.0
2003-03-01,2.976,38.0,38.0,69.438,1809.0,1809.0
2003-04-01,2.9090000000000003,37.0,37.0,67.882,1768.0,1768.0
2003-05-01,3.059,39.0,39.0,71.366,1859.0,1859.0
2003-06-01,3.216,41.0,41.0,75.031,1954.0,1954.0
2003-07-01,3.583,46.0,46.0,83.607,2178.0,2178.0
2003-08-01,3.73,48.0,48.0,87.045,2267.0,2267.0
2003-09-01,3.051,39.0,39.0,71.199,1855.0,1855.0
2003-10-01,3.067,39.0,39.0,71.569,1864.0,1864.0
2003-11-01,3.0660000000000003,39.0,39.0,71.543,1864.0,1864.0
2003-12-01,3.54,45.0,45.0,82.61,2152.0,2152.0
2004-01-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-02-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-03-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-04-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-05-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-06-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-07-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-08-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-09-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-10-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-11-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2004-12-01,0.0,0.0,0.0,110.833,2967.0,2967.0
2005-01-01,12.897,311.45,311.45,121.652,2957.3,2957.3
2005-02-01,2.9690000000000003,71.69,71.69,108.52300000000001,2638.14,2638.14
2005-03-01,2.547,61.52,61.52,123.94900000000001,3013.12,3013.12
2005-04-01,2.549,61.56,61.56,123.69300000000001,3006.9,3006.9
2005-05-01,2.57,62.06,62.06,135.982,3305.65,3305.65
2005-06-01,3.113,75.18,75.18,134.719,3274.94,3274.94
2005-07-01,5.896,142.38,142.38,139.494,3391.02,3391.02
2005-08-01,5.222,126.11,126.11,138.864,3375.7,3375.7
2005-09-01,2.906,70.17,70.17,130.809,3179.88,3179.88
2005-10-01,4.074,98.38,98.38,132.042,3209.86,3209.86
2005-11-01,2.7430000000000003,66.24,66.24,132.988,3232.87,3232.87
2005-12-01,7.514,181.46,181.46,133.285,3240.08,3240.08
2006-01-01,0.0,0.0,0.0,46.5,1140.0,1140.0
2006-02-01,0.0,0.0,0.0,42.973,1054.0,1054.0
2006-03-01,0.0,0.0,0.0,47.402,1163.0,1163.0
2006-04-01,0.0,0.0,0.0,34.876000000000005,855.0,855.0
2006-05-01,0.0,0.0,0.0,42.639,1046.0,1046.0
2006-06-01,0.0,0.0,0.0,44.667,1096.0,1096.0
2006-07-01,0.0,0.0,0.0,46.356,1137.0,1137.0
2006-08-01,0.0,0.0,0.0,46.078,1130.0,1130.0
2006-09-01,0.0,0.0,0.0,44.074000000000005,1081.0,1081.0
2006-10-01,0.0,0.0,0.0,45.735,1122.0,1122.0
2006-11-01,0.0,0.0,0.0,46.192,1133.0,1133.0
2006-12-01,0.0,0.0,0.0,44.508,1092.0,1092.0
2007-01-01,0.0,0.0,0.0,-24.297,376.0,376.0
2007-02-01,0.0,0.0,0.0,-21.171,328.0,328.0
2007-03-01,0.0,0.0,0.0,-24.038,372.0,372.0
2007-04-01,0.0,0.0,0.0,-22.815,353.0,353.0
2007-05-01,0.0,0.0,0.0,-24.189,374.0,374.0
2007-06-01,0.0,0.0,0.0,-23.64,366.0,366.0
2007-07-01,0.0,0.0,0.0,-23.632,366.0,366.0
2007-08-01,0.0,0.0,0.0,-23.871000000000002,370.0,370.0
2007-09-01,0.0,0.0,0.0,-23.153000000000002,358.0,358.0
2007-10-01,0.0,0.0,0.0,-23.566000000000003,365.0,365.0
2007-11-01,0.0,0.0,0.0,-23.714000000000002,367.0,367.0
2007-12-01,0.0,0.0,0.0,-24.914,386.0,386.0
2008-01-01,0.0,0.0,0.0,-18.697,315.0,315.0
2008-02-01,0.0,0.0,0.0,-16.939,286.0,286.0
2008-03-01,0.0,0.0,0.0,-19.025000000000002,321.0,321.0
2008-04-01,0.0,0.0,0.0,-19.119,323.0,323.0
2008-05-01,0.0,0.0,0.0,-19.06,322.0,322.0
2008-06-01,0.0,0.0,0.0,-19.156000000000002,323.0,323.0
2008-07-01,0.0,0.0,0.0,-19.263,325.0,325.0
2008-08-01,0.0,0.0,0.0,-18.741,316.0,316.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0
