measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,0.0,0.0,0.0
2003-02-01,,,,,,,0.0,0.0,0.0
2003-03-01,,,,,,,0.0,0.0,0.0
2003-04-01,,,,,,,142.0,1479.0,1479.0
2003-05-01,,,,,,,0.0,0.0,0.0
2003-06-01,,,,,,,2450.0,23165.0,23165.0
2003-07-01,,,,,,,0.0,0.0,0.0
2003-08-01,,,,,,,6624.0,62183.0,62183.0
2003-09-01,,,,,,,0.0,0.0,0.0
2003-10-01,,,,,,,0.0,0.0,0.0
2003-11-01,,,,,,,0.0,0.0,0.0
2003-12-01,,,,,,,0.0,0.0,0.0
2004-01-01,,,,,,,-32.423,227.84,268.42
2004-02-01,,,,,,,-25.483,179.07,210.96
2004-03-01,,,,,,,-39.616,278.39,327.97
2004-04-01,,,,,,,-43.549,306.02,360.52
2004-05-01,,,,,,,-85.164,598.46,705.04
2004-06-01,,,,,,,-117.414,825.09,972.02
2004-07-01,,,,,,,-133.489,938.04,1105.1
2004-08-01,,,,,,,-157.788,1108.8,1306.26
2004-09-01,,,,,,,-109.162,767.1,903.71
2004-10-01,,,,,,,-60.924,428.12,504.36
2004-11-01,,,,,,,-63.378,445.37,524.68
2004-12-01,,,,,,,-77.60900000000001,545.37,642.49
2005-01-01,,,,,,,1309.079,10825.64,10825.64
2005-02-01,,,,,,,1160.5330000000001,9597.21,9597.21
2005-03-01,,,,,,,1384.892,11452.59,11452.59
2005-04-01,,,,,,,1419.854,11741.72,11741.72
2005-05-01,,,,,,,1151.842,9525.34,9525.34
2005-06-01,,,,,,,1959.623,16205.42,16205.42
2005-07-01,,,,,,,2525.25,20882.96,20882.96
2005-08-01,,,,,,,2699.87,22327.01,22327.01
2005-09-01,,,,,,,1785.989,14769.52,14769.52
2005-10-01,,,,,,,1235.104,10213.9,10213.9
2005-11-01,,,,,,,1108.645,9168.12,9168.12
2005-12-01,,,,,,,1197.819,9905.56,9905.56
2006-01-01,,,,,,,838.9240000000001,7903.78,8485.49
2006-02-01,,,,,,,836.479,7880.75,8460.76
2006-03-01,,,,,,,912.553,8597.47,9230.23
2006-04-01,,,,,,,767.2420000000001,7228.44,7760.44
2006-05-01,,,,,,,744.278,7012.09,7528.17
2006-06-01,,,,,,,952.075,8969.81,9629.98
2006-07-01,,,,,,,1425.7920000000001,13432.85,14421.5
2006-08-01,,,,,,,1342.345,12646.67,13577.45
2006-09-01,,,,,,,952.125,8970.28,9630.49
2006-10-01,,,,,,,1061.854,10004.07,10740.37
2006-11-01,,,,,,,913.336,8604.85,9238.15
2006-12-01,,,,,,,892.4590000000001,8408.15,9026.98
2007-01-01,,,,,,,136.89600000000002,1303.0,1375.0
2007-02-01,,,,,,,125.421,1194.0,1260.0
2007-03-01,,,,,,,181.415,1727.0,1822.0
2007-04-01,,,,,,,148.442,1413.0,1490.0
2007-05-01,,,,,,,178.335,1698.0,1791.0
2007-06-01,,,,,,,219.99200000000002,2095.0,2209.0
2007-07-01,,,,,,,255.388,2432.0,2565.0
2007-08-01,,,,,,,299.329,2850.0,3006.0
2007-09-01,,,,,,,219.371,2089.0,2203.0
2007-10-01,,,,,,,178.735,1702.0,1795.0
2007-11-01,,,,,,,143.455,1366.0,1441.0
