measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2003-01-01,195.187,626.0,626.0,,,
2003-02-01,155.192,498.0,498.0,,,
2003-03-01,137.622,441.0,441.0,,,
2003-04-01,138.472,444.0,444.0,,,
2003-05-01,115.462,370.0,370.0,,,
2003-06-01,147.015,471.0,471.0,,,
2003-07-01,176.108,565.0,565.0,,,
2003-08-01,181.544,582.0,582.0,,,
2003-09-01,152.02200000000002,488.0,488.0,,,
2003-10-01,137.135,440.0,440.0,,,
2003-11-01,149.973,481.0,481.0,,,
2003-12-01,173.305,556.0,556.0,,,
2004-01-01,1895.5,24975.0,24975.0,,,
2004-02-01,1895.5,24975.0,24975.0,,,
2004-03-01,1895.5,24975.0,24975.0,,,
2004-04-01,1895.5,24975.0,24975.0,,,
2004-05-01,1895.5,24975.0,24975.0,,,
2004-06-01,1895.5,24975.0,24975.0,,,
2004-07-01,1895.5,24975.0,24975.0,,,
2004-08-01,1895.5,24975.0,24975.0,,,
2004-09-01,1895.5,24975.0,24975.0,,,
2004-10-01,1895.5,24975.0,24975.0,,,
2004-11-01,1895.5,24975.0,24975.0,,,
2004-12-01,1895.5,24975.0,24975.0,,,
2006-01-01,1223.468,41284.0,41284.0,,,
2006-02-01,1095.748,36974.0,36974.0,,,
2006-03-01,983.738,33195.0,33195.0,,,
2006-04-01,894.379,30179.0,30179.0,,,
2006-05-01,1040.88,35123.0,35123.0,,,
2006-06-01,707.925,23888.0,23888.0,,,
2006-07-01,938.976,31684.0,31684.0,,,
2006-08-01,922.947,31144.0,31144.0,,,
2006-09-01,858.263,28961.0,28961.0,,,
2006-10-01,983.509,33187.0,33187.0,,,
2006-11-01,1080.2720000000002,36452.0,36452.0,,,
2006-12-01,1107.895,37384.0,37384.0,,,
2007-01-01,460.97900000000004,12210.0,12210.0,,,
2007-02-01,381.03700000000003,10092.0,10092.0,,,
2007-03-01,389.92,10328.0,10328.0,,,
2007-04-01,465.923,12341.0,12341.0,,,
2007-05-01,498.385,13200.0,13200.0,,,
2007-06-01,544.6410000000001,14426.0,14426.0,,,
2007-07-01,541.599,14345.0,14345.0,,,
2007-08-01,506.023,13403.0,13403.0,,,
2007-09-01,415.183,10997.0,10997.0,,,
2007-10-01,491.27,13012.0,13012.0,,,
2007-11-01,340.72900000000004,9025.0,9025.0,,,
2007-12-01,360.31,9543.0,9543.0,,,
2009-01-01,1221.82,23319.0,23319.0,2.938,61.0,61.0
2009-02-01,651.8040000000001,12440.0,12440.0,0.48400000000000004,8.0,8.0
2009-03-01,1066.317,20351.0,20351.0,1.7140000000000002,34.0,34.0
2009-04-01,1271.074,24259.0,24259.0,0.17700000000000002,4.0,4.0
2009-05-01,1154.337,22031.0,22031.0,0.23600000000000002,4.0,4.0
2009-06-01,1269.883,24236.0,24236.0,0.298,4.0,4.0
2009-07-01,1427.901,27252.0,27252.0,0.404,8.0,8.0
2009-08-01,1365.722,26066.0,26066.0,0.29300000000000004,4.0,4.0
2009-09-01,1049.593,20032.0,20032.0,0.223,4.0,4.0
2009-10-01,1225.3890000000001,23387.0,23387.0,0.368,8.0,8.0
2009-11-01,890.576,16997.0,16997.0,0.258,4.0,4.0
2009-12-01,995.8190000000001,19006.0,19006.0,0.372,8.0,8.0
