measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,27395.577,340447.0,340447.0
2003-02-01,,,,,,,24269.424,301598.0,301598.0
2003-03-01,,,,,,,25066.773,311506.0,311506.0
2003-04-01,,,,,,,22011.387,273537.0,273537.0
2003-05-01,,,,,,,21602.025,268450.0,268450.0
2003-06-01,,,,,,,20555.442,255444.0,255444.0
2003-07-01,,,,,,,21999.434,273388.0,273388.0
2003-08-01,,,,,,,21062.322,261743.0,261743.0
2003-09-01,,,,,,,22529.208,279972.0,279972.0
2003-10-01,,,,,,,24286.057,301804.0,301804.0
2003-11-01,,,,,,,25483.218,316682.0,316682.0
2003-12-01,,,,,,,28461.133,353688.0,353688.0
2004-01-01,,,,,,,37109.579,458027.0,458027.0
2004-02-01,,,,,,,30490.925,376336.0,376336.0
2004-03-01,,,,,,,14489.297999999999,178835.0,178835.0
2004-04-01,,,,,,,13630.423,168234.0,168234.0
2004-05-01,,,,,,,25282.063000000002,312045.0,312045.0
2004-06-01,,,,,,,37346.63,460953.0,460953.0
2004-07-01,,,,,,,38613.566,476590.0,476590.0
2004-08-01,,,,,,,27106.173000000003,334559.0,334559.0
2004-09-01,,,,,,,22287.993,275091.0,275091.0
2004-10-01,,,,,,,12344.37,152361.0,152361.0
2004-11-01,,,,,,,17365.886,214339.0,214339.0
2004-12-01,,,,,,,31796.095,392445.0,392445.0
2005-01-01,,,,,,,17924.077,223492.94,223492.94
2005-02-01,,,,,,,14339.378,178795.8,178795.8
2005-03-01,,,,,,,19898.542999999998,248112.3,248112.3
2005-04-01,,,,,,,18888.811999999998,235522.09,235522.09
2005-05-01,,,,,,,18062.197,225215.15,225215.15
2005-06-01,,,,,,,34096.261,425141.77,425141.77
2005-07-01,,,,,,,44886.118,559679.06,559679.06
2005-08-01,,,,,,,44589.881,555985.32,555985.32
2005-09-01,,,,,,,26996.31,336613.41,336613.41
2005-10-01,,,,,,,19141.987,238678.9,238678.9
2005-11-01,,,,,,,16776.429,209183.07,209183.07
2005-12-01,,,,,,,20972.008,261497.19,261497.19
2006-01-01,,,,,,,11691.245,146121.0,146121.0
2006-02-01,,,,,,,13215.883,165177.0,165177.0
2006-03-01,,,,,,,17415.366,217664.0,217664.0
2006-04-01,,,,,,,14411.832,180124.0,180124.0
2006-05-01,,,,,,,18984.057,237270.0,237270.0
2006-06-01,,,,,,,24453.629,305630.0,305630.0
2006-07-01,,,,,,,43758.937,546915.0,546915.0
2006-08-01,,,,,,,38883.675,485982.0,485982.0
2006-09-01,,,,,,,22872.167,285865.0,285865.0
2006-10-01,,,,,,,24775.095,309648.0,309648.0
2006-11-01,,,,,,,16656.088,208174.0,208174.0
2006-12-01,,,,,,,16908.027000000002,211323.0,211323.0
2007-01-01,,,,,,,31428.158,390157.0,390157.0
2007-02-01,,,,,,,27181.097999999998,337433.0,337433.0
2007-03-01,,,,,,,29285.978000000003,363563.0,363563.0
2007-04-01,,,,,,,24977.897,310082.0,310082.0
2007-05-01,,,,,,,25653.26,318466.0,318466.0
2007-06-01,,,,,,,25610.972999999998,317941.0,317941.0
2007-07-01,,,,,,,25354.117,314752.0,314752.0
2007-08-01,,,,,,,23995.497,297886.0,297886.0
2007-09-01,,,,,,,24990.597,310240.0,310240.0
2007-10-01,,,,,,,28939.555,359263.0,359263.0
2007-11-01,,,,,,,31059.521,385581.0,385581.0
2007-12-01,,,,,,,33352.348,414044.0,414044.0
2008-01-01,,,,,,,30959.527000000002,322355.0,322355.0
2008-02-01,,,,,,,27727.577,288703.0,288703.0
2008-03-01,,,,,,,28206.141,293686.0,293686.0
2008-04-01,,,,,,,24436.286,254434.0,254434.0
2008-05-01,,,,,,,23679.312,246552.0,246552.0
2008-06-01,,,,,,,22355.78,232771.0,232771.0
2008-07-01,,,,,,,25859.97,269258.0,269258.0
2008-08-01,,,,,,,25060.84,260937.0,260937.0
2008-09-01,,,,,,,24821.663,258447.0,258447.0
2008-10-01,,,,,,,29069.623,302677.0,302677.0
2008-11-01,,,,,,,29128.381999999998,303289.0,303289.0
2008-12-01,,,,,,,28454.899,296276.0,296276.0
2009-01-01,,,,,,,29110.254,363205.0,363205.0
2009-02-01,,,,,,,24280.351000000002,302944.0,302944.0
2009-03-01,,,,,,,24791.488,309321.0,309321.0
2009-04-01,,,,,,,22154.138,276415.0,276415.0
2009-05-01,,,,,,,23263.202,290253.0,290253.0
2009-06-01,,,,,,,21380.83,266766.0,266766.0
2009-07-01,,,,,,,21706.784,270833.0,270833.0
2009-08-01,,,,,,,19694.821,245730.0,245730.0
2009-09-01,,,,,,,23546.232,293784.0,293784.0
2009-10-01,,,,,,,25768.402000000002,321510.0,321510.0
2009-11-01,,,,,,,27894.472,348037.0,348037.0
2009-12-01,,,,,,,31362.026,391301.0,391301.0
2010-01-01,,,,,,,25493.591,327433.0,327433.0
2010-02-01,,,,,,,21969.726,282174.0,282174.0
2010-03-01,,,,,,,23808.792,305795.0,305795.0
2010-04-01,,,,,,,21779.718,279734.0,279734.0
2010-05-01,,,,,,,22597.713,290240.0,290240.0
2010-06-01,,,,,,,19750.697,253673.0,253673.0
2010-07-01,,,,,,,18706.102,240257.0,240257.0
2010-08-01,,,,,,,19907.949,255693.0,255693.0
2010-09-01,,,,,,,19750.201,253667.0,253667.0
2010-10-01,,,,,,,22988.86,295264.0,295264.0
2010-11-01,,,,,,,23660.22,303886.0,303886.0
2010-12-01,,,,,,,24834.431,318968.0,318968.0
2011-01-01,,,,,,,26715.377,380542.0,380542.0
2011-02-01,,,,,,,22965.163,327124.0,327124.0
2011-03-01,,,,,,,24404.513,347625.0,347625.0
2011-04-01,,,,,,,22639.776,322488.0,322488.0
2011-05-01,,,,,,,22202.977,316267.0,316267.0
2011-06-01,,,,,,,20956.71,298514.0,298514.0
2011-07-01,,,,,,,21344.959,304044.0,304044.0
2011-08-01,,,,,,,20478.63,291704.0,291704.0
2011-09-01,,,,,,,21435.1,305328.0,305328.0
2011-10-01,,,,,,,22594.413,321842.0,321842.0
2011-11-01,,,,,,,24755.6,352627.0,352627.0
2011-12-01,,,,,,,25795.782,367443.0,367443.0
2012-01-01,,,,,,,25471.561,360755.0,360755.0
2012-02-01,,,,,,,22108.016,313116.0,313116.0
2012-03-01,,,,,,,22467.082,318201.0,318201.0
2012-04-01,,,,,,,20050.216,283972.0,283972.0
2012-05-01,,,,,,,18926.098,268050.0,268050.0
2012-06-01,,,,,,,17405.289,246511.0,246511.0
2012-07-01,,,,,,,16986.412,240579.0,240579.0
2012-08-01,,,,,,,17129.631,242607.0,242607.0
2012-09-01,,,,,,,16995.858,240713.0,240713.0
2012-10-01,,,,,,,20378.839,288626.0,288626.0
2012-11-01,,,,,,,22187.388,314240.0,314240.0
2012-12-01,,,,,,,18973.61,268723.0,268723.0
2013-01-01,27180.0,338799.0,338799.0,0.0,0.0,0.0,,,
2013-02-01,16949.0,221362.0,221362.0,0.0,0.0,0.0,,,
2013-03-01,14301.0,185597.0,185597.0,0.0,0.0,0.0,,,
2013-04-01,1425.0,20191.0,20191.0,0.0,0.0,0.0,,,
2013-05-01,16554.0,208801.0,208801.0,998.13,0.0,0.0,,,
2013-06-01,11159.0,137463.0,137463.0,823.53,0.0,0.0,,,
2013-07-01,26463.0,368686.0,368686.0,10055.02,0.0,0.0,,,
2013-08-01,26306.0,330544.0,330544.0,12926.22,0.0,0.0,,,
2013-09-01,24518.0,311249.0,311249.0,11284.01,0.0,0.0,,,
2013-10-01,8015.0,108935.0,108935.0,2595.72,0.0,0.0,,,
2013-11-01,9845.0,122767.0,122767.0,3611.31,0.0,0.0,,,
2013-12-01,27108.0,352057.0,352057.0,10995.92,0.0,0.0,,,
2014-01-01,25201.0,333823.0,333823.0,12033.0,0.0,0.0,,,
2014-02-01,23126.0,295964.0,295964.0,11041.0,0.0,0.0,,,
2014-03-01,24770.0,336152.0,336152.0,12073.0,0.0,0.0,,,
2014-04-01,23429.0,309323.0,309323.0,11117.0,4423.0,4423.0,,,
2014-05-01,24311.0,334476.0,334476.0,12115.0,7366.0,7366.0,,,
2014-06-01,23298.0,290860.0,290860.0,13222.0,1586.0,1586.0,,,
2014-07-01,24198.0,251597.0,251597.0,14473.0,22051.0,22051.0,,,
2014-08-01,22523.0,243456.0,243456.0,12207.0,12397.0,12397.0,,,
2014-09-01,-175.0,0.0,0.0,-58.0,0.0,0.0,,,
2014-10-01,-212.0,0.0,0.0,-50.0,0.0,0.0,,,
2014-11-01,24778.0,317982.0,317982.0,15241.0,38689.0,38689.0,,,
2014-12-01,26648.0,367344.0,367344.0,15975.0,36554.0,36554.0,,,
2015-01-01,26850.0,336462.0,336462.0,13545.0,20432.0,20432.0,,,
2015-02-01,20244.0,264962.0,264962.0,9149.0,15155.0,15155.0,,,
2015-03-01,18554.0,250303.0,250303.0,5958.0,6021.0,6021.0,,,
2015-04-01,25010.0,323004.0,323004.0,14547.0,24469.0,24469.0,,,
2015-05-01,25138.0,328170.0,328170.0,14645.0,22725.0,22725.0,,,
2015-06-01,16308.0,218389.0,218389.0,8744.0,10637.0,10637.0,,,
2015-07-01,20832.0,281546.0,281546.0,11562.0,11729.0,11729.0,,,
2015-08-01,21561.0,288677.0,288677.0,11419.0,5524.0,5524.0,,,
2015-09-01,18974.0,241234.0,241234.0,9246.0,300.0,300.0,,,
2015-10-01,15032.0,204338.0,204338.0,7168.0,1398.0,1398.0,,,
2015-11-01,25440.0,335941.0,335941.0,13653.0,6713.0,6713.0,,,
2015-12-01,26703.0,355858.0,355858.0,14741.0,2189.0,2189.0,,,
2016-01-01,24244.0,326966.0,326966.0,12561.0,995.0,995.0,,,
2016-02-01,21549.0,275084.0,275084.0,10034.0,95.0,95.0,,,
2016-03-01,25741.0,325727.0,325727.0,12925.0,2254.0,2254.0,,,
2016-04-01,25037.0,324565.0,324565.0,17010.0,36760.0,36760.0,,,
2016-05-01,22376.0,285039.0,285039.0,16373.0,49189.0,49189.0,,,
2016-06-01,22713.0,295460.0,295460.0,15522.0,34842.0,34842.0,,,
2016-07-01,23419.0,310337.0,310337.0,14598.0,14273.0,14273.0,,,
2016-08-01,22309.0,298653.0,298653.0,12089.0,1997.0,1997.0,,,
2016-09-01,10625.0,147990.0,147990.0,5112.0,27.0,27.0,,,
2016-10-01,5889.0,79227.0,79227.0,3567.0,6144.0,6144.0,,,
2016-11-01,20206.0,271212.0,271212.0,9902.0,17332.0,17332.0,,,
