measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,,,,1107.332,5887.0,5887.0,,,
2003-02-01,,,,,,,1021.6740000000001,5432.0,5432.0,,,
2003-03-01,,,,,,,1126.2730000000001,5988.0,5988.0,,,
2003-04-01,,,,,,,1065.1,5663.0,5663.0,,,
2003-05-01,,,,,,,1219.521,6484.0,6484.0,,,
2003-06-01,,,,,,,1270.6190000000001,6755.0,6755.0,,,
2003-07-01,,,,,,,1631.36,8673.0,8673.0,,,
2003-08-01,,,,,,,1532.605,8148.0,8148.0,,,
2003-09-01,,,,,,,1400.511,7446.0,7446.0,,,
2003-10-01,,,,,,,1318.0040000000001,7007.0,7007.0,,,
2003-11-01,,,,,,,1115.69,5932.0,5932.0,,,
2003-12-01,,,,,,,1184.59,6298.0,6298.0,,,
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,9.02115,47.96,137.11,781.18295,4153.22,11873.16,886.67116,4714.06,13476.47,0.01974,0.1,0.3
2005-02-01,2.2091499999999997,11.75,33.47,707.43229,3761.12,10716.77,758.71176,4033.75,11493.59,0.0198,0.11,0.3
2005-03-01,3.1536199999999996,16.77,47.79,763.169,4057.45,11565.56,847.27262,4504.6,12840.12,0.02376,0.13,0.36
2005-04-01,2.59165,13.78,39.27,767.02103,4077.93,11621.11,782.47754,4160.1,11855.29,0.02178,0.12,0.33
2005-05-01,2.67992,14.25,40.6,842.49246,4479.18,12763.53,857.3995199999999,4558.43,12989.37,0.023100000000000002,0.12,0.35
2005-06-01,2.34372,12.46,35.5,1082.45741,5754.98,16394.01,831.61242,4421.34,12594.92,0.022449999999999998,0.12,0.34
2005-07-01,6.83319,36.33,103.65,1384.01911,7358.25,20992.84,892.10333,4742.94,13531.45,0.026369999999999998,0.14,0.4
2005-08-01,8.266729999999999,43.95,125.45,1433.55172,7621.59,21755.26,858.90151,4566.42,13034.5,0.02504,0.13,0.38
2005-09-01,6.82593,36.29,103.59,1081.21299,5748.36,16408.11,817.73933,4347.58,12409.73,0.02175,0.12,0.33
2005-10-01,2.88213,15.32,43.67,840.46321,4468.39,12735.87,706.73818,3757.43,10709.48,0.01848,0.1,0.28
2005-11-01,2.8897299999999997,15.36,43.79,749.88057,3986.8,11363.43,786.93692,4183.82,11924.97,0.02178,0.12,0.33
2005-12-01,6.504029999999999,34.58,98.72,854.23777,4541.62,12965.34,879.18778,4674.27,13344.02,0.02042,0.11,0.31
2006-01-01,3.62214,19.26,59.91,515.4073000000001,2740.21,8525.38,1066.54031,5670.35,17641.7,0.19225,1.02,3.18
2006-02-01,4.38652,23.32,72.56,454.41931,2415.96,7516.61,955.19803,5078.39,15800.06,0.17712999999999998,0.94,2.93
2006-03-01,3.70613,19.7,61.31,503.31109,2675.9,8325.66,857.5217,4559.09,14184.93,0.22307,1.19,3.69
2006-04-01,2.85412,15.17,47.21,479.55850000000004,2549.61,7932.71,779.63128,4144.98,12896.42,0.2001,1.06,3.31
2006-05-01,5.04211,26.81,83.4,558.97224,2971.82,9246.23,907.34843,4823.99,15008.89,0.21522,1.14,3.56
2006-06-01,4.74407,25.22,78.47,592.48245,3149.98,9800.55,617.10694,3280.9,10207.88,0.17955,0.95,2.97
2006-07-01,5.0106,26.64,82.88,667.1158399999999,3546.77,11034.99,818.52401,4351.75,13539.48,0.20554999999999998,1.09,3.4
2006-08-01,7.88237,41.91,130.38,689.1766,3664.07,11399.82,804.55776,4277.5,13308.37,0.19527,1.04,3.23
2006-09-01,5.14027,27.33,85.03,561.14215,2983.36,9282.15,748.15629,3977.63,12375.65,0.19829,1.05,3.28
2006-10-01,2.7419499999999997,14.58,45.36,588.23913,3127.42,9730.36,857.3357000000001,4558.09,14181.62,0.21522,1.14,3.56
2006-11-01,2.21951,11.8,36.71,496.89589,2641.79,8219.39,941.68741,5006.56,15576.9,0.21219,1.13,3.51
2006-12-01,4.2006499999999996,22.33,69.48,557.22201,2962.52,9217.15,965.78,5134.65,15975.21,0.20434,1.09,3.38
2007-01-01,0.5820000000000001,6.0,12.0,119.037,633.0,2556.0,679.418,3612.0,14589.0,0.085,0.0,2.0
2007-02-01,0.263,0.0,6.0,108.278,576.0,2325.0,620.634,3300.0,13327.0,0.12300000000000001,1.0,3.0
2007-03-01,0.607,6.0,12.0,100.16,533.0,2151.0,670.253,3564.0,14392.0,0.137,1.0,3.0
2007-04-01,2.515,12.0,52.0,99.696,530.0,2141.0,627.533,3336.0,13474.0,0.133,1.0,3.0
2007-05-01,2.291,12.0,46.0,111.203,591.0,2388.0,623.7860000000001,3317.0,13394.0,0.11800000000000001,1.0,3.0
2007-06-01,1.5770000000000002,6.0,35.0,131.479,699.0,2823.0,660.479,3511.0,14182.0,0.138,1.0,3.0
2007-07-01,1.2590000000000001,6.0,29.0,179.103,952.0,3846.0,674.7080000000001,3587.0,14487.0,0.156,1.0,3.0
2007-08-01,1.578,6.0,35.0,198.554,1056.0,4263.0,677.451,3602.0,14546.0,0.14800000000000002,1.0,3.0
2007-09-01,0.191,0.0,6.0,156.465,832.0,3360.0,653.015,3472.0,14022.0,0.133,1.0,3.0
2007-10-01,0.403,0.0,6.0,148.282,788.0,3184.0,578.3480000000001,3075.0,12418.0,0.135,1.0,3.0
2007-11-01,0.201,0.0,6.0,140.979,750.0,3027.0,665.4730000000001,3538.0,14289.0,0.097,1.0,2.0
