measured_on,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,247.234,2505.72,2505.72,12055.5475,122189.825,122189.825
2005-08-01,218.978,2219.33,2219.33,12889.1845,130639.205,130639.205
2005-09-01,121.84400000000001,1234.89,1234.89,8526.3135,86419.035,86419.035
2005-10-01,170.828,1731.33,1731.33,8348.2415,59767.845,59767.845
2005-11-01,115.028,1165.81,1165.81,7493.4885,53648.38,53648.38
2005-12-01,315.088,3193.42,3193.42,8096.2245,57963.565,57963.565
2006-01-01,50.0655,521.0,521.0,8829.386,83608.5,83608.5
2006-02-01,26.1975,273.0,273.0,9980.813,94512.0,94512.0
2006-03-01,22.006,229.0,229.0,13152.319,124544.0,124544.0
2006-04-01,42.154,439.0,439.0,10884.01,103064.0,103064.0
2006-05-01,39.4035,410.0,410.0,14337.016,135762.0,135762.0
2006-06-01,35.815,373.0,373.0,18467.7105,174877.0,174877.0
2006-07-01,51.879,540.0,540.0,33047.3405,312936.5,312936.5
2006-08-01,50.322,524.0,524.0,29365.476000000002,278071.5,278071.5
2006-09-01,23.119,240.5,240.5,17273.3695,163567.0,163567.0
2006-10-01,24.421,254.5,254.5,18710.486,177176.0,177176.0
2006-11-01,28.756500000000003,299.5,299.5,12578.9025,119113.5,119113.5
2006-12-01,31.862000000000002,331.5,331.5,12769.17,120915.5,120915.5
2007-01-01,685.4784999999999,5653.0,5653.0,17526.025999999998,145330.0,145330.0
2007-02-01,499.51650000000006,4210.5,4210.5,13069.693500000001,119788.0,119788.0
2007-03-01,659.5095000000001,5582.0,5582.0,17412.691,164924.5,164924.5
