measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2007-01-01,,,,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0
2007-09-01,,,,1788.316,19248.0,19248.0
2007-10-01,,,,1694.794,18241.0,18241.0
2007-11-01,,,,1611.32,17343.0,17343.0
2007-12-01,,,,1795.5690000000002,19326.0,19326.0
2008-01-01,,,,330.34200000000004,3997.0,3997.0
2008-02-01,,,,276.797,3350.0,3350.0
2008-03-01,,,,259.773,3144.0,3144.0
2008-04-01,,,,295.514,3576.0,3576.0
2008-05-01,,,,234.888,2843.0,2843.0
2008-06-01,,,,257.087,3111.0,3111.0
2008-07-01,,,,336.73400000000004,4075.0,4075.0
2008-08-01,,,,393.94300000000004,4767.0,4767.0
2008-09-01,,,,354.817,4294.0,4294.0
2008-10-01,,,,330.784,4003.0,4003.0
2008-11-01,,,,288.071,3486.0,3486.0
2008-12-01,,,,322.25,3900.0,3900.0
2009-01-01,,,,106.953,1711.0,1711.0
2009-02-01,,,,98.411,1574.0,1574.0
2009-03-01,,,,91.571,1465.0,1465.0
2009-04-01,,,,78.661,1258.0,1258.0
2009-05-01,,,,79.918,1279.0,1279.0
2009-06-01,,,,74.069,1186.0,1186.0
2009-07-01,,,,135.532,2169.0,2169.0
2009-08-01,,,,138.978,2224.0,2224.0
2009-09-01,,,,145.638,2330.0,2330.0
2009-10-01,,,,113.887,1822.0,1822.0
2009-11-01,,,,104.003,1664.0,1664.0
2009-12-01,,,,119.379,1910.0,1910.0
2010-01-01,,,,402.843,5015.0,5015.0
