measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2007-01-01,678.7,5812.0,5812.0,1816.6370000000002,15555.0,15555.0,,,
2007-02-01,2586.935,22150.0,22150.0,1561.695,13372.0,13372.0,,,
2007-03-01,755.1790000000001,6467.0,6467.0,1691.443,14483.0,14483.0,,,
2007-04-01,544.629,4663.0,4663.0,1611.9840000000002,13803.0,13803.0,,,
2007-05-01,112.21,963.0,963.0,1778.545,15229.0,15229.0,,,
2007-06-01,343.22200000000004,2941.0,2941.0,1753.643,15016.0,15016.0,,,
2007-07-01,151.473,1299.0,1299.0,1933.725,16558.0,16558.0,,,
2007-08-01,719.542,6160.0,6160.0,1787.37,15305.0,15305.0,,,
2007-09-01,90.565,777.0,777.0,1647.39,14106.0,14106.0,,,
2007-10-01,177.79600000000002,1520.0,1520.0,1760.678,15076.0,15076.0,,,
2007-11-01,56.607,487.0,487.0,1641.9160000000002,14059.0,14059.0,,,
2007-12-01,119.145,1021.0,1021.0,1861.231,15937.0,15937.0,,,
2008-01-01,0.0,0.0,0.0,1620.8700000000001,12872.0,12872.0,998.171,7917.0,7917.0
2008-02-01,0.0,0.0,0.0,1420.3120000000001,11279.0,11279.0,391.12,3109.0,3109.0
2008-03-01,0.0,0.0,0.0,1306.064,10372.0,10372.0,56.476000000000006,447.0,447.0
2008-04-01,0.0,0.0,0.0,1560.732,12394.0,12394.0,117.96300000000001,940.0,940.0
2008-05-01,0.0,0.0,0.0,1779.2320000000002,14129.0,14129.0,98.589,783.0,783.0
2008-06-01,0.0,0.0,0.0,1862.068,14787.0,14787.0,1058.895,8410.0,8410.0
2008-07-01,0.0,0.0,0.0,1814.487,14409.0,14409.0,516.749,4106.0,4106.0
2008-08-01,0.0,0.0,0.0,1789.673,14212.0,14212.0,205.038,1630.0,1630.0
2008-09-01,0.0,0.0,0.0,1541.7040000000002,12243.0,12243.0,262.391,2082.0,2082.0
2008-10-01,0.0,0.0,0.0,1612.942,12809.0,12809.0,75.33800000000001,597.0,597.0
2008-11-01,0.0,0.0,0.0,1663.78,13212.0,13212.0,1124.4460000000001,8932.0,8932.0
2008-12-01,0.0,0.0,0.0,1783.3290000000002,14162.0,14162.0,905.6310000000001,7192.0,7192.0
2009-01-01,0.0,0.0,0.0,494.32,5209.0,5209.0,322.357,3393.0,3393.0
2009-02-01,0.0,0.0,0.0,429.312,4524.0,4524.0,118.32300000000001,1247.0,1247.0
2009-03-01,0.0,0.0,0.0,425.92600000000004,4488.0,4488.0,93.5,986.0,986.0
2009-04-01,0.0,0.0,0.0,497.786,5246.0,5246.0,8.665,93.0,93.0
2009-05-01,0.0,0.0,0.0,507.35900000000004,5346.0,5346.0,24.475,255.0,255.0
2009-06-01,0.0,0.0,0.0,506.11100000000005,5333.0,5333.0,16.869,180.0,180.0
2009-07-01,0.0,0.0,0.0,462.115,4870.0,4870.0,30.456000000000003,319.0,319.0
2009-08-01,0.0,0.0,0.0,475.249,5008.0,5008.0,60.315,638.0,638.0
2009-09-01,0.0,0.0,0.0,413.612,4358.0,4358.0,7.7330000000000005,81.0,81.0
2009-10-01,0.0,0.0,0.0,421.265,4439.0,4439.0,9.917,104.0,104.0
2009-11-01,0.0,0.0,0.0,421.565,4442.0,4442.0,12.732000000000001,133.0,133.0
2009-12-01,0.0,0.0,0.0,419.329,4419.0,4419.0,15.709000000000001,168.0,168.0
2010-01-01,37.717,375.0,375.0,310.223,3128.0,3128.0,110.70200000000001,1129.0,1129.0
2010-02-01,20.112000000000002,202.0,202.0,228.07,2300.0,2300.0,59.031000000000006,593.0,593.0
2010-03-01,4.7170000000000005,45.0,45.0,265.414,2677.0,2677.0,13.845,137.0,137.0
