measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,20.0,16800.0,16800.0
2007-10-01,1863.0,21700.0,21700.0
2007-11-01,2367.0,22680.0,22680.0
2007-12-01,2398.0,24360.0,24360.0
2008-01-01,1817.0,21520.0,36546.0
2008-02-01,2025.0,23983.0,35966.0
2008-03-01,2487.0,29455.0,40418.0
2008-04-01,2664.0,31551.0,43929.0
2008-05-01,3651.0,43241.0,50259.0
2008-06-01,4211.0,49873.0,54609.0
2008-07-01,4426.0,52419.0,55928.0
2008-08-01,4338.0,51377.0,53107.0
2008-09-01,4540.0,53770.0,57624.0
2008-10-01,4607.0,54265.0,54265.0
2008-11-01,3783.0,44759.0,44759.0
2008-12-01,3531.0,41819.0,43785.0
2009-01-01,3068.0,34893.0,46138.0
2009-02-01,3140.0,35712.0,39888.0
2009-03-01,3600.0,40944.0,50126.0
2009-04-01,3742.0,42559.0,52654.0
2009-05-01,4288.0,48769.0,58045.0
2009-06-01,513.0,5835.0,23251.0
2009-07-01,436.0,4959.0,19525.0
2009-08-01,4031.0,45846.0,59070.0
2009-09-01,4604.0,52363.0,57941.0
2009-10-01,5827.0,66272.0,70836.0
2009-11-01,3525.0,40091.0,45885.0
2009-12-01,3293.0,37452.0,54659.0
2010-01-01,2781.029,32937.0,75021.0
2010-02-01,2918.3520000000003,34564.0,86564.0
2010-03-01,3000.938,35542.0,93976.0
2010-04-01,3110.4120000000003,36838.0,93670.0
2010-05-01,3359.1290000000004,39784.0,83198.0
2010-06-01,3525.261,41752.0,79883.0
2010-07-01,3953.5550000000003,46824.0,87261.0
2010-08-01,4675.701,55377.0,108902.0
2010-09-01,3747.0910000000003,44379.0,108409.0
2010-10-01,4177.305,49474.0,114801.0
2010-11-01,3010.541,35655.0,88366.0
2010-12-01,2961.565,35075.0,105349.0
