measured_on,"Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,7.0680000000000005,69.0,69.0
2009-06-01,7.099,69.0,69.0
2009-07-01,8.191,80.0,80.0
2009-08-01,7.479,73.0,73.0
2009-09-01,5.996,59.0,59.0
2009-10-01,4.048,40.0,40.0
2009-11-01,2.1790000000000003,21.0,21.0
2009-12-01,0.94,9.0,9.0
2010-01-01,0.116,1.0,1.0
2010-02-01,1.11,11.0,11.0
2010-03-01,2.7070000000000003,26.0,26.0
2010-04-01,4.054,40.0,40.0
2010-05-01,5.727,56.0,56.0
2010-06-01,6.4830000000000005,63.0,63.0
2010-07-01,6.253,61.0,61.0
2010-08-01,5.586,54.0,54.0
2010-09-01,4.541,44.0,44.0
2010-10-01,2.0340000000000003,20.0,20.0
2010-11-01,1.74,17.0,17.0
2010-12-01,0.649,6.0,6.0
2011-01-01,0.002,0.0,0.0
2011-02-01,0.207,2.0,2.0
2011-03-01,0.297,3.0,3.0
2011-04-01,0.492,5.0,5.0
2011-05-01,0.604,6.0,6.0
2011-06-01,0.776,8.0,8.0
2011-07-01,0.667,6.0,6.0
2011-08-01,0.688,7.0,7.0
2011-09-01,0.475,5.0,5.0
2011-10-01,0.379,4.0,4.0
2011-11-01,0.135,1.0,1.0
2011-12-01,0.128,1.0,1.0
2012-01-01,0.485,5.0,5.0
2012-02-01,4.83,46.0,46.0
2012-03-01,11.842,113.0,113.0
2012-04-01,17.134,163.0,163.0
2012-05-01,23.551,224.0,224.0
2012-06-01,25.455,242.0,242.0
2012-07-01,22.012,209.0,209.0
2012-08-01,17.346,165.0,165.0
2012-09-01,16.242,155.0,155.0
2012-10-01,12.765,121.0,121.0
2012-11-01,6.528,62.0,62.0
2012-12-01,4.77,45.0,45.0
2013-01-01,1.052,10.0,10.0
2013-02-01,2.156,21.0,21.0
2013-03-01,3.671,35.0,35.0
2013-04-01,3.871,37.0,37.0
2013-05-01,4.356,42.0,42.0
2013-06-01,5.551,53.0,53.0
2013-07-01,5.237,50.0,50.0
2013-08-01,7.049,67.0,67.0
2013-09-01,6.852,65.0,65.0
2013-10-01,6.066,58.0,58.0
2013-11-01,6.038,58.0,58.0
2013-12-01,6.301,60.0,60.0
2014-01-01,0.645,6.0,6.0
2014-02-01,0.735,7.0,7.0
2014-03-01,1.294,12.0,12.0
2014-04-01,1.531,15.0,15.0
2014-05-01,1.759,17.0,17.0
2014-06-01,1.951,19.0,19.0
2014-07-01,1.805,17.0,17.0
2014-08-01,1.954,19.0,19.0
2014-09-01,1.906,18.0,18.0
