measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,3398.2,37395.0,37395.0
2009-10-01,3461.0820000000003,38087.0,38087.0
2009-11-01,3463.5420000000004,38114.0,38114.0
2009-12-01,3445.1760000000004,37912.0,37912.0
2010-01-01,3779.0330000000004,44519.0,44519.0
2010-02-01,2778.277,32730.0,32730.0
2010-03-01,3233.1780000000003,38089.0,38089.0
2010-04-01,4175.015,49184.0,49184.0
2010-05-01,4523.365,53288.0,53288.0
2010-06-01,4649.956,54779.0,54779.0
2010-07-01,4782.184,56337.0,56337.0
2010-08-01,4578.7570000000005,53941.0,53941.0
2010-09-01,3820.0860000000002,45003.0,45003.0
2010-10-01,3449.741,40640.0,40640.0
2010-11-01,4976.426,58625.0,58625.0
2010-12-01,4298.982,50644.0,50644.0
2011-01-01,3653.737,41564.0,41564.0
2011-02-01,3273.384,37238.0,37238.0
2011-03-01,3247.503,36944.0,36944.0
2011-04-01,3398.628,38663.0,38663.0
2011-05-01,3642.822,41441.0,41441.0
2011-06-01,3741.176,42560.0,42560.0
2011-07-01,3853.023,43832.0,43832.0
2011-08-01,3876.619,44101.0,44101.0
2011-09-01,3542.32,40298.0,40298.0
2011-10-01,3513.546,39971.0,39971.0
2011-11-01,3613.755,41111.0,41111.0
2011-12-01,3957.487,45021.0,45021.0
2012-01-01,3970.024,46141.0,46141.0
2012-02-01,3817.41,44367.0,44367.0
2012-03-01,3978.969,46244.0,46244.0
2012-04-01,4054.126,47118.0,47118.0
2012-05-01,4250.72,49403.0,49403.0
2012-06-01,4588.622,53330.0,53330.0
2012-07-01,4437.733,51576.0,51576.0
2012-08-01,4280.546,49750.0,49750.0
2012-09-01,3757.805,43674.0,43674.0
2012-10-01,3542.273,41169.0,41169.0
2012-11-01,4326.386,50282.0,50282.0
2012-12-01,4337.386,50410.0,50410.0
2013-01-01,3576.902,42456.0,42456.0
2013-02-01,3283.734,38976.0,38976.0
2013-03-01,3388.404,40218.0,40218.0
2013-04-01,3435.559,40778.0,40778.0
2013-05-01,4524.967,53708.0,53708.0
2013-06-01,4086.145,48500.0,48500.0
2013-07-01,4516.538,53608.0,53608.0
2013-08-01,4122.858,48936.0,48936.0
2013-09-01,3691.682,43818.0,43818.0
2013-10-01,3568.937,42361.0,42361.0
2013-11-01,3887.248,46139.0,46139.0
2013-12-01,3974.026,47169.0,47169.0
2014-01-01,4144.565,47543.0,47543.0
2014-02-01,3289.57,37735.0,37735.0
2014-03-01,3321.603,38103.0,38103.0
2014-04-01,4169.905,47833.0,47833.0
2014-05-01,4653.908,53386.0,53386.0
2014-06-01,4301.64,49345.0,49345.0
2014-07-01,4439.736,50929.0,50929.0
2014-08-01,4278.923,49084.0,49084.0
2014-09-01,3633.913,41685.0,41685.0
2014-10-01,3900.339,44741.0,44741.0
2014-11-01,3779.268,43352.0,43352.0
2014-12-01,4108.63,47131.0,47131.0
2015-01-01,4466.869,52320.0,52320.0
2015-02-01,3669.462,42981.0,42981.0
2015-03-01,3948.934,46254.0,46254.0
2015-04-01,4104.292,48074.0,48074.0
2015-05-01,4346.366,50910.0,50910.0
2015-06-01,4344.269,50885.0,50885.0
2015-07-01,4338.498,50818.0,50818.0
2015-08-01,4900.375,57399.0,57399.0
2015-09-01,3312.031,38795.0,38795.0
2015-10-01,4145.591,48558.0,48558.0
2015-11-01,4680.689,54825.0,54825.0
2015-12-01,4373.624,51229.0,51229.0
2016-01-01,3667.246,43529.0,43529.0
2016-02-01,3227.113,38305.0,38305.0
2016-03-01,3654.937,43383.0,43383.0
2016-04-01,4183.661,49659.0,49659.0
2016-05-01,4142.663,49172.0,49172.0
2016-06-01,4488.466,53277.0,53277.0
2016-07-01,4297.331,51008.0,51008.0
2016-08-01,4612.255,54747.0,54747.0
2016-09-01,3814.054,45272.0,45272.0
2016-10-01,4051.791,48094.0,48094.0
2016-11-01,4346.356,51590.0,51590.0
2016-12-01,4570.127,54246.0,54246.0
2017-01-01,3785.761,43115.0,43115.0
2017-02-01,3628.351,41323.0,41323.0
2017-03-01,3907.604,44503.0,44503.0
2017-04-01,4204.597,47885.0,47885.0
2017-05-01,4046.823,46088.0,46088.0
2017-06-01,4075.076,46410.0,46410.0
2017-07-01,4281.494,48761.0,48761.0
2017-08-01,3773.782,42979.0,42979.0
2017-09-01,4040.626,46018.0,46018.0
2017-10-01,4216.253,48018.0,48018.0
2017-11-01,3809.734,43388.0,43388.0
2017-12-01,4209.899,47945.0,47945.0
2018-01-01,3749.349,43303.0,43303.0
2018-02-01,4052.178,46801.0,46801.0
2018-03-01,4540.271,52438.0,52438.0
2018-04-01,4322.848,49927.0,49927.0
2018-05-01,4368.182,50450.0,50450.0
2018-06-01,4624.971,53416.0,53416.0
2018-07-01,4396.712,50779.0,50779.0
2018-08-01,4594.095,53059.0,53059.0
2018-09-01,3140.251,36268.0,36268.0
2018-10-01,4398.042,50795.0,50795.0
2018-11-01,4328.32,49990.0,49990.0
2018-12-01,4640.781,53598.0,53598.0
2019-01-01,4267.196,50177.0,50177.0
2019-02-01,3880.181,45627.0,45627.0
2019-03-01,4033.099,47424.0,47424.0
2019-04-01,3810.715,44809.0,44809.0
2019-05-01,4376.501,51462.0,51462.0
2019-06-01,4335.756,50983.0,50983.0
2019-07-01,4078.319,47957.0,47957.0
2019-08-01,3961.963,46588.0,46588.0
2019-09-01,4064.897,47799.0,47799.0
2019-10-01,4178.675,49136.0,49136.0
2019-11-01,3588.425,42196.0,42196.0
2019-12-01,4402.273,51766.0,51766.0
2020-01-01,4390.377,50267.0,50267.0
2020-02-01,3940.412,45115.0,45115.0
2020-03-01,4352.038,49828.0,49828.0
2020-04-01,4161.683,47649.0,47649.0
2020-05-01,4354.732,49859.0,49859.0
