measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed","Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2009-01-01,,,,0.0,0.0,0.0
2009-02-01,,,,0.0,0.0,0.0
2009-03-01,,,,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0
2009-06-01,,,,0.0,0.0,0.0
2009-07-01,,,,0.0,0.0,0.0
2009-08-01,,,,0.0,0.0,0.0
2009-09-01,,,,0.0,0.0,0.0
2009-10-01,,,,0.0,0.0,0.0
2009-11-01,,,,3385.235,33040.0,33040.0
2009-12-01,,,,3968.7650000000003,38735.0,38735.0
2010-01-01,,,,5111.0,49863.0,49863.0
2010-02-01,,,,3821.0,37278.0,37278.0
2010-03-01,,,,6483.0,63248.0,63248.0
2010-04-01,,,,9179.0,89550.0,89550.0
2010-05-01,,,,9185.0,89609.0,89609.0
2010-06-01,,,,5588.0,54517.0,54517.0
2010-07-01,,,,5626.0,54887.0,54887.0
2010-08-01,,,,7370.0,71902.0,71902.0
2010-09-01,,,,8132.0,79336.0,79336.0
2010-10-01,,,,8232.0,80311.0,80311.0
2010-11-01,,,,7282.0,71043.0,71043.0
2010-12-01,,,,6231.0,60790.0,60790.0
2011-01-01,,,,7884.0,76601.0,76601.0
2011-02-01,,,,9241.0,89786.0,89786.0
2011-03-01,,,,7972.0,77456.0,77456.0
2011-04-01,,,,8937.0,86832.0,86832.0
2011-05-01,,,,9293.0,90291.0,90291.0
2011-06-01,,,,6695.0,65049.0,65049.0
2011-07-01,,,,5579.0,54206.0,54206.0
2011-08-01,,,,6016.0,58451.0,58451.0
2011-09-01,,,,6802.0,66088.0,66088.0
2011-10-01,,,,9296.0,90320.0,90320.0
2011-11-01,,,,9648.0,93740.0,93740.0
2011-12-01,,,,9378.0,91117.0,91117.0
2012-01-01,,,,10464.0,99575.0,99575.0
2012-02-01,,,,7498.0,71351.0,71351.0
2012-03-01,,,,10470.0,99633.0,99633.0
2012-04-01,,,,9278.0,88289.0,88289.0
2012-05-01,,,,8024.0,76356.0,76356.0
2012-06-01,,,,7642.0,72721.0,72721.0
2012-07-01,,,,6129.0,58324.0,58324.0
2012-08-01,,,,6041.0,57486.0,57486.0
2012-09-01,,,,6236.0,59342.0,59342.0
2012-10-01,,,,8224.0,78260.0,78260.0
2012-11-01,,,,7582.0,72150.0,72150.0
2012-12-01,,,,6884.0,65508.0,65508.0
2013-01-01,,,,8195.0,78188.0,78188.0
2013-02-01,,,,6331.0,60404.0,60404.0
2013-03-01,,,,7817.0,74582.0,74582.0
2013-04-01,,,,8138.0,77645.0,77645.0
2013-05-01,,,,7188.0,68581.0,68581.0
2013-06-01,,,,6555.0,62541.0,62541.0
2013-07-01,,,,5024.0,47934.0,47934.0
2013-08-01,,,,5078.0,48449.0,48449.0
2013-09-01,,,,7156.0,68275.0,68275.0
2013-10-01,,,,7735.0,73800.0,73800.0
2013-11-01,,,,9242.0,88178.0,88178.0
2013-12-01,,,,6479.0,61816.0,61816.0
2014-01-01,,,,8858.0,84240.0,84240.0
2014-02-01,,,,7533.0,71639.0,71639.0
2014-03-01,,,,8636.0,82128.0,82128.0
2014-04-01,,,,7619.0,72457.0,72457.0
2014-05-01,,,,7245.0,68900.0,68900.0
2014-06-01,,,,5553.0,52809.0,52809.0
2014-07-01,,,,5893.0,56042.0,56042.0
2014-08-01,,,,4385.0,41701.0,41701.0
2014-09-01,,,,8362.0,79523.0,79523.0
2014-10-01,,,,9443.0,89803.0,89803.0
2014-11-01,,,,11096.0,105523.0,105523.0
2014-12-01,,,,8473.0,80578.0,80578.0
2015-01-01,,,,10171.0,94784.0,94784.0
2015-02-01,,,,6980.0,65047.0,65047.0
2015-03-01,,,,9566.0,89146.0,89146.0
2015-04-01,,,,9051.0,84346.0,84346.0
2015-05-01,,,,8159.0,76034.0,76034.0
2015-06-01,,,,5121.0,47723.0,47723.0
2015-07-01,,,,5997.0,55886.0,55886.0
2015-08-01,,,,7187.0,66976.0,66976.0
2015-09-01,,,,6931.0,64590.0,64590.0
2015-10-01,,,,8968.0,83573.0,83573.0
2015-11-01,,,,8810.0,82100.0,82100.0
2015-12-01,,,,6989.0,65130.0,65130.0
2016-01-01,,,,6663.0,61513.0,61513.0
2016-02-01,,,,8031.0,74142.0,74142.0
2016-03-01,,,,8845.0,81657.0,81657.0
2016-04-01,,,,9071.0,83743.0,83743.0
2016-05-01,,,,7446.0,68741.0,68741.0
2016-06-01,,,,7359.0,67938.0,67938.0
2016-07-01,,,,7120.0,65732.0,65732.0
2016-08-01,,,,6580.0,60747.0,60747.0
2016-09-01,,,,8480.0,78287.0,78287.0
2016-10-01,,,,9456.0,87298.0,87298.0
2016-11-01,,,,8730.0,80595.0,80595.0
2016-12-01,,,,10588.0,97748.0,97748.0
2017-01-01,,,,7778.923,71667.0,71667.0
2017-02-01,,,,8430.46,77670.0,77670.0
2017-03-01,,,,9386.286,86476.0,86476.0
2017-04-01,,,,8800.388,81078.0,81078.0
2017-05-01,,,,7954.789,73287.0,73287.0
2017-06-01,,,,6879.023,63376.0,63376.0
2017-07-01,,,,4973.113,45817.0,45817.0
2017-08-01,,,,4090.623,37687.0,37687.0
2017-09-01,,,,6921.239,63765.0,63765.0
2017-10-01,,,,9100.813,83846.0,83846.0
2017-11-01,,,,8191.971,75473.0,75473.0
2017-12-01,,,,8735.372,80479.0,80479.0
2018-01-01,,,,7785.282,70877.0,70877.0
2018-02-01,,,,6413.164,58385.0,58385.0
2018-03-01,,,,7536.056,68608.0,68608.0
2018-04-01,,,,7215.997,65694.0,65694.0
2018-05-01,,,,5505.966,50126.0,50126.0
2018-06-01,,,,6599.443,60081.0,60081.0
2018-07-01,,,,3861.12,35152.0,35152.0
2018-08-01,,,,4907.157,44675.0,44675.0
2018-09-01,,,,6194.315,56393.0,56393.0
2018-10-01,,,,6124.886,55761.0,55761.0
2018-11-01,0.0,0.0,0.0,6219.645,56624.0,56624.0
2018-12-01,0.0,0.0,0.0,6983.969,63582.0,63582.0
2019-01-01,0.0,0.0,0.0,6640.689,59135.0,59135.0
