measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,2121.852,26664.0,26664.0
2011-06-01,2125.666,26712.0,26712.0
2011-07-01,2341.143,29420.0,29420.0
2011-08-01,2259.566,28395.0,28395.0
2011-09-01,2081.631,26159.0,26159.0
2011-10-01,2353.295,29572.0,29572.0
2011-11-01,2648.745,33285.0,33285.0
2011-12-01,2787.102,35024.0,35024.0
2012-01-01,2637.76,32987.0,32987.0
2012-02-01,2577.029,32226.0,32226.0
2012-03-01,2768.171,34616.0,34616.0
2012-04-01,2655.468,33207.0,33207.0
2012-05-01,2496.329,31217.0,31217.0
2012-06-01,2267.257,28352.0,28352.0
2012-07-01,2479.532,31007.0,31007.0
2012-08-01,2330.717,29146.0,29146.0
2012-09-01,2097.611,26231.0,26231.0
2012-10-01,2549.723,31885.0,31885.0
2012-11-01,2779.832,34762.0,34762.0
2012-12-01,3022.571,37798.0,37798.0
2013-01-01,2450.321,31198.0,31198.0
2013-02-01,2141.418,27265.0,27265.0
2013-03-01,2365.258,30115.0,30115.0
2013-04-01,2085.677,26556.0,26556.0
2013-05-01,2042.32,26003.0,26003.0
2013-06-01,1938.213,24678.0,24678.0
2013-07-01,2034.678,25906.0,25906.0
2013-08-01,1837.543,23396.0,23396.0
2013-09-01,1798.552,22900.0,22900.0
2013-10-01,2051.462,26120.0,26120.0
2013-11-01,2368.842,30160.0,30160.0
2013-12-01,2581.716,32871.0,32871.0
2014-01-01,2594.405,32445.0,32445.0
2014-02-01,2119.587,26507.0,26507.0
2014-03-01,2519.878,31513.0,31513.0
2014-04-01,2158.398,26992.0,26992.0
2014-05-01,2076.101,25963.0,25963.0
2014-06-01,1969.716,24633.0,24633.0
2014-07-01,1831.196,22900.0,22900.0
2014-08-01,1862.568,23293.0,23293.0
2014-09-01,1676.854,20970.0,20970.0
2014-10-01,2089.53,26131.0,26131.0
2014-11-01,2079.522,26006.0,26006.0
2014-12-01,2061.245,25777.0,25777.0
2015-01-01,1795.8,23990.0,23990.0
2015-02-01,1588.211,21216.0,21216.0
2015-03-01,1747.34,23342.0,23342.0
2015-04-01,1656.037,22123.0,22123.0
2015-05-01,1592.375,21272.0,21272.0
2015-06-01,1457.919,19476.0,19476.0
2015-07-01,1908.567,25496.0,25496.0
2015-08-01,1761.138,23527.0,23527.0
2015-09-01,1686.07,22524.0,22524.0
2015-10-01,1983.929,26503.0,26503.0
2015-11-01,1937.272,25879.0,25879.0
2015-12-01,2067.342,27617.0,27617.0
2016-01-01,1520.282,19581.0,19581.0
2016-02-01,1480.092,19063.0,19063.0
2016-03-01,1493.94,19242.0,19242.0
2016-04-01,1539.364,19827.0,19827.0
2016-05-01,1496.475,19275.0,19275.0
2016-06-01,1367.747,17616.0,17616.0
2016-07-01,1432.012,18444.0,18444.0
2016-08-01,1390.945,17915.0,17915.0
2016-09-01,1295.799,16690.0,16690.0
2016-10-01,1249.906,16099.0,16099.0
2016-11-01,1388.319,17881.0,17881.0
2016-12-01,1645.119,21189.0,21189.0
2017-01-01,1609.161,20269.0,20269.0
2017-02-01,1569.439,19769.0,19769.0
2017-03-01,1578.245,19880.0,19880.0
2017-04-01,1356.911,17092.0,17092.0
2017-05-01,1367.444,17225.0,17225.0
2017-06-01,1296.424,16330.0,16330.0
2017-07-01,1333.389,16796.0,16796.0
2017-08-01,1310.37,16506.0,16506.0
2017-09-01,1108.799,13967.0,13967.0
2017-10-01,1377.673,17354.0,17354.0
2017-11-01,1511.717,19042.0,19042.0
2017-12-01,1540.428,19404.0,19404.0
2018-01-01,1691.589,21620.0,21620.0
2018-02-01,1534.671,19615.0,19615.0
2018-03-01,1624.795,20766.0,20766.0
2018-04-01,1557.207,19903.0,19903.0
2018-05-01,1321.257,16887.0,16887.0
2018-06-01,1454.458,18590.0,18590.0
2018-07-01,1480.992,18929.0,18929.0
2018-08-01,1421.708,18171.0,18171.0
2018-09-01,1237.931,15822.0,15822.0
2018-10-01,1509.192,19289.0,19289.0
2018-11-01,1640.071,20962.0,20962.0
2018-12-01,1651.129,21103.0,21103.0
2019-01-01,2427.527,29830.0,29830.0
2019-02-01,2114.75,25989.0,25989.0
2019-03-01,2247.408,27619.0,27619.0
2019-04-01,2049.096,25182.0,25182.0
2019-05-01,2230.171,27407.0,27407.0
2019-06-01,2049.315,25184.0,25184.0
2019-07-01,2101.238,25823.0,25823.0
2019-08-01,2007.923,24676.0,24676.0
2019-09-01,1997.615,24549.0,24549.0
2019-10-01,2096.335,25762.0,25762.0
2019-11-01,2047.927,25167.0,25167.0
2019-12-01,2286.695,28102.0,28102.0
2020-01-01,2476.596,30017.0,30017.0
2020-02-01,2414.529,29264.0,29264.0
2020-03-01,2544.032,30834.0,30834.0
2020-04-01,2357.269,28570.0,28570.0
2020-05-01,2224.62,26962.0,26962.0
2020-06-01,1938.327,23492.0,23492.0
2020-07-01,2098.955,25439.0,25439.0
2020-08-01,2120.27,25697.0,25697.0
2020-09-01,1918.252,23249.0,23249.0
2020-10-01,1967.109,23841.0,23841.0
2020-11-01,2038.34,24704.0,24704.0
2020-12-01,2515.701,30490.0,30490.0
2021-01-01,2223.028,28948.0,28948.0
2021-02-01,2078.263,27062.0,27062.0
2021-03-01,2126.926,27696.0,27696.0
2021-04-01,2171.787,28280.0,28280.0
2021-05-01,2111.639,27497.0,27497.0
2021-06-01,1844.516,24019.0,24019.0
2021-07-01,1900.486,24748.0,24748.0
2021-08-01,1926.036,25080.0,25080.0
2021-09-01,1853.197,24132.0,24132.0
2021-10-01,1843.344,24004.0,24004.0
2021-11-01,1828.268,23807.0,23807.0
2021-12-01,2267.51,29527.0,29527.0
2022-01-01,2265.282,29708.0,29708.0
2022-02-01,2094.257,27465.0,27465.0
2022-03-01,2261.885,29663.0,29663.0
2022-04-01,2160.556,28334.0,28334.0
2022-05-01,1853.001,24301.0,24301.0
2022-06-01,2022.313,26522.0,26522.0
2022-07-01,2215.785,29059.0,29059.0
2022-08-01,2013.41,26405.0,26405.0
2022-09-01,1788.558,23456.0,23456.0
2022-10-01,1980.354,25971.0,25971.0
2022-11-01,1921.775,25203.0,25203.0
2022-12-01,2197.824,28824.0,28824.0
2023-01-01,2290.261,29302.0,29302.0
2023-02-01,2089.244,26729.0,26729.0
2023-03-01,2020.399,25849.0,25849.0
2023-04-01,2062.731,26390.0,26390.0
2023-05-01,2244.55,28716.0,28716.0
2023-06-01,1879.485,24046.0,24046.0
2023-07-01,1899.496,24302.0,24302.0
2023-08-01,1911.105,24450.0,24450.0
2023-09-01,1772.654,22679.0,22679.0
2023-10-01,1996.19,25539.0,25539.0
2023-11-01,2046.4,26181.0,26181.0
2023-12-01,2271.485,29061.0,29061.0
2024-01-01,2187.263,27399.0,27399.0
2024-02-01,2021.361,25322.0,25322.0
2024-03-01,1909.231,23917.0,23917.0
2024-04-01,1957.239,24518.0,24518.0
2024-05-01,1946.773,24387.0,24387.0
2024-06-01,1629.621,20414.0,20414.0
2024-07-01,1950.508,24434.0,24434.0
2024-08-01,1986.513,24885.0,24885.0
2024-09-01,1747.74,21894.0,21894.0
2024-10-01,1875.198,23491.0,23491.0
2024-11-01,2214.307,27739.0,27739.0
2024-12-01,2018.246,25283.0,25283.0
