measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2012-06-01,746.344,9141.0,9213.0,38.276,469.0,473.0
2012-07-01,882.687,10811.0,10896.0,41.234,505.0,509.0
2012-08-01,1162.303,14236.0,14348.0,47.681,584.0,589.0
2012-09-01,1055.885,12932.0,13034.0,46.914,575.0,579.0
2012-10-01,977.052,11967.0,12061.0,47.089,577.0,581.0
2012-11-01,843.605,10332.0,10414.0,51.496,631.0,635.0
2012-12-01,795.829,9747.0,9824.0,51.605,632.0,637.0
2013-01-01,68.811,632.0,632.0,829.06,7623.0,7623.0
2013-02-01,63.387,582.0,582.0,746.893,6868.0,6868.0
2013-03-01,61.133,562.0,562.0,802.4,7378.0,7378.0
2013-04-01,52.605,483.0,483.0,728.248,6696.0,6696.0
2013-05-01,55.555,511.0,511.0,807.785,7428.0,7428.0
2013-06-01,65.725,604.0,604.0,786.636,7233.0,7233.0
2013-07-01,83.398,767.0,767.0,808.969,7438.0,7438.0
2013-08-01,85.055,782.0,782.0,893.851,8219.0,8219.0
2013-09-01,84.842,780.0,780.0,815.374,7497.0,7497.0
2013-10-01,73.616,677.0,677.0,890.167,8185.0,8185.0
2013-11-01,72.612,668.0,668.0,885.16,8139.0,8139.0
2013-12-01,84.558,777.0,777.0,924.16,8498.0,8498.0
2014-01-01,544.176,4770.0,4770.0,345.092,3026.0,3026.0
2014-02-01,508.167,4456.0,4456.0,301.19,2641.0,2641.0
2014-03-01,440.977,3866.0,3866.0,314.765,2760.0,2760.0
2014-04-01,419.309,3677.0,3677.0,276.424,2424.0,2424.0
2014-05-01,422.805,3707.0,3707.0,284.817,2497.0,2497.0
2014-06-01,416.812,3655.0,3655.0,302.091,2649.0,2649.0
2014-07-01,589.74,5171.0,5171.0,302.173,2649.0,2649.0
2014-08-01,608.759,5337.0,5337.0,296.167,2597.0,2597.0
2014-09-01,636.774,5583.0,5583.0,298.521,2618.0,2618.0
2014-10-01,628.17,5508.0,5508.0,300.019,2631.0,2631.0
2014-11-01,453.979,3980.0,3980.0,257.608,2259.0,2259.0
2014-12-01,493.826,4330.0,4330.0,274.639,2408.0,2408.0
2015-01-01,252.567,1576.0,1576.0,323.514,2023.0,2023.0
2015-02-01,187.017,1169.0,1169.0,300.941,1880.0,1880.0
2015-03-01,219.096,1369.0,1369.0,313.647,1960.0,1960.0
2015-04-01,210.249,1314.0,1314.0,276.959,1730.0,1730.0
2015-05-01,205.258,1283.0,1283.0,302.498,1890.0,1890.0
2015-06-01,288.628,1804.0,1804.0,339.978,2125.0,2125.0
2015-07-01,325.536,2034.0,2034.0,346.497,2165.0,2165.0
2015-08-01,343.381,2146.0,2146.0,333.772,2086.0,2086.0
2015-09-01,341.008,2131.0,2131.0,326.677,2041.0,2041.0
2015-10-01,328.493,2053.0,2053.0,314.521,1965.0,1965.0
2015-11-01,242.206,1513.0,1513.0,291.458,1821.0,1821.0
2015-12-01,259.071,1619.0,1619.0,332.028,2075.0,2075.0
2016-01-01,53.26,355.0,723.0,29.984,200.0,407.0
2016-02-01,42.267,282.0,573.0,28.361,189.0,385.0
2016-03-01,32.873,219.0,446.0,26.107,174.0,354.0
2016-04-01,31.437,210.0,426.0,25.802,172.0,350.0
2016-05-01,33.934,226.0,460.0,30.251,202.0,410.0
2016-06-01,51.625,344.0,700.0,29.84,199.0,405.0
2016-07-01,60.893,406.0,826.0,28.817,192.0,391.0
2016-08-01,67.35,449.0,913.0,27.878,186.0,378.0
2016-09-01,55.755,372.0,756.0,29.449,196.0,400.0
2016-10-01,54.998,367.0,746.0,28.672,191.0,389.0
2016-11-01,42.289,282.0,574.0,29.251,195.0,397.0
2016-12-01,47.888,319.0,649.0,29.019,194.0,394.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0
