measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2012-01-01,10019.132,95342.0,95342.0
2012-02-01,9465.277,90072.0,90072.0
2012-03-01,9962.683,94805.0,94805.0
2012-04-01,9414.578,89589.0,89589.0
2012-05-01,9796.3,93222.0,93222.0
2012-06-01,11004.886,104722.0,104722.0
2012-07-01,11073.007,105371.0,105371.0
2012-08-01,11086.596,105500.0,105500.0
2012-09-01,11314.916,107673.0,107673.0
2012-10-01,11617.715,110554.0,110554.0
2012-11-01,12159.723,115712.0,115712.0
2012-12-01,12347.187,117496.0,117496.0
2013-01-01,13364.283,127509.0,127509.0
2013-02-01,12225.175,116640.0,116640.0
2013-03-01,13139.786,125367.0,125367.0
2013-04-01,12474.647,119021.0,119021.0
2013-05-01,12358.576,117913.0,117913.0
2013-06-01,11511.866,109835.0,109835.0
2013-07-01,11164.187,106518.0,106518.0
2013-08-01,11344.781,108241.0,108241.0
2013-09-01,11379.087,108568.0,108568.0
2013-10-01,12759.846,121742.0,121742.0
2013-11-01,12774.866,121885.0,121885.0
2013-12-01,13678.9,130510.0,130510.0
2014-01-01,13274.757,126243.0,126243.0
2014-02-01,11160.067,106132.0,106132.0
2014-03-01,12352.85,117476.0,117476.0
2014-04-01,11307.569,107535.0,107535.0
2014-05-01,11279.825,107271.0,107271.0
2014-06-01,10418.866,99083.0,99083.0
2014-07-01,9979.902,94909.0,94909.0
2014-08-01,10840.27,103091.0,103091.0
2014-09-01,10868.826,103363.0,103363.0
2014-10-01,10941.285,104052.0,104052.0
2014-11-01,12236.634,116370.0,116370.0
2014-12-01,12715.149,120921.0,120921.0
2015-01-01,10281.03,95809.0,95809.0
2015-02-01,10480.027,97663.0,97663.0
2015-03-01,11873.66,110651.0,110651.0
2015-04-01,11498.115,107151.0,107151.0
2015-05-01,11529.197,107441.0,107441.0
2015-06-01,9620.982,89658.0,89658.0
2015-07-01,10787.394,100528.0,100528.0
2015-08-01,10393.866,96860.0,96860.0
2015-09-01,11355.149,105819.0,105819.0
2015-10-01,11949.639,111359.0,111359.0
2015-11-01,13888.995,129432.0,129432.0
2015-12-01,14229.946,132609.0,132609.0
2016-01-01,12406.416,114536.0,114536.0
2016-02-01,11421.482,105443.0,105443.0
2016-03-01,11799.162,108930.0,108930.0
2016-04-01,11243.97,103804.0,103804.0
2016-05-01,11451.604,105721.0,105721.0
2016-06-01,9860.132,91029.0,91029.0
2016-07-01,9613.17,88749.0,88749.0
2016-08-01,9685.382,89415.0,89415.0
2016-09-01,10386.583,95889.0,95889.0
2016-10-01,11158.871,103019.0,103019.0
2016-11-01,11769.244,108654.0,108654.0
2016-12-01,12684.984,117108.0,117108.0
2017-01-01,11454.806,105533.0,105533.0
2017-02-01,10090.329,92962.0,92962.0
2017-03-01,11285.688,103975.0,103975.0
2017-04-01,10933.857,100734.0,100734.0
2017-05-01,10569.35,97375.0,97375.0
2017-06-01,10371.266,95550.0,95550.0
2017-07-01,11155.724,102778.0,102778.0
2017-08-01,11081.829,102097.0,102097.0
2017-09-01,10837.489,99846.0,99846.0
2017-10-01,9870.518,90937.0,90937.0
2017-11-01,10604.743,97701.0,97701.0
2017-12-01,11026.401,101586.0,101586.0
2018-01-01,10527.29,95840.0,95840.0
2018-02-01,10007.216,91106.0,91106.0
2018-03-01,10725.44,97644.0,97644.0
2018-04-01,9329.798,84938.0,84938.0
2018-05-01,10793.344,98263.0,98263.0
2018-06-01,10070.633,91683.0,91683.0
2018-07-01,10673.194,97169.0,97169.0
2018-08-01,10653.004,96985.0,96985.0
2018-09-01,10363.744,94352.0,94352.0
2018-10-01,9976.676,90828.0,90828.0
2018-11-01,10424.669,94906.0,94906.0
2018-12-01,11056.992,100663.0,100663.0
2019-01-01,11067.858,98559.0,98559.0
2019-02-01,10309.481,91806.0,91806.0
2019-03-01,11357.61,101140.0,101140.0
2019-04-01,10042.805,89431.0,89431.0
2019-05-01,10816.742,96323.0,96323.0
2019-06-01,10501.503,93516.0,93516.0
2019-07-01,10861.762,96724.0,96724.0
2019-08-01,10967.1,97662.0,97662.0
2019-09-01,10753.858,95763.0,95763.0
2019-10-01,9175.424,81707.0,81707.0
2019-11-01,8378.598,74611.0,74611.0
2019-12-01,9868.259,87877.0,87877.0
2020-01-01,11439.816,100293.0,100293.0
2020-02-01,12178.353,106768.0,106768.0
2020-03-01,12719.167,111509.0,111509.0
2020-04-01,12020.768,105386.0,105386.0
2020-05-01,11480.125,100646.0,100646.0
2020-06-01,10567.624,92646.0,92646.0
2020-07-01,9980.478,87499.0,87499.0
