measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2011-01-01,3.914,330.0,330.0,185.899,15656.0,15656.0
2011-02-01,3.612,304.0,304.0,164.928,13881.0,13881.0
2011-03-01,4.095,345.0,345.0,172.447,14502.0,14502.0
2011-04-01,2.869,241.0,241.0,147.54,12407.0,12407.0
2011-05-01,3.024,254.0,254.0,139.39,11733.0,11733.0
2011-06-01,2.824,238.0,238.0,160.397,13490.0,13490.0
2011-07-01,3.579,301.0,301.0,175.525,14768.0,14768.0
2011-08-01,0.504,42.0,42.0,195.255,16437.0,16437.0
2011-09-01,2.454,206.0,206.0,186.049,15656.0,15656.0
2011-10-01,2.786,235.0,235.0,172.249,14484.0,14484.0
2011-11-01,3.114,262.0,262.0,185.668,15620.0,15620.0
2011-12-01,3.926,331.0,331.0,217.952,18336.0,18336.0
2012-01-01,0.0,0.0,0.0,250.475,22565.0,22565.0
2012-02-01,0.0,0.0,0.0,232.651,20965.0,20965.0
2012-03-01,0.0,0.0,0.0,199.128,17942.0,17942.0
2012-04-01,0.0,0.0,0.0,151.833,13674.0,13674.0
2012-05-01,0.0,0.0,0.0,173.603,15630.0,15630.0
2012-06-01,0.0,0.0,0.0,200.17,18031.0,18031.0
2012-07-01,0.0,0.0,0.0,222.012,20005.0,20005.0
2012-08-01,0.0,0.0,0.0,253.686,22850.0,22850.0
2012-09-01,0.0,0.0,0.0,227.021,20449.0,20449.0
2012-10-01,0.0,0.0,0.0,237.897,21427.0,21427.0
2012-11-01,0.0,0.0,0.0,248.45,22388.0,22388.0
2012-12-01,0.0,0.0,0.0,243.074,21890.0,21890.0
2013-01-01,235.497,2678.0,51376.0,266.252,3028.0,58097.0
2013-02-01,209.29,2380.0,45659.0,251.303,2858.0,54823.0
2013-03-01,228.945,2604.0,49947.0,235.907,2683.0,51460.0
2013-04-01,238.008,2707.0,51924.0,206.041,2343.0,44948.0
2013-05-01,191.727,2181.0,41827.0,213.135,2424.0,46496.0
2013-06-01,151.806,1727.0,33119.0,252.748,2875.0,55144.0
2013-07-01,183.73,2090.0,40083.0,271.032,3083.0,59129.0
2013-08-01,160.916,1830.0,35105.0,275.323,3131.0,60073.0
2013-09-01,115.165,1310.0,25125.0,241.625,2748.0,52706.0
2013-10-01,179.735,2044.0,39212.0,255.069,2901.0,55642.0
2013-11-01,194.308,2210.0,42390.0,253.702,2885.0,55339.0
2013-12-01,239.995,2730.0,52358.0,259.741,2954.0,56674.0
2014-01-01,308.027,3503.0,59137.0,261.047,2969.0,50107.0
2014-02-01,231.429,2632.0,44431.0,238.938,2718.0,45879.0
2014-03-01,246.637,2805.0,47351.0,236.094,2685.0,45329.0
2014-04-01,189.671,2157.0,36414.0,203.425,2314.0,39059.0
2014-05-01,198.074,2253.0,38027.0,204.634,2327.0,39290.0
2014-06-01,174.96,1990.0,33589.0,209.341,2381.0,40195.0
2014-07-01,180.065,2048.0,34570.0,249.528,2838.0,47904.0
2014-08-01,160.341,1824.0,30783.0,262.282,2983.0,50355.0
2014-09-01,250.652,2851.0,48121.0,233.905,2660.0,44902.0
2014-10-01,214.128,2435.0,41109.0,230.176,2618.0,44192.0
2014-11-01,336.873,3831.0,64674.0,228.729,2601.0,43908.0
2014-12-01,300.478,3417.0,57687.0,245.566,2793.0,47140.0
2015-01-01,414.307,4714.0,51955.0,0.0,0.0,0.0
2015-02-01,355.544,4045.0,44587.0,0.0,0.0,0.0
2015-03-01,417.183,4746.0,52317.0,0.0,0.0,0.0
2015-04-01,398.144,4530.0,49929.0,0.0,0.0,0.0
2015-05-01,351.771,4002.0,44114.0,0.0,0.0,0.0
2015-06-01,498.081,5667.0,62462.0,0.0,0.0,0.0
2015-07-01,566.864,6449.0,71087.0,0.0,0.0,0.0
2015-08-01,544.506,6195.0,68283.0,0.0,0.0,0.0
2015-09-01,506.169,5759.0,63476.0,0.0,0.0,0.0
2015-10-01,525.296,5977.0,65874.0,0.0,0.0,0.0
2015-11-01,531.495,6047.0,66652.0,0.0,0.0,0.0
2015-12-01,484.64,5514.0,60776.0,0.0,0.0,0.0
2016-01-01,509.814,5978.0,87551.0,0.0,0.0,0.0
2016-02-01,499.824,5860.0,85837.0,0.0,0.0,0.0
2016-03-01,677.841,7948.0,116408.0,0.0,0.0,0.0
2016-04-01,625.233,7331.0,107374.0,0.0,0.0,0.0
2016-05-01,793.755,9307.0,136315.0,0.0,0.0,0.0
2016-06-01,574.466,6736.0,98655.0,0.0,0.0,0.0
2016-07-01,463.495,5435.0,79597.0,0.0,0.0,0.0
2016-08-01,459.969,5393.0,78993.0,0.0,0.0,0.0
2016-09-01,418.304,4905.0,71837.0,0.0,0.0,0.0
2016-10-01,553.692,6492.0,95087.0,0.0,0.0,0.0
2016-11-01,631.058,7399.0,108374.0,0.0,0.0,0.0
2016-12-01,686.339,8047.0,117868.0,0.0,0.0,0.0
2017-01-01,764.242,8961.0,125167.0,0.0,0.0,0.0
2017-02-01,589.559,6913.0,96556.0,0.0,0.0,0.0
2017-03-01,608.268,7132.0,99620.0,0.0,0.0,0.0
2017-04-01,690.497,8096.0,113088.0,0.0,0.0,0.0
2017-05-01,727.821,8534.0,119201.0,0.0,0.0,0.0
2017-06-01,535.204,6275.0,87654.0,0.0,0.0,0.0
2017-07-01,763.572,8953.0,125056.0,0.0,0.0,0.0
2017-08-01,770.856,9038.0,126249.0,0.0,0.0,0.0
2017-09-01,663.131,7775.0,108606.0,0.0,0.0,0.0
2017-10-01,712.665,8356.0,116719.0,0.0,0.0,0.0
2017-11-01,777.104,9112.0,127272.0,0.0,0.0,0.0
2017-12-01,876.821,10281.0,143603.0,0.0,0.0,0.0
2018-01-01,446.49,5235.0,100416.0,0.0,0.0,0.0
2018-02-01,537.996,6308.0,120996.0,0.0,0.0,0.0
2018-03-01,430.33,5046.0,96781.0,0.0,0.0,0.0
2018-04-01,519.952,6096.0,116937.0,0.0,0.0,0.0
2018-05-01,423.414,4965.0,95226.0,0.0,0.0,0.0
2018-06-01,473.777,5555.0,106552.0,0.0,0.0,0.0
2018-07-01,568.385,6664.0,127830.0,0.0,0.0,0.0
2018-08-01,575.24,6745.0,129372.0,0.0,0.0,0.0
