measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,,,,89.083,3535.0,3535.0
2012-02-01,,,,86.117,3418.0,3418.0
2012-03-01,,,,91.481,3631.0,3631.0
2012-04-01,,,,101.463,4027.0,4027.0
2012-05-01,,,,104.48,4146.0,4146.0
2012-06-01,,,,103.493,4107.0,4107.0
2012-07-01,,,,119.329,4735.0,4735.0
2012-08-01,,,,117.973,4682.0,4682.0
2012-09-01,,,,102.475,4067.0,4067.0
2012-10-01,,,,118.514,4703.0,4703.0
2012-11-01,,,,93.313,3703.0,3703.0
2012-12-01,,,,97.279,3860.0,3860.0
2013-01-01,,,,106.549,1184.0,1184.0
2013-02-01,,,,97.696,1087.0,1087.0
2013-03-01,,,,138.133,1536.0,1536.0
2013-04-01,,,,149.54,1663.0,1663.0
2013-05-01,,,,149.81,1666.0,1666.0
2013-06-01,,,,146.091,1625.0,1625.0
2013-07-01,,,,115.821,1288.0,1288.0
2013-08-01,,,,131.77,1465.0,1465.0
2013-09-01,,,,142.086,1580.0,1580.0
2013-10-01,,,,137.156,1525.0,1525.0
2013-11-01,,,,121.93,1356.0,1356.0
2013-12-01,,,,127.418,1417.0,1417.0
2014-01-01,,,,583.863,6640.0,7261.0
2014-02-01,,,,483.28,5497.0,6010.0
2014-03-01,,,,513.407,5839.0,6385.0
2014-04-01,,,,584.022,6642.0,7263.0
2014-05-01,,,,590.331,6714.0,7342.0
2014-06-01,,,,689.565,7843.0,8575.0
2014-07-01,,,,660.858,7516.0,8218.0
2014-08-01,,,,622.793,7083.0,7745.0
2014-09-01,,,,635.343,7226.0,7901.0
2014-10-01,,,,626.126,7121.0,7787.0
2014-11-01,,,,532.224,6053.0,6619.0
2014-12-01,,,,530.188,6030.0,6593.0
2015-01-01,,,,527.206,5982.0,5982.0
2015-02-01,,,,444.58,5045.0,5045.0
2015-03-01,,,,541.208,6141.0,6141.0
2015-04-01,,,,601.817,6829.0,6829.0
2015-05-01,,,,647.12,7343.0,7343.0
2015-06-01,,,,595.606,6758.0,6758.0
2015-07-01,,,,679.152,7706.0,7706.0
2015-08-01,,,,614.155,6968.0,6968.0
2015-09-01,,,,668.117,7581.0,7581.0
2015-10-01,,,,621.286,7049.0,7049.0
2015-11-01,,,,589.084,6684.0,6684.0
2015-12-01,,,,560.669,6362.0,6362.0
2016-01-01,636.563,8064.0,8064.0,,,
2016-02-01,569.289,7211.0,7211.0,,,
2016-03-01,673.702,8534.0,8534.0,,,
2016-04-01,408.471,5174.0,5174.0,,,
2016-05-01,640.383,8112.0,8112.0,,,
2016-06-01,677.712,8584.0,8584.0,,,
2016-07-01,714.647,9052.0,9052.0,,,
2016-08-01,728.948,9233.0,9233.0,,,
2016-09-01,550.132,6968.0,6968.0,,,
2016-10-01,563.151,7133.0,7133.0,,,
2016-11-01,677.555,8582.0,8582.0,,,
2016-12-01,659.447,8353.0,8353.0,,,
2017-01-01,689.704,10514.0,10514.0,,,
2017-02-01,626.669,9553.0,9553.0,,,
2017-03-01,764.947,11661.0,11661.0,,,
2017-04-01,548.937,8368.0,8368.0,,,
2017-05-01,410.225,6253.0,6253.0,,,
2017-06-01,632.121,9636.0,9636.0,,,
2017-07-01,776.411,11836.0,11836.0,,,
2017-08-01,711.87,10852.0,10852.0,,,
2017-09-01,700.504,10678.0,10678.0,,,
2017-10-01,678.052,10336.0,10336.0,,,
2017-11-01,712.113,10855.0,10855.0,,,
2017-12-01,948.447,14458.0,14458.0,,,
2018-01-01,430.4,6575.0,6575.0,,,
2018-02-01,362.514,5537.0,5537.0,,,
2018-03-01,403.744,6166.0,6166.0,,,
2018-04-01,392.05,5988.0,5988.0,,,
2018-05-01,516.18,7883.0,7883.0,,,
2018-06-01,522.973,7987.0,7987.0,,,
2018-07-01,575.297,8786.0,8786.0,,,
2018-08-01,535.812,8183.0,8183.0,,,
2018-09-01,426.441,6513.0,6513.0,,,
2018-10-01,412.4,6298.0,6298.0,,,
2018-11-01,456.198,6967.0,6967.0,,,
2018-12-01,465.991,7117.0,7117.0,,,
2019-01-01,507.789,14175.0,14175.0,,,
2019-02-01,479.306,13381.0,13381.0,,,
2019-03-01,497.451,13888.0,13888.0,,,
2019-04-01,389.96,10887.0,10887.0,,,
2019-05-01,429.749,11998.0,11998.0,,,
2019-06-01,465.779,13003.0,13003.0,,,
2019-07-01,542.382,15142.0,15142.0,,,
2019-08-01,572.138,15973.0,15973.0,,,
2019-09-01,530.848,14820.0,14820.0,,,
2019-10-01,533.338,14890.0,14890.0,,,
2019-11-01,540.801,15098.0,15098.0,,,
2019-12-01,585.459,16345.0,16345.0,,,
2020-01-01,185.642,1829.0,1829.0,,,
2020-02-01,167.622,1653.0,1653.0,,,
2020-03-01,157.226,1551.0,1551.0,,,
2020-04-01,153.457,1514.0,1514.0,,,
2020-05-01,158.821,1567.0,1567.0,,,
2020-06-01,182.672,1802.0,1802.0,,,
2020-07-01,195.945,1933.0,1933.0,,,
2020-08-01,173.669,1713.0,1713.0,,,
2020-09-01,144.123,1422.0,1422.0,,,
2020-10-01,145.735,1437.0,1437.0,,,
2020-11-01,119.914,1183.0,1183.0,,,
2020-12-01,169.174,1669.0,1669.0,,,
2021-01-01,0.0,0.0,0.0,,,
2021-02-01,0.0,0.0,0.0,,,
2021-03-01,0.0,0.0,0.0,,,
2021-04-01,0.0,0.0,0.0,,,
2021-05-01,0.0,0.0,0.0,,,
2021-06-01,0.0,0.0,0.0,,,
2021-07-01,0.0,0.0,0.0,,,
2021-08-01,0.0,0.0,0.0,,,
2021-09-01,0.0,0.0,0.0,,,
2021-10-01,0.0,0.0,0.0,,,
2021-11-01,0.0,0.0,0.0,,,
2021-12-01,0.0,0.0,0.0,,,
2022-01-01,0.0,0.0,0.0,,,
2022-02-01,0.0,0.0,0.0,,,
2022-03-01,0.0,0.0,0.0,,,
2022-04-01,0.0,0.0,0.0,,,
2022-05-01,0.0,0.0,0.0,,,
2022-06-01,0.0,0.0,0.0,,,
