measured_on,"Solar - Energy Storage, Concentrated Solar Power - Solar - Generation","Solar - Energy Storage, Concentrated Solar Power - Solar - Quantity Consumed For Electricity","Solar - Energy Storage, Concentrated Solar Power - Solar - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2012-01-01,1.77,17.0,17.0,,,
2012-02-01,17.36,165.0,165.0,,,
2012-03-01,42.511,405.0,405.0,,,
2012-04-01,61.504,585.0,585.0,,,
2012-05-01,84.523,804.0,804.0,,,
2012-06-01,91.349,869.0,869.0,,,
2012-07-01,79.015,752.0,752.0,,,
2012-08-01,62.283,593.0,593.0,,,
2012-09-01,58.312,555.0,555.0,,,
2012-10-01,45.822,436.0,436.0,0.0,0.0,0.0
2012-11-01,23.429,223.0,223.0,0.0,0.0,0.0
2012-12-01,17.122,163.0,163.0,0.0,0.0,0.0
2013-01-01,,,,85.001,811.0,811.0
2013-02-01,,,,174.091,1661.0,1661.0
2013-03-01,,,,296.426,2828.0,2828.0
2013-04-01,,,,312.56,2982.0,2982.0
2013-05-01,,,,351.699,3356.0,3356.0
2013-06-01,,,,448.165,4276.0,4276.0
2013-07-01,,,,422.934,4035.0,4035.0
2013-08-01,,,,569.085,5430.0,5430.0
2013-09-01,,,,553.165,5278.0,5278.0
2013-10-01,,,,489.752,4673.0,4673.0
2013-11-01,,,,487.461,4651.0,4651.0
2013-12-01,,,,508.661,4853.0,4853.0
2014-01-01,,,,156.749,1491.0,1491.0
2014-02-01,,,,178.77,1700.0,1700.0
2014-03-01,,,,314.75,2993.0,2993.0
2014-04-01,,,,372.476,3542.0,3542.0
2014-05-01,,,,427.9,4069.0,4069.0
2014-06-01,,,,474.568,4513.0,4513.0
2014-07-01,,,,439.154,4176.0,4176.0
2014-08-01,,,,475.162,4519.0,4519.0
2014-09-01,,,,463.635,4409.0,4409.0
2014-10-01,,,,418.664,3981.0,3981.0
2014-11-01,,,,347.917,3309.0,3309.0
2014-12-01,,,,237.255,2256.0,2256.0
2015-01-01,,,,213.405,1989.0,1989.0
2015-02-01,,,,268.962,2506.0,2506.0
2015-03-01,,,,394.152,3673.0,3673.0
2015-04-01,,,,442.381,4123.0,4123.0
2015-05-01,,,,444.662,4144.0,4144.0
2015-06-01,,,,458.151,4270.0,4270.0
2015-07-01,,,,474.162,4419.0,4419.0
2015-08-01,,,,479.919,4472.0,4472.0
2015-09-01,,,,396.057,3691.0,3691.0
2015-10-01,,,,333.652,3109.0,3109.0
2015-11-01,,,,309.082,2880.0,2880.0
2015-12-01,,,,254.415,2371.0,2371.0
2016-01-01,,,,155.476,1435.0,1435.0
2016-02-01,,,,259.512,2396.0,2396.0
2016-03-01,,,,286.452,2645.0,2645.0
2016-04-01,,,,333.7,3081.0,3081.0
2016-05-01,,,,414.801,3829.0,3829.0
2016-06-01,,,,397.844,3673.0,3673.0
2016-07-01,,,,464.434,4288.0,4288.0
2016-08-01,,,,458.004,4228.0,4228.0
2016-09-01,,,,404.081,3730.0,3730.0
2016-10-01,,,,340.64,3145.0,3145.0
2016-11-01,,,,292.626,2702.0,2702.0
2016-12-01,,,,213.43,1970.0,1970.0
2017-01-01,,,,161.826,1491.0,1491.0
2017-02-01,,,,180.753,1665.0,1665.0
2017-03-01,,,,337.058,3105.0,3105.0
2017-04-01,,,,355.117,3272.0,3272.0
2017-05-01,,,,446.499,4114.0,4114.0
2017-06-01,,,,483.874,4458.0,4458.0
2017-07-01,,,,441.057,4063.0,4063.0
2017-08-01,,,,407.605,3755.0,3755.0
2017-09-01,,,,380.616,3507.0,3507.0
2017-10-01,,,,350.636,3230.0,3230.0
2017-11-01,,,,215.467,1985.0,1985.0
2017-12-01,,,,205.492,1893.0,1893.0
2018-01-01,,,,189.937,1729.0,1729.0
2018-02-01,,,,267.557,2436.0,2436.0
2018-03-01,,,,306.804,2793.0,2793.0
2018-04-01,,,,383.959,3496.0,3496.0
2018-05-01,,,,463.192,4217.0,4217.0
2018-06-01,,,,499.581,4548.0,4548.0
2018-07-01,,,,433.821,3950.0,3950.0
2018-08-01,,,,435.164,3962.0,3962.0
2018-09-01,,,,411.271,3744.0,3744.0
2018-10-01,,,,323.052,2941.0,2941.0
2018-11-01,,,,222.29,2024.0,2024.0
2018-12-01,,,,176.372,1606.0,1606.0
2019-01-01,,,,151.064,1345.0,1345.0
2019-02-01,,,,175.532,1563.0,1563.0
2019-03-01,,,,268.426,2390.0,2390.0
2019-04-01,,,,311.911,2778.0,2778.0
2019-05-01,,,,325.515,2899.0,2899.0
2019-06-01,,,,393.742,3506.0,3506.0
2019-07-01,,,,388.285,3458.0,3458.0
2019-08-01,,,,380.219,3386.0,3386.0
2019-09-01,,,,310.182,2762.0,2762.0
2019-10-01,,,,284.83,2536.0,2536.0
2019-11-01,,,,181.972,1620.0,1620.0
2019-12-01,,,,117.322,1045.0,1045.0
2020-01-01,,,,90.818,796.0,796.0
2020-02-01,,,,235.658,2066.0,2066.0
2020-03-01,,,,270.345,2370.0,2370.0
2020-04-01,,,,395.055,3463.0,3463.0
2020-05-01,,,,389.648,3416.0,3416.0
2020-06-01,,,,438.5,3844.0,3844.0
2020-07-01,,,,478.672,4197.0,4197.0
2020-08-01,,,,411.522,3608.0,3608.0
2020-09-01,,,,316.248,2773.0,2773.0
2020-10-01,,,,277.133,2430.0,2430.0
2020-11-01,,,,137.063,1202.0,1202.0
2020-12-01,,,,112.338,985.0,985.0
2021-01-01,,,,113.19,1001.0,1001.0
2021-02-01,,,,171.246,1514.0,1514.0
2021-03-01,,,,307.712,2721.0,2721.0
2021-04-01,,,,376.209,3327.0,3327.0
