measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed",Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed
2012-01-01,,,,571.224,6629.0,8271.0,0.0,0.0,0.0
2012-02-01,,,,571.18,6629.0,8272.0,0.0,0.0,0.0
2012-03-01,,,,543.261,6305.0,7868.0,0.0,0.0,0.0
2012-04-01,,,,503.345,5842.0,7289.0,0.0,0.0,0.0
2012-05-01,,,,499.832,5801.0,7238.0,0.0,0.0,0.0
2012-06-01,,,,529.156,6141.0,7662.0,0.0,0.0,0.0
2012-07-01,,,,625.824,7263.0,9062.0,0.0,0.0,0.0
2012-08-01,,,,824.071,9564.0,11934.0,0.0,0.0,0.0
2012-09-01,,,,748.621,8688.0,10841.0,0.0,0.0,0.0
2012-10-01,,,,692.729,8039.0,10031.0,0.0,0.0,0.0
2012-11-01,,,,598.115,6941.0,8662.0,0.0,0.0,0.0
2012-12-01,,,,564.242,6548.0,8171.0,0.0,0.0,0.0
2013-01-01,,,,798.962,9177.0,9177.0,,,
2013-02-01,,,,735.975,8452.0,8452.0,,,
2013-03-01,,,,709.802,8152.0,8152.0,,,
2013-04-01,,,,610.789,7015.0,7015.0,,,
2013-05-01,,,,645.04,7409.0,7409.0,,,
2013-06-01,,,,763.128,8765.0,8765.0,,,
2013-07-01,,,,968.323,11121.0,11121.0,,,
2013-08-01,,,,987.556,11342.0,11342.0,,,
2013-09-01,,,,985.088,11314.0,11314.0,,,
2013-10-01,,,,854.74,9816.0,9816.0,,,
2013-11-01,,,,843.09,9683.0,9683.0,,,
2013-12-01,,,,981.787,11276.0,11276.0,,,
2014-01-01,,,,872.686,8814.0,8814.0,,,
2014-02-01,,,,814.937,8232.0,8232.0,,,
2014-03-01,,,,707.187,7144.0,7144.0,,,
2014-04-01,,,,672.438,6792.0,6792.0,,,
2014-05-01,,,,678.045,6850.0,6850.0,,,
2014-06-01,,,,668.434,6752.0,6752.0,,,
2014-07-01,,,,945.755,9553.0,9553.0,,,
2014-08-01,,,,976.255,9862.0,9862.0,,,
2014-09-01,,,,1021.182,10315.0,10315.0,,,
2014-10-01,,,,1007.385,10176.0,10176.0,,,
2014-11-01,,,,728.037,7354.0,7354.0,,,
2014-12-01,,,,791.939,7999.0,7999.0,,,
2015-01-01,,,,784.469,9104.0,12323.0,,,
2015-02-01,,,,580.876,6741.0,9124.0,,,
2015-03-01,,,,680.513,7898.0,10688.0,,,
2015-04-01,,,,653.034,7579.0,10258.0,,,
2015-05-01,,,,637.532,7399.0,10014.0,,,
2015-06-01,,,,896.48,10404.0,14081.0,,,
2015-07-01,,,,1011.116,11734.0,15882.0,,,
2015-08-01,,,,1066.541,12378.0,16752.0,,,
2015-09-01,,,,1059.173,12292.0,16637.0,,,
2015-10-01,,,,1020.3,11841.0,16026.0,,,
2015-11-01,,,,752.291,8731.0,11816.0,,,
2015-12-01,,,,804.675,9339.0,12640.0,,,
2016-01-01,,,,673.115,8370.0,8531.0,,,
2016-02-01,,,,534.203,6642.0,6770.0,,,
2016-03-01,,,,415.466,5166.0,5266.0,,,
2016-04-01,,,,397.321,4940.0,5035.0,,,
2016-05-01,,,,428.887,5333.0,5436.0,,,
2016-06-01,,,,652.479,8113.0,8269.0,,,
2016-07-01,,,,769.609,9570.0,9754.0,,,
2016-08-01,,,,851.215,10584.0,10788.0,,,
2016-09-01,,,,704.674,8762.0,8930.0,,,
2016-10-01,,,,695.109,8643.0,8809.0,,,
2016-11-01,,,,534.48,6646.0,6774.0,,,
2016-12-01,,,,605.242,7526.0,7670.0,,,
2017-01-01,,,,602.81,5125.0,5125.0,,,
2017-02-01,,,,460.113,3911.0,3911.0,,,
2017-03-01,,,,381.036,3239.0,3239.0,,,
2017-04-01,,,,340.38,2893.0,2893.0,,,
2017-05-01,,,,422.274,3589.0,3589.0,,,
2017-06-01,,,,555.565,4722.0,4722.0,,,
2017-07-01,,,,757.608,6440.0,6440.0,,,
2017-08-01,,,,855.233,7270.0,7270.0,,,
2017-09-01,,,,703.698,5982.0,5982.0,,,
2017-10-01,,,,666.449,5665.0,5665.0,,,
2017-11-01,,,,579.195,4924.0,4924.0,,,
2017-12-01,,,,614.039,5220.0,5220.0,,,
2018-01-01,,,,234.198,2225.0,2225.0,,,
2018-02-01,,,,205.632,1954.0,1954.0,,,
2018-03-01,,,,213.865,2032.0,2032.0,,,
2018-04-01,,,,160.951,1529.0,1529.0,,,
2018-05-01,,,,146.926,1396.0,1396.0,,,
2018-06-01,,,,200.988,1909.0,1909.0,,,
2018-07-01,,,,350.723,3331.0,3331.0,,,
2018-08-01,,,,324.45,3082.0,3082.0,,,
2018-09-01,,,,261.118,2480.0,2480.0,,,
2018-10-01,,,,291.87,2772.0,2772.0,,,
2018-11-01,,,,260.921,2478.0,2478.0,,,
2018-12-01,,,,262.878,2497.0,2497.0,,,
2019-01-01,289.031,3594.0,5896.0,0.0,0.0,0.0,,,
2019-02-01,267.993,3332.0,5465.0,0.0,0.0,0.0,,,
2019-03-01,233.703,2906.0,4765.0,,,,,,
2019-04-01,163.989,2039.0,3343.0,,,,,,
2019-05-01,141.311,1757.0,2881.0,,,,,,
2019-06-01,188.959,2350.0,3853.0,,,,,,
2019-07-01,297.875,3704.0,6073.0,,,,,,
2019-08-01,349.89,4351.0,7134.0,,,,,,
2019-09-01,307.877,3828.0,6277.0,,,,,,
2019-10-01,315.333,3921.0,6430.0,,,,,,
2019-11-01,309.259,3845.0,6306.0,,,,,,
2019-12-01,320.76,3988.0,6540.0,,,,,,
2020-01-01,488.859,6079.0,6341.0,0.0,0.0,0.0,,,
2020-02-01,431.707,5368.0,5602.0,0.0,0.0,0.0,,,
2020-03-01,479.224,5959.0,6218.0,0.0,0.0,0.0,,,
2020-04-01,338.907,4214.0,4397.0,0.0,0.0,0.0,,,
2020-05-01,318.665,3962.0,4135.0,0.0,0.0,0.0,,,
2020-06-01,448.269,5574.0,5816.0,0.0,0.0,0.0,,,
2020-07-01,627.081,7797.0,8136.0,0.0,0.0,0.0,,,
2020-08-01,779.819,9697.0,10118.0,0.0,0.0,0.0,,,
2020-09-01,679.101,8444.0,8812.0,0.0,0.0,0.0,,,
2020-10-01,705.263,8770.0,9151.0,0.0,0.0,0.0,,,
2020-11-01,563.339,7005.0,7309.0,0.0,0.0,0.0,,,
2020-12-01,624.426,7764.0,8102.0,0.0,0.0,0.0,,,
2021-01-01,488.531,6075.0,8964.0,0.0,0.0,0.0,,,
2021-02-01,414.289,5151.0,7602.0,0.0,0.0,0.0,,,
2021-03-01,445.44,5539.0,8174.0,0.0,0.0,0.0,,,
2021-04-01,395.254,4915.0,7253.0,0.0,0.0,0.0,,,
2021-05-01,413.092,5137.0,7580.0,0.0,0.0,0.0,,,
2021-06-01,564.879,7024.0,10366.0,0.0,0.0,0.0,,,
2021-07-01,779.522,9693.0,14305.0,0.0,0.0,0.0,,,
2021-08-01,711.73,8850.0,13061.0,0.0,0.0,0.0,,,
2021-09-01,605.598,7530.0,11113.0,0.0,0.0,0.0,,,
2021-10-01,577.321,7179.0,10595.0,0.0,0.0,0.0,,,
2021-11-01,530.587,6598.0,9737.0,0.0,0.0,0.0,,,
2021-12-01,547.637,6810.0,10050.0,0.0,0.0,0.0,,,
2022-01-01,339.656,4223.0,5039.0,0.0,0.0,0.0,,,
2022-02-01,282.004,3507.0,4182.0,0.0,0.0,0.0,,,
2022-03-01,260.928,3244.0,3870.0,0.0,0.0,0.0,,,
2022-04-01,267.278,3323.0,3964.0,0.0,0.0,0.0,,,
2022-05-01,245.273,3050.0,3637.0,0.0,0.0,0.0,,,
2022-06-01,333.588,4148.0,4948.0,0.0,0.0,0.0,,,
2022-07-01,445.639,5541.0,6608.0,0.0,0.0,0.0,,,
2022-08-01,537.723,6686.0,7974.0,0.0,0.0,0.0,,,
2022-09-01,492.822,6128.0,7308.0,0.0,0.0,0.0,,,
2022-10-01,452.581,5628.0,6712.0,0.0,0.0,0.0,,,
2022-11-01,415.618,5168.0,6163.0,0.0,0.0,0.0,,,
2022-12-01,459.39,5712.0,6812.0,0.0,0.0,0.0,,,
2023-01-01,431.469,5258.0,11452.0,0.0,0.0,0.0,,,
2023-02-01,367.527,4479.0,9754.0,0.0,0.0,0.0,,,
2023-03-01,353.241,4304.0,9376.0,0.0,0.0,0.0,,,
2023-04-01,275.955,3363.0,7325.0,0.0,0.0,0.0,,,
2023-05-01,178.735,2178.0,4744.0,0.0,0.0,0.0,,,
2023-06-01,235.132,2865.0,6240.0,0.0,0.0,0.0,,,
2023-07-01,544.284,6632.0,14446.0,0.0,0.0,0.0,,,
2023-08-01,549.194,6692.0,14577.0,0.0,0.0,0.0,,,
2023-09-01,388.735,4737.0,10317.0,0.0,0.0,0.0,,,
2023-10-01,474.717,5785.0,12600.0,0.0,0.0,0.0,,,
2023-11-01,445.944,5434.0,11836.0,0.0,0.0,0.0,,,
2023-12-01,502.067,6118.0,13325.0,0.0,0.0,0.0,,,
2024-01-01,169.15,2061.0,2603.0,0.0,0.0,0.0,,,
2024-02-01,114.737,1398.0,1765.0,0.0,0.0,0.0,,,
2024-03-01,82.125,1001.0,1263.0,0.0,0.0,0.0,,,
2024-04-01,69.91,852.0,1075.0,0.0,0.0,0.0,,,
2024-05-01,62.902,767.0,967.0,0.0,0.0,0.0,,,
2024-06-01,96.773,1179.0,1488.0,0.0,0.0,0.0,,,
2024-07-01,185.921,2266.0,2859.0,0.0,0.0,0.0,,,
2024-08-01,161.492,1968.0,2484.0,0.0,0.0,0.0,,,
2024-09-01,142.245,1733.0,2188.0,0.0,0.0,0.0,,,
2024-10-01,149.03,1816.0,2292.0,0.0,0.0,0.0,,,
2024-11-01,120.008,1462.0,1846.0,0.0,0.0,0.0,,,
2024-12-01,131.707,1605.0,2026.0,0.0,0.0,0.0,,,
