measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2013-12-01,1709.0,16306.0,16306.0,,,
2014-01-01,13111.0,124686.0,124686.0,,,
2014-02-01,8529.0,81111.0,81111.0,,,
2014-03-01,13183.0,125370.0,125370.0,,,
2014-04-01,10359.0,98514.0,98514.0,,,
2014-05-01,9910.0,94244.0,94244.0,,,
2014-06-01,6297.0,59884.0,59884.0,,,
2014-07-01,4106.0,39048.0,39048.0,,,
2014-08-01,7516.0,71477.0,71477.0,,,
2014-09-01,8629.0,82062.0,82062.0,,,
2014-10-01,10542.0,100254.0,100254.0,,,
2014-11-01,11374.0,108167.0,108167.0,,,
2014-12-01,12720.0,120967.0,120967.0,,,
2015-01-01,14209.0,132414.0,132414.0,,,
2015-02-01,11741.0,109414.0,109414.0,,,
2015-03-01,11465.0,106842.0,106842.0,,,
2015-04-01,8969.0,83582.0,83582.0,,,
2015-05-01,7762.0,72334.0,72334.0,,,
2015-06-01,5499.0,51245.0,51245.0,,,
2015-07-01,7183.0,66938.0,66938.0,,,
2015-08-01,5899.0,54973.0,54973.0,,,
2015-09-01,7342.0,68420.0,68420.0,,,
2015-10-01,10526.0,98092.0,98092.0,,,
2015-11-01,14705.0,137036.0,137036.0,,,
2015-12-01,15726.0,146551.0,146551.0,,,
2016-01-01,15018.0,138646.0,138646.0,,,
2016-02-01,12209.0,112713.0,112713.0,,,
2016-03-01,12374.0,114237.0,114237.0,,,
2016-04-01,10175.0,93936.0,93936.0,,,
2016-05-01,10161.0,93806.0,93806.0,,,
2016-06-01,4965.0,45837.0,45837.0,,,
2016-07-01,4131.0,38137.0,38137.0,,,
2016-08-01,4335.0,40021.0,40021.0,,,
2016-09-01,7061.0,65187.0,65187.0,,,
2016-10-01,10222.0,94370.0,94370.0,,,
2016-11-01,11505.0,106214.0,106214.0,,,
2016-12-01,13294.0,122730.0,122730.0,,,
2017-01-01,9847.012,90721.0,90721.0,,,
2017-02-01,8674.052,79914.0,79914.0,,,
2017-03-01,9701.63,89381.0,89381.0,,,
2017-04-01,9399.182,86595.0,86595.0,,,
2017-05-01,9085.838,83708.0,83708.0,,,
2017-06-01,8915.557,82139.0,82139.0,,,
2017-07-01,9589.908,88352.0,88352.0,2711.491,24981.0,24981.0
2017-08-01,9526.386,87767.0,87767.0,2782.696,25637.0,25637.0
2017-09-01,9316.341,85831.0,85831.0,2497.368,23008.0,23008.0
2017-10-01,8485.094,78173.0,78173.0,2455.359,22621.0,22621.0
2017-11-01,9116.263,83988.0,83988.0,1687.704,15549.0,15549.0
2017-12-01,9478.737,87328.0,87328.0,1624.382,14965.0,14965.0
2018-01-01,9377.841,85376.0,85376.0,1283.375,11684.0,11684.0
2018-02-01,8914.552,81158.0,81158.0,1645.843,14984.0,14984.0
2018-03-01,9554.354,86983.0,86983.0,2107.955,19191.0,19191.0
2018-04-01,8311.099,75664.0,75664.0,2631.659,23959.0,23959.0
2018-05-01,9614.844,87534.0,87534.0,2783.091,25337.0,25337.0
2018-06-01,8971.044,81672.0,81672.0,3259.392,29674.0,29674.0
2018-07-01,9507.813,86559.0,86559.0,2776.297,25275.0,25275.0
2018-08-01,9489.828,86395.0,86395.0,2807.393,25559.0,25559.0
2018-09-01,9232.151,84050.0,84050.0,2700.565,24586.0,24586.0
2018-10-01,8887.346,80910.0,80910.0,2117.178,19275.0,19275.0
2018-11-01,9286.423,84544.0,84544.0,1655.056,15068.0,15068.0
2018-12-01,9849.705,89672.0,89672.0,1281.196,11664.0,11664.0
2019-01-01,11177.912,99539.0,99539.0,1337.983,11915.0,11915.0
2019-02-01,10411.993,92719.0,92719.0,1463.989,13037.0,13037.0
2019-03-01,11470.544,102145.0,102145.0,2025.078,18033.0,18033.0
2019-04-01,10142.666,90320.0,90320.0,2396.103,21337.0,21337.0
2019-05-01,10924.298,97281.0,97281.0,2539.494,22614.0,22614.0
2019-06-01,10605.925,94446.0,94446.0,2797.018,24907.0,24907.0
2019-07-01,10969.767,97686.0,97686.0,2824.453,25152.0,25152.0
2019-08-01,11076.151,98633.0,98633.0,2750.177,24490.0,24490.0
2019-09-01,10860.789,96715.0,96715.0,2351.126,20937.0,20937.0
2019-10-01,9266.66,82520.0,82520.0,2282.318,20324.0,20324.0
2019-11-01,8461.911,75353.0,75353.0,1557.461,13869.0,13869.0
2019-12-01,9966.384,88751.0,88751.0,1051.8,9366.0,9366.0
2020-01-01,9869.783,86528.0,86528.0,1547.081,13563.0,13563.0
2020-02-01,10506.962,92115.0,92115.0,1953.241,17124.0,17124.0
2020-03-01,10973.553,96205.0,96205.0,2086.356,18291.0,18291.0
2020-04-01,10371.004,90923.0,90923.0,2460.034,21567.0,21567.0
2020-05-01,9904.56,86833.0,86833.0,2755.555,24158.0,24158.0
2020-06-01,9117.294,79931.0,79931.0,2955.945,25915.0,25915.0
2020-07-01,8610.729,75490.0,75490.0,3071.009,26924.0,26924.0
2020-08-01,8377.251,73443.0,73443.0,2756.791,24169.0,24169.0
2020-09-01,9042.177,79273.0,79273.0,2403.994,21076.0,21076.0
2020-10-01,10037.663,88000.0,88000.0,2178.77,19101.0,19101.0
2020-11-01,10708.959,93885.0,93885.0,1619.178,14195.0,14195.0
2020-12-01,11223.065,98393.0,98393.0,1337.046,11722.0,11722.0
2021-01-01,9850.25,87116.0,87116.0,1414.749,12512.0,12512.0
2021-02-01,8630.645,76329.0,76329.0,1807.769,15988.0,15988.0
2021-03-01,7663.213,67773.0,67773.0,2286.097,20218.0,20218.0
2021-04-01,8788.573,77726.0,77726.0,2761.494,24423.0,24423.0
2021-05-01,9719.999,85964.0,85964.0,3050.157,26976.0,26976.0
2021-06-01,8431.52,74568.0,74568.0,2794.415,24714.0,24714.0
2021-07-01,8335.033,73715.0,73715.0,2686.58,23760.0,23760.0
