measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2015-10-01,1617.146,15184.0,15184.0
2015-11-01,1493.853,14026.0,14026.0
2015-12-01,1562.001,14666.0,14666.0
2016-01-01,6409.939,58085.0,58085.0
2016-02-01,5965.849,54063.0,54063.0
2016-03-01,6490.378,58817.0,58817.0
2016-04-01,5688.615,51551.0,51551.0
2016-05-01,6138.427,55627.0,55627.0
2016-06-01,7893.34,71530.0,71530.0
2016-07-01,9673.01,87657.0,87657.0
2016-08-01,9797.996,88790.0,88790.0
2016-09-01,8300.965,75224.0,75224.0
2016-10-01,6667.903,60425.0,60425.0
2016-11-01,7066.201,64035.0,64035.0
2016-12-01,7043.377,63828.0,63828.0
2017-01-01,4623.356,41934.0,41934.0
2017-02-01,4328.996,39264.0,39264.0
2017-03-01,4280.299,38822.0,38822.0
2017-04-01,3531.467,32030.0,32030.0
2017-05-01,3734.806,33875.0,33875.0
2017-06-01,4721.884,42828.0,42828.0
2017-07-01,6066.398,55023.0,55023.0
2017-08-01,5880.874,53340.0,53340.0
2017-09-01,5462.558,49545.0,49545.0
2017-10-01,5402.406,49001.0,49001.0
2017-11-01,4334.768,39317.0,39317.0
2017-12-01,4639.188,42078.0,42078.0
2018-01-01,4026.228,37080.0,37080.0
2018-02-01,4225.979,38922.0,38922.0
2018-03-01,4709.093,43371.0,43371.0
2018-04-01,4100.993,37770.0,37770.0
2018-05-01,3988.548,36735.0,36735.0
2018-06-01,5034.485,46368.0,46368.0
2018-07-01,5972.244,55005.0,55005.0
2018-08-01,5881.224,54167.0,54167.0
2018-09-01,5108.15,47047.0,47047.0
2018-10-01,4715.345,43429.0,43429.0
2018-11-01,3795.593,34958.0,34958.0
2018-12-01,3877.118,35708.0,35708.0
2019-01-01,3160.92,30244.0,30244.0
2019-02-01,3023.141,28926.0,28926.0
2019-03-01,3129.432,29943.0,29943.0
2019-04-01,2150.68,20577.0,20577.0
2019-05-01,2907.226,27817.0,27817.0
2019-06-01,3416.598,32690.0,32690.0
2019-07-01,4324.582,41378.0,41378.0
2019-08-01,4228.77,40461.0,40461.0
2019-09-01,3629.497,34727.0,34727.0
2019-10-01,3448.618,32997.0,32997.0
2019-11-01,3006.314,28764.0,28764.0
2019-12-01,3377.222,32313.0,32313.0
2020-01-01,3079.244,29476.0,29476.0
2020-02-01,2814.922,26945.0,26945.0
2020-03-01,2783.91,26649.0,26649.0
2020-04-01,2185.292,20918.0,20918.0
2020-05-01,2292.559,21945.0,21945.0
2020-06-01,3056.338,29256.0,29256.0
2020-07-01,3870.313,37048.0,37048.0
2020-08-01,3822.549,36591.0,36591.0
2020-09-01,3422.268,32759.0,32759.0
2020-10-01,2957.741,28312.0,28312.0
2020-11-01,2245.911,21499.0,21499.0
2020-12-01,3176.953,30410.0,30410.0
2021-01-01,3450.386,32340.0,32340.0
2021-02-01,3086.522,28929.0,28929.0
2021-03-01,3067.196,28748.0,28748.0
2021-04-01,2597.576,24346.0,24346.0
2021-05-01,2993.651,28059.0,28059.0
2021-06-01,3445.528,32294.0,32294.0
2021-07-01,3772.243,35357.0,35357.0
2021-08-01,3765.44,35292.0,35292.0
2021-09-01,3373.69,31620.0,31620.0
2021-10-01,2942.515,27579.0,27579.0
2021-11-01,3051.603,28602.0,28602.0
2021-12-01,3517.65,32970.0,32970.0
2022-01-01,3987.592,36779.0,36779.0
2022-02-01,3713.794,34251.0,34251.0
2022-03-01,3858.729,35588.0,35588.0
2022-04-01,3069.407,28308.0,28308.0
2022-05-01,3233.424,29821.0,29821.0
2022-06-01,3868.61,35679.0,35679.0
2022-07-01,4613.271,42547.0,42547.0
2022-08-01,4579.56,42236.0,42236.0
2022-09-01,4144.633,38224.0,38224.0
2022-10-01,3933.413,36277.0,36277.0
2022-11-01,3560.06,32833.0,32833.0
2022-12-01,4070.507,37541.0,37541.0
2023-01-01,5464.632,50233.0,50233.0
2023-02-01,5001.95,45980.0,45980.0
2023-03-01,5269.907,48443.0,48443.0
2023-04-01,4134.899,38010.0,38010.0
2023-05-01,4452.298,40928.0,40928.0
2023-06-01,5370.693,49370.0,49370.0
2023-07-01,6068.65,55786.0,55786.0
2023-08-01,6003.537,55187.0,55187.0
2023-09-01,5356.739,49242.0,49242.0
2023-10-01,4049.599,37226.0,37226.0
2023-11-01,4119.724,37870.0,37870.0
2023-12-01,4966.372,45653.0,45653.0
2024-01-01,2483.923,24611.0,24611.0
2024-02-01,2443.774,24214.0,24214.0
2024-03-01,2576.411,25528.0,25528.0
2024-04-01,2057.921,20390.0,20390.0
2024-05-01,2445.046,24227.0,24227.0
2024-06-01,2772.925,27475.0,27475.0
2024-07-01,2994.604,29672.0,29672.0
2024-08-01,2884.052,28576.0,28576.0
2024-09-01,2521.097,24980.0,24980.0
2024-10-01,1913.207,18957.0,18957.0
2024-11-01,2191.074,21710.0,21710.0
2024-12-01,2621.966,25980.0,25980.0
