measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2017-04-01,4593.355,38229.0,38229.0
2017-05-01,4857.838,40429.0,40429.0
2017-06-01,6141.722,51114.0,51114.0
2017-07-01,7890.523,65669.0,65669.0
2017-08-01,7649.214,63660.0,63660.0
2017-09-01,7105.112,59132.0,59132.0
2017-10-01,7026.873,58481.0,58481.0
2017-11-01,5638.203,46924.0,46924.0
2017-12-01,6034.16,50219.0,50219.0
2018-01-01,4574.364,40195.0,40195.0
2018-02-01,4801.309,42187.0,42187.0
2018-03-01,5350.196,47010.0,47010.0
2018-04-01,4659.308,40939.0,40939.0
2018-05-01,4531.554,39817.0,39817.0
2018-06-01,5719.887,50258.0,50258.0
2018-07-01,6785.314,59620.0,59620.0
2018-08-01,6681.903,58712.0,58712.0
2018-09-01,5803.581,50994.0,50994.0
2018-10-01,5357.299,47073.0,47073.0
2018-11-01,4312.33,37891.0,37891.0
2018-12-01,4404.955,38705.0,38705.0
2019-01-01,3581.179,32432.0,32432.0
2019-02-01,3425.082,31021.0,31021.0
2019-03-01,3545.505,32112.0,32112.0
2019-04-01,2436.623,22068.0,22068.0
2019-05-01,3293.756,29832.0,29832.0
2019-06-01,3870.852,35058.0,35058.0
2019-07-01,4899.556,44375.0,44375.0
2019-08-01,4791.005,43392.0,43392.0
2019-09-01,4112.056,37242.0,37242.0
2019-10-01,3907.128,35387.0,35387.0
2019-11-01,3406.018,30848.0,30848.0
2019-12-01,3826.24,34654.0,34654.0
2020-01-01,2659.802,24209.0,24209.0
2020-02-01,2431.485,22133.0,22133.0
2020-03-01,2404.697,21889.0,21889.0
2020-04-01,1887.62,17182.0,17182.0
2020-05-01,1980.275,18026.0,18026.0
2020-06-01,2640.016,24031.0,24031.0
2020-07-01,3343.115,30431.0,30431.0
2020-08-01,3301.857,30056.0,30056.0
2020-09-01,2956.101,26908.0,26908.0
2020-10-01,2554.849,23255.0,23255.0
2020-11-01,1939.982,17659.0,17659.0
2020-12-01,2744.201,24979.0,24979.0
2021-01-01,3213.318,28897.0,28897.0
2021-02-01,2874.454,25852.0,25852.0
2021-03-01,2856.456,25689.0,25689.0
2021-04-01,2419.102,21756.0,21756.0
2021-05-01,2787.963,25074.0,25074.0
2021-06-01,3208.794,28858.0,28858.0
2021-07-01,3513.06,31594.0,31594.0
2021-08-01,3506.725,31538.0,31538.0
2021-09-01,3141.891,28256.0,28256.0
2021-10-01,2740.342,24645.0,24645.0
2021-11-01,2841.935,25558.0,25558.0
2021-12-01,3275.96,29462.0,29462.0
2022-01-01,3938.255,34866.0,34866.0
2022-02-01,3667.842,32471.0,32471.0
2022-03-01,3810.984,33739.0,33739.0
2022-04-01,3031.428,26837.0,26837.0
2022-05-01,3193.416,28271.0,28271.0
2022-06-01,3820.743,33825.0,33825.0
2022-07-01,4556.19,40337.0,40337.0
2022-08-01,4522.896,40042.0,40042.0
2022-09-01,4093.35,36239.0,36239.0
2022-10-01,3884.744,34392.0,34392.0
2022-11-01,3516.01,31128.0,31128.0
2022-12-01,4020.142,35590.0,35590.0
2023-01-01,4865.924,43693.0,43693.0
2023-02-01,4453.935,39992.0,39992.0
2023-03-01,4692.534,42136.0,42136.0
2023-04-01,3681.878,33060.0,33060.0
2023-05-01,3964.503,35598.0,35598.0
2023-06-01,4782.277,42941.0,42941.0
2023-07-01,5403.767,48522.0,48522.0
2023-08-01,5345.787,48000.0,48000.0
2023-09-01,4769.853,42830.0,42830.0
2023-10-01,3605.923,32378.0,32378.0
2023-11-01,3668.365,32939.0,32939.0
2023-12-01,4422.254,39709.0,39709.0
2024-01-01,2664.491,24992.0,24992.0
2024-02-01,2621.423,24587.0,24587.0
2024-03-01,2763.701,25921.0,25921.0
2024-04-01,2207.52,20704.0,20704.0
2024-05-01,2622.787,24599.0,24599.0
2024-06-01,2974.501,27898.0,27898.0
2024-07-01,3212.295,30128.0,30128.0
2024-08-01,3093.707,29015.0,29015.0
2024-09-01,2704.367,25364.0,25364.0
2024-10-01,2052.287,19248.0,19248.0
2024-11-01,2350.353,22043.0,22043.0
2024-12-01,2812.568,26378.0,26378.0
