measured_on,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2014-12-01,32070.0,304986.0,304986.0
2015-01-01,49542.0,461682.0,461682.0
2015-02-01,46876.0,436837.0,436837.0
2015-03-01,51519.0,480106.0,480106.0
2015-04-01,52240.0,486825.0,486825.0
2015-05-01,45496.0,423977.0,423977.0
2015-06-01,25542.0,238026.0,238026.0
2015-07-01,22512.0,209789.0,209789.0
2015-08-01,29293.0,272981.0,272981.0
2015-09-01,36687.0,341886.0,341886.0
2015-10-01,48810.0,454860.0,454860.0
2015-11-01,55342.0,515732.0,515732.0
2015-12-01,46958.0,437602.0,437602.0
2016-01-01,46252.0,426998.0,426998.0
2016-02-01,48320.0,446090.0,446090.0
2016-03-01,45148.0,416806.0,416806.0
2016-04-01,61295.0,565875.0,565875.0
2016-05-01,37213.0,343550.0,343550.0
2016-06-01,32457.0,299643.0,299643.0
2016-07-01,23883.0,220488.0,220488.0
2016-08-01,19398.0,179082.0,179082.0
2016-09-01,39461.0,364304.0,364304.0
2016-10-01,45045.0,415855.0,415855.0
2016-11-01,50505.0,466262.0,466262.0
2016-12-01,54801.0,505923.0,505923.0
2017-01-01,39826.106,366918.0,366918.0
2017-02-01,50011.549,460756.0,460756.0
2017-03-01,55806.124,514142.0,514142.0
2017-04-01,48017.372,442384.0,442384.0
2017-05-01,43049.823,396618.0,396618.0
2017-06-01,35705.556,328955.0,328955.0
2017-07-01,19990.993,184177.0,184177.0
2017-08-01,18724.43,172508.0,172508.0
2017-09-01,32961.585,303675.0,303675.0
2017-10-01,51251.161,472177.0,472177.0
2017-11-01,47811.123,440484.0,440484.0
2017-12-01,47177.178,434643.0,434643.0
2018-01-01,50431.918,459132.0,459132.0
2018-02-01,34794.458,316769.0,316769.0
2018-03-01,43752.849,398326.0,398326.0
2018-04-01,43090.627,392297.0,392297.0
2018-05-01,30934.841,281631.0,281631.0
2018-06-01,34823.238,317031.0,317031.0
2018-07-01,20779.231,189174.0,189174.0
2018-08-01,24998.773,227589.0,227589.0
2018-09-01,34241.094,311731.0,311731.0
2018-10-01,34290.843,312184.0,312184.0
2018-11-01,38727.748,352577.0,352577.0
2018-12-01,40257.38,366503.0,366503.0
2019-01-01,35851.243,319255.0,319255.0
2019-02-01,28169.111,250846.0,250846.0
2019-03-01,40978.21,364911.0,364911.0
2019-04-01,43373.303,386239.0,386239.0
2019-05-01,31196.7,277807.0,277807.0
2019-06-01,24798.712,220833.0,220833.0
2019-07-01,24649.356,219503.0,219503.0
2019-08-01,17682.791,157465.0,157465.0
2019-09-01,33746.824,300515.0,300515.0
2019-10-01,40363.486,359437.0,359437.0
2019-11-01,41755.294,371831.0,371831.0
2019-12-01,40711.97,362540.0,362540.0
2020-01-01,31502.474,276182.0,276182.0
2020-02-01,38005.701,333196.0,333196.0
2020-03-01,37926.459,332501.0,332501.0
2020-04-01,37744.074,330902.0,330902.0
2020-05-01,33385.473,292690.0,292690.0
2020-06-01,39161.094,343325.0,343325.0
2020-07-01,21453.031,188079.0,188079.0
2020-08-01,28992.362,254176.0,254176.0
2020-09-01,37348.417,327434.0,327434.0
2020-10-01,41705.918,365636.0,365636.0
2020-11-01,47718.917,418352.0,418352.0
2020-12-01,36817.08,322775.0,322775.0
2021-01-01,40936.026,362038.0,362038.0
2021-02-01,34881.373,308491.0,308491.0
2021-03-01,49942.802,441694.0,441694.0
2021-04-01,48017.849,424670.0,424670.0
2021-05-01,43169.018,381787.0,381787.0
2021-06-01,29401.412,260026.0,260026.0
2021-07-01,20516.86,181451.0,181451.0
2021-08-01,28348.456,250714.0,250714.0
2021-09-01,35647.524,315267.0,315267.0
2021-10-01,39994.946,353715.0,353715.0
2021-11-01,53399.344,472264.0,472264.0
2021-12-01,49727.39,439789.0,439789.0
2022-01-01,52546.999,179290.0,179290.0
2022-02-01,49245.32,168025.0,168025.0
2022-03-01,53986.628,184202.0,184202.0
2022-04-01,56444.661,192589.0,192589.0
2022-05-01,45169.046,154117.0,154117.0
2022-06-01,35016.422,119476.0,119476.0
2022-07-01,25528.275,87102.0,87102.0
2022-08-01,24135.292,82350.0,82350.0
2022-09-01,35336.289,120567.0,120567.0
2022-10-01,41680.786,142215.0,142215.0
2022-11-01,57349.819,195678.0,195678.0
2022-12-01,49288.463,168172.0,168172.0
2023-01-01,39194.0,133730.0,133730.0
2023-02-01,46584.0,158945.0,158945.0
2023-03-01,48865.0,166727.0,166727.0
2023-04-01,59620.0,203423.0,203423.0
2023-05-01,38393.0,130997.0,130997.0
2023-06-01,12982.0,44295.0,44295.0
2023-07-01,14778.0,50423.0,50423.0
2023-08-01,21212.0,72375.0,72375.0
2023-09-01,26135.0,89173.0,89173.0
2023-10-01,45952.0,156788.0,156788.0
2023-11-01,47111.0,160743.0,160743.0
2023-12-01,40929.0,139650.0,139650.0
2024-01-01,38023.0,129734.0,129734.0
2024-02-01,46620.0,159067.0,159067.0
2024-03-01,58275.0,198834.0,198834.0
2024-04-01,58393.0,199237.0,199237.0
2024-05-01,35969.0,122726.0,122726.0
2024-06-01,36616.0,124934.0,124934.0
2024-07-01,14498.0,49467.0,49467.0
2024-08-01,20736.0,70751.0,70751.0
2024-09-01,27396.0,93475.0,93475.0
2024-10-01,53515.0,182593.0,182593.0
2024-11-01,43285.0,147688.0,147688.0
2024-12-01,35400.0,120785.0,120785.0
