measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2013-01-01,292.163,2960.0,2960.0,,,,78.01,744.0,744.0
2013-02-01,298.54,3025.0,3025.0,,,,79.888,762.0,762.0
2013-03-01,369.071,3739.0,3739.0,,,,121.982,1164.0,1164.0
2013-04-01,371.554,3764.0,3764.0,,,,166.089,1585.0,1585.0
2013-05-01,384.638,3897.0,3897.0,,,,149.083,1422.0,1422.0
2013-06-01,438.313,4440.0,4440.0,,,,153.681,1466.0,1466.0
2013-07-01,620.572,6287.0,6287.0,,,,148.185,1414.0,1414.0
2013-08-01,489.884,4963.0,4963.0,,,,128.539,1226.0,1226.0
2013-09-01,418.236,4237.0,4237.0,,,,140.947,1345.0,1345.0
2013-10-01,363.844,3686.0,3686.0,,,,113.465,1083.0,1083.0
2013-11-01,345.634,3501.0,3501.0,,,,84.895,810.0,810.0
2013-12-01,377.551,3825.0,3825.0,,,,59.236,565.0,565.0
2014-01-01,181.854,1550.0,1550.0,,,,61.332,583.0,583.0
2014-02-01,199.911,1702.0,1702.0,,,,87.866,836.0,836.0
2014-03-01,213.137,1815.0,1815.0,,,,123.397,1174.0,1174.0
2014-04-01,179.704,1531.0,1531.0,,,,150.553,1432.0,1432.0
2014-05-01,179.571,1530.0,1530.0,,,,144.238,1372.0,1372.0
2014-06-01,216.619,1845.0,1845.0,,,,151.42,1440.0,1440.0
2014-07-01,332.676,2833.0,2833.0,,,,156.57,1489.0,1489.0
2014-08-01,294.28,2506.0,2506.0,,,,154.564,1470.0,1470.0
2014-09-01,282.713,2408.0,2408.0,,,,128.79,1225.0,1225.0
2014-10-01,260.478,2218.0,2218.0,,,,94.722,901.0,901.0
2014-11-01,256.458,2185.0,2185.0,,,,86.727,825.0,825.0
2014-12-01,260.599,2219.0,2219.0,,,,57.701,549.0,549.0
2015-01-01,190.633,1827.0,1827.0,,,,81.786,762.0,762.0
2015-02-01,167.933,1608.0,1608.0,,,,90.778,846.0,846.0
2015-03-01,231.138,2213.0,2213.0,,,,116.27,1084.0,1084.0
2015-04-01,180.123,1725.0,1725.0,,,,149.658,1395.0,1395.0
2015-05-01,240.082,2300.0,2300.0,,,,171.58,1599.0,1599.0
2015-06-01,242.107,2318.0,2318.0,,,,141.901,1322.0,1322.0
2015-07-01,295.325,2828.0,2828.0,,,,158.623,1478.0,1478.0
2015-08-01,289.251,2770.0,2770.0,,,,172.451,1607.0,1607.0
2015-09-01,292.684,2803.0,2803.0,,,,144.093,1343.0,1343.0
2015-10-01,244.898,2345.0,2345.0,,,,125.881,1173.0,1173.0
2015-11-01,245.228,2348.0,2348.0,,,,90.469,843.0,843.0
2015-12-01,227.498,2178.0,2178.0,,,,50.42,470.0,470.0
2016-01-01,97.41,829.0,829.0,,,,90.593,836.0,836.0
2016-02-01,87.745,746.0,746.0,,,,78.813,728.0,728.0
2016-03-01,106.79,908.0,908.0,,,,127.265,1175.0,1175.0
2016-04-01,105.784,900.0,900.0,,,,140.302,1295.0,1295.0
2016-05-01,104.461,888.0,888.0,,,,124.134,1146.0,1146.0
2016-06-01,131.965,1122.0,1122.0,,,,159.858,1476.0,1476.0
2016-07-01,167.39,1423.0,1423.0,,,,151.132,1395.0,1395.0
2016-08-01,169.245,1439.0,1439.0,,,,146.744,1355.0,1355.0
2016-09-01,126.023,1071.0,1071.0,,,,110.302,1018.0,1018.0
2016-10-01,117.697,1000.0,1000.0,,,,108.12,998.0,998.0
2016-11-01,85.764,729.0,729.0,,,,97.111,897.0,897.0
2016-12-01,92.726,788.0,788.0,,,,70.626,652.0,652.0
2017-01-01,3.845,132.0,132.0,,,,38.988,359.0,359.0
2017-02-01,3.264,112.0,112.0,,,,71.458,658.0,658.0
2017-03-01,4.809,166.0,166.0,,,,90.848,837.0,837.0
2017-04-01,3.537,122.0,122.0,,,,94.667,872.0,872.0
2017-05-01,3.919,135.0,135.0,,,,102.06,940.0,940.0
2017-06-01,5.008,173.0,173.0,,,,116.394,1072.0,1072.0
2017-07-01,5.79,199.0,199.0,,,,113.9,1049.0,1049.0
2017-08-01,5.157,178.0,178.0,,,,113.848,1049.0,1049.0
2017-09-01,4.574,158.0,158.0,,,,97.108,895.0,895.0
2017-10-01,4.101,141.0,141.0,,,,61.693,568.0,568.0
2017-11-01,3.123,108.0,108.0,,,,64.012,590.0,590.0
2017-12-01,3.873,133.0,133.0,,,,42.024,387.0,387.0
2019-01-01,13.984,296.0,296.0,,,,71.641,638.0,638.0
2019-02-01,13.872,294.0,294.0,,,,85.74,764.0,764.0
2019-03-01,13.209,281.0,281.0,,,,120.828,1076.0,1076.0
2019-04-01,15.332,326.0,326.0,,,,114.753,1022.0,1022.0
2019-05-01,13.516,287.0,287.0,,,,125.416,1117.0,1117.0
2019-06-01,16.669,354.0,354.0,,,,136.707,1217.0,1217.0
2019-07-01,22.316,474.0,474.0,,,,153.193,1364.0,1364.0
2019-08-01,20.907,444.0,444.0,,,,137.398,1224.0,1224.0
2019-09-01,16.622,353.0,353.0,,,,117.707,1048.0,1048.0
2019-10-01,16.209,344.0,344.0,,,,84.399,752.0,752.0
2019-11-01,15.77,335.0,335.0,,,,80.88,720.0,720.0
2019-12-01,15.594,332.0,332.0,,,,50.338,448.0,448.0
2020-01-01,3.018,79.0,79.0,,,,50.748,445.0,445.0
2020-02-01,2.645,70.0,70.0,,,,57.016,500.0,500.0
2020-03-01,2.684,72.0,72.0,,,,81.659,716.0,716.0
2020-04-01,2.44,65.0,65.0,,,,84.917,744.0,744.0
2020-05-01,2.061,55.0,55.0,,,,111.133,974.0,974.0
2020-06-01,3.426,91.0,91.0,,,,116.66,1023.0,1023.0
2020-07-01,5.224,138.0,138.0,,,,109.875,963.0,963.0
2020-08-01,4.576,122.0,122.0,,,,94.936,832.0,832.0
2020-09-01,2.894,77.0,77.0,,,,87.231,765.0,765.0
2020-10-01,3.192,84.0,84.0,,,,62.991,552.0,552.0
2020-11-01,2.804,75.0,75.0,,,,57.802,507.0,507.0
2020-12-01,2.036,54.0,54.0,,,,40.032,351.0,351.0
2021-01-01,0.0,0.0,0.0,,,,17.607,156.0,156.0
2021-02-01,0.0,0.0,0.0,,,,10.484,93.0,93.0
2021-03-01,0.0,0.0,0.0,,,,34.377,304.0,304.0
2021-04-01,0.0,0.0,0.0,,,,33.899,300.0,300.0
2021-05-01,0.0,0.0,0.0,,,,38.344,339.0,339.0
2021-06-01,0.0,0.0,0.0,,,,38.185,338.0,338.0
2021-07-01,0.0,0.0,0.0,,,,36.687,324.0,324.0
2021-08-01,0.0,0.0,0.0,,,,32.09,284.0,284.0
2021-09-01,0.0,0.0,0.0,,,,28.991,256.0,256.0
2021-10-01,0.0,0.0,0.0,,,,23.231,205.0,205.0
2021-11-01,0.0,0.0,0.0,,,,20.084,178.0,178.0
2021-12-01,0.0,0.0,0.0,,,,18.021,159.0,159.0
2022-01-01,56.453,471.0,471.0,,,,72.111,246.0,246.0
2022-02-01,73.767,617.0,617.0,,,,88.03,300.0,300.0
2022-03-01,75.545,632.0,632.0,,,,117.91,402.0,402.0
2022-04-01,84.003,702.0,702.0,,,,139.54,476.0,476.0
2022-05-01,93.369,781.0,781.0,,,,143.158,488.0,488.0
2022-06-01,121.941,1019.0,1019.0,,,,148.355,506.0,506.0
2022-07-01,174.647,1461.0,1461.0,,,,150.928,515.0,515.0
2022-08-01,169.278,1416.0,1416.0,,,,154.669,528.0,528.0
2022-09-01,116.32,973.0,973.0,,,,129.363,441.0,441.0
2022-10-01,97.306,813.0,813.0,,,,107.167,366.0,366.0
2022-11-01,91.11,762.0,762.0,,,,85.203,291.0,291.0
