measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2014-01-01,1888.894,16423.0,16423.0
2014-02-01,1543.195,13417.0,13417.0
2014-03-01,1834.633,15951.0,15951.0
2014-04-01,1571.452,13663.0,13663.0
2014-05-01,1511.535,13142.0,13142.0
2014-06-01,1434.08,12469.0,12469.0
2014-07-01,1333.228,11592.0,11592.0
2014-08-01,1356.069,11790.0,11790.0
2014-09-01,1220.857,10615.0,10615.0
2014-10-01,1521.312,13227.0,13227.0
2014-11-01,1514.026,13164.0,13164.0
2014-12-01,1500.719,13048.0,13048.0
2015-01-01,1299.586,10967.0,10967.0
2015-02-01,1149.358,9699.0,9699.0
2015-03-01,1264.516,10671.0,10671.0
2015-04-01,1198.441,10113.0,10113.0
2015-05-01,1152.371,9725.0,9725.0
2015-06-01,1055.067,8904.0,8904.0
2015-07-01,1381.193,11656.0,11656.0
2015-08-01,1274.501,10755.0,10755.0
2015-09-01,1220.176,10297.0,10297.0
2015-10-01,1435.73,12116.0,12116.0
2015-11-01,1401.966,11831.0,11831.0
2015-12-01,1496.095,12626.0,12626.0
2016-01-01,1245.049,12497.0,12497.0
2016-02-01,1212.135,12167.0,12167.0
2016-03-01,1223.476,12281.0,12281.0
2016-04-01,1260.677,12654.0,12654.0
2016-05-01,1225.553,12301.0,12301.0
2016-06-01,1120.13,11243.0,11243.0
2016-07-01,1172.76,11771.0,11771.0
2016-08-01,1139.128,11434.0,11434.0
2016-09-01,1061.207,10652.0,10652.0
2016-10-01,1023.622,10275.0,10275.0
2016-11-01,1136.977,11412.0,11412.0
2016-12-01,1347.286,13523.0,13523.0
2017-01-01,1321.961,13742.0,13742.0
2017-02-01,1289.327,13402.0,13402.0
2017-03-01,1296.562,13477.0,13477.0
2017-04-01,1114.731,11587.0,11587.0
2017-05-01,1123.384,11677.0,11677.0
2017-06-01,1065.04,11070.0,11070.0
2017-07-01,1095.407,11386.0,11386.0
2017-08-01,1076.497,11190.0,11190.0
2017-09-01,910.902,9468.0,9468.0
2017-10-01,1131.787,11764.0,11764.0
2017-11-01,1241.908,12909.0,12909.0
2017-12-01,1265.494,13154.0,13154.0
2018-01-01,1169.506,12003.0,12003.0
2018-02-01,1061.018,10889.0,10889.0
2018-03-01,1123.327,11528.0,11528.0
2018-04-01,1076.6,11049.0,11049.0
2018-05-01,913.472,9375.0,9375.0
2018-06-01,1005.562,10320.0,10320.0
2018-07-01,1023.907,10508.0,10508.0
2018-08-01,982.92,10087.0,10087.0
2018-09-01,855.863,8784.0,8784.0
2018-10-01,1043.403,10708.0,10708.0
2018-11-01,1133.888,11637.0,11637.0
2018-12-01,1141.534,11715.0,11715.0
