measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2014-07-01,744.08,4970.0,4970.0
2014-08-01,768.076,5131.0,5131.0
2014-09-01,803.423,5367.0,5367.0
2014-10-01,792.568,5294.0,5294.0
2014-11-01,572.789,3826.0,3826.0
2014-12-01,623.064,4163.0,4163.0
2015-01-01,686.125,4821.0,4821.0
2015-02-01,508.055,3570.0,3570.0
2015-03-01,595.201,4183.0,4183.0
2015-04-01,571.166,4014.0,4014.0
2015-05-01,557.608,3919.0,3919.0
2015-06-01,784.094,5510.0,5510.0
2015-07-01,884.358,6215.0,6215.0
2015-08-01,932.835,6555.0,6555.0
2015-09-01,926.39,6511.0,6511.0
2015-10-01,892.39,6271.0,6271.0
2015-11-01,657.98,4624.0,4624.0
2015-12-01,703.798,4946.0,4946.0
2016-01-01,695.012,4997.0,4997.0
2016-02-01,551.578,3965.0,3965.0
2016-03-01,428.98,3085.0,3085.0
2016-04-01,410.245,2949.0,2949.0
2016-05-01,442.837,3183.0,3183.0
2016-06-01,673.701,4844.0,4844.0
2016-07-01,794.641,5713.0,5713.0
2016-08-01,878.902,6319.0,6319.0
2016-09-01,727.594,5230.0,5230.0
2016-10-01,717.718,5160.0,5160.0
2016-11-01,551.864,3967.0,3967.0
2016-12-01,624.928,4492.0,4492.0
2017-01-01,681.489,489.0,489.0
2017-02-01,520.167,374.0,374.0
2017-03-01,430.768,309.0,309.0
2017-04-01,384.807,276.0,276.0
2017-05-01,477.389,343.0,343.0
2017-06-01,628.077,451.0,451.0
2017-07-01,856.491,615.0,615.0
2017-08-01,966.858,694.0,694.0
2017-09-01,795.544,572.0,572.0
2017-10-01,753.434,541.0,541.0
2017-11-01,654.792,471.0,471.0
2017-12-01,694.184,499.0,499.0
2018-01-01,600.338,4412.0,4412.0
2018-02-01,527.111,3875.0,3875.0
2018-03-01,548.215,4029.0,4029.0
2018-04-01,412.578,3033.0,3033.0
2018-05-01,376.625,2769.0,2769.0
2018-06-01,515.207,3787.0,3787.0
2018-07-01,899.034,6609.0,6609.0
2018-08-01,831.686,6113.0,6113.0
2018-09-01,669.342,4920.0,4920.0
2018-10-01,748.173,5500.0,5500.0
2018-11-01,668.837,4916.0,4916.0
2018-12-01,673.854,4953.0,4953.0
2019-01-01,585.322,5256.0,5256.0
2019-02-01,542.719,4873.0,4873.0
2019-03-01,473.277,4250.0,4250.0
2019-04-01,332.097,2982.0,2982.0
2019-05-01,286.173,2570.0,2570.0
2019-06-01,382.664,3436.0,3436.0
2019-07-01,603.234,5416.0,5416.0
2019-08-01,708.57,6363.0,6363.0
2019-09-01,623.489,5599.0,5599.0
2019-10-01,638.588,5734.0,5734.0
2019-11-01,626.288,5624.0,5624.0
2019-12-01,649.579,5833.0,5833.0
2020-01-01,431.891,3366.0,3366.0
2020-02-01,381.4,2971.0,2971.0
2020-03-01,423.38,3299.0,3299.0
2020-04-01,299.414,2333.0,2333.0
2020-05-01,281.531,2193.0,2193.0
2020-06-01,396.032,3086.0,3086.0
2020-07-01,554.007,4316.0,4316.0
2020-08-01,688.947,5367.0,5367.0
2020-09-01,599.965,4674.0,4674.0
2020-10-01,623.079,4854.0,4854.0
2020-11-01,497.693,3877.0,3877.0
2020-12-01,551.661,4297.0,4297.0
2021-01-01,496.084,3673.0,3673.0
2021-02-01,420.696,3115.0,3115.0
2021-03-01,452.329,3349.0,3349.0
2021-04-01,401.367,2971.0,2971.0
2021-05-01,419.48,3106.0,3106.0
2021-06-01,573.615,4247.0,4247.0
2021-07-01,791.578,5861.0,5861.0
2021-08-01,722.737,5351.0,5351.0
2021-09-01,614.964,4553.0,4553.0
2021-10-01,586.25,4340.0,4340.0
2021-11-01,538.793,3989.0,3989.0
2021-12-01,556.107,4118.0,4118.0
2022-01-01,456.818,3397.0,3397.0
2022-02-01,379.282,2820.0,2820.0
2022-03-01,350.937,2610.0,2610.0
2022-04-01,359.476,2673.0,2673.0
2022-05-01,329.881,2453.0,2453.0
2022-06-01,448.66,3336.0,3336.0
2022-07-01,599.364,4457.0,4457.0
2022-08-01,723.213,5378.0,5378.0
2022-09-01,662.822,4930.0,4930.0
2022-10-01,608.701,4527.0,4527.0
2022-11-01,558.987,4157.0,4157.0
2022-12-01,617.859,4595.0,4595.0
2023-01-01,376.569,2886.0,2886.0
2023-02-01,320.764,2459.0,2459.0
2023-03-01,308.295,2363.0,2363.0
2023-04-01,240.843,1846.0,1846.0
2023-05-01,155.993,1196.0,1196.0
2023-06-01,205.214,1573.0,1573.0
2023-07-01,475.031,3641.0,3641.0
2023-08-01,479.315,3674.0,3674.0
2023-09-01,339.273,2601.0,2601.0
2023-10-01,414.315,3176.0,3176.0
2023-11-01,389.203,2983.0,2983.0
2023-12-01,438.185,3359.0,3359.0
2024-01-01,242.0,2272.0,2272.0
2024-02-01,203.0,1954.0,1954.0
2024-03-01,132.0,1577.0,1577.0
2024-04-01,123.0,1490.0,1490.0
2024-05-01,104.0,1230.0,1230.0
2024-06-01,90.0,957.0,957.0
2024-07-01,33.0,369.0,369.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
