measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2017-07-01,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
2020-01-01,-219.988,69731.0,69731.0
2020-02-01,-196.079,62151.0,62151.0
2020-03-01,-221.494,70207.0,70207.0
2020-04-01,-205.792,65230.0,65230.0
2020-05-01,-219.646,69621.0,69621.0
2020-06-01,-183.087,58034.0,58034.0
2020-07-01,-209.091,66275.0,66275.0
2020-08-01,-220.787,69983.0,69983.0
2020-09-01,-209.815,66505.0,66505.0
2020-10-01,-228.335,72376.0,72376.0
2020-11-01,-200.91,63683.0,63683.0
2020-12-01,-211.976,67190.0,67190.0
2021-01-01,331.878,3407.0,3407.0
2021-02-01,301.846,3099.0,3099.0
2021-03-01,346.165,3554.0,3554.0
2021-04-01,318.232,3267.0,3267.0
2021-05-01,350.636,3599.0,3599.0
2021-06-01,322.001,3305.0,3305.0
2021-07-01,347.923,3571.0,3571.0
2021-08-01,346.535,3557.0,3557.0
2021-09-01,338.451,3474.0,3474.0
2021-10-01,361.978,3716.0,3716.0
2021-11-01,334.872,3437.0,3437.0
2021-12-01,373.343,3832.0,3832.0
2022-01-01,317.327,3278.0,3278.0
2022-02-01,281.546,2909.0,2909.0
2022-03-01,287.173,2967.0,2967.0
2022-04-01,292.816,3025.0,3025.0
2022-05-01,313.246,3236.0,3236.0
2022-06-01,315.972,3265.0,3265.0
2022-07-01,316.249,3267.0,3267.0
2022-08-01,309.9,3201.0,3201.0
2022-09-01,299.819,3097.0,3097.0
2022-10-01,322.75,3335.0,3335.0
2022-11-01,287.722,2972.0,2972.0
2022-12-01,321.66,3323.0,3323.0
2024-01-01,12.875,211.0,211.0
2024-02-01,11.977,195.0,195.0
2024-03-01,11.262,184.0,184.0
2024-04-01,11.157,182.0,182.0
2024-05-01,12.151,198.0,198.0
2024-06-01,12.274,200.0,200.0
2024-07-01,12.701,207.0,207.0
2024-08-01,12.479,204.0,204.0
2024-09-01,12.478,204.0,204.0
2024-10-01,12.227,199.0,199.0
2024-11-01,10.772,176.0,176.0
2024-12-01,11.647,190.0,190.0
