measured_on,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2016-08-01,282.663,2610.0,2610.0
2016-09-01,261.351,2413.0,2413.0
2016-10-01,357.684,3302.0,3302.0
2016-11-01,381.374,3521.0,3521.0
2016-12-01,536.928,4957.0,4957.0
2017-01-01,473.762,4365.0,4365.0
2017-02-01,536.134,4939.0,4939.0
2017-03-01,541.663,4990.0,4990.0
2017-04-01,395.1,3640.0,3640.0
2017-05-01,390.941,3602.0,3602.0
2017-06-01,355.707,3277.0,3277.0
2017-07-01,230.256,2121.0,2121.0
2017-08-01,292.935,2699.0,2699.0
2017-09-01,306.953,2828.0,2828.0
2017-10-01,459.529,4234.0,4234.0
2017-11-01,553.46,5099.0,5099.0
2017-12-01,560.56,5164.0,5164.0
2018-01-01,522.271,4755.0,4755.0
2018-02-01,431.41,3928.0,3928.0
2018-03-01,531.352,4837.0,4837.0
2018-04-01,375.738,3421.0,3421.0
2018-05-01,337.872,3076.0,3076.0
2018-06-01,290.168,2642.0,2642.0
2018-07-01,244.675,2228.0,2228.0
2018-08-01,204.231,1859.0,1859.0
2018-09-01,261.646,2382.0,2382.0
2018-10-01,481.012,4379.0,4379.0
2018-11-01,461.417,4201.0,4201.0
2018-12-01,480.208,4372.0,4372.0
2019-01-01,493.653,4396.0,4396.0
2019-02-01,532.952,4746.0,4746.0
2019-03-01,546.99,4871.0,4871.0
2019-04-01,506.269,4508.0,4508.0
2019-05-01,324.094,2886.0,2886.0
2019-06-01,297.732,2651.0,2651.0
2019-07-01,231.978,2066.0,2066.0
2019-08-01,220.793,1966.0,1966.0
2019-09-01,322.079,2868.0,2868.0
2019-10-01,412.624,3674.0,3674.0
2019-11-01,511.975,4559.0,4559.0
2019-12-01,569.861,5075.0,5075.0
2020-01-01,487.254,4272.0,4272.0
2020-02-01,416.562,3652.0,3652.0
2020-03-01,551.197,4832.0,4832.0
2020-04-01,553.094,4849.0,4849.0
2020-05-01,491.732,4311.0,4311.0
2020-06-01,280.03,2455.0,2455.0
2020-07-01,281.336,2466.0,2466.0
2020-08-01,261.898,2296.0,2296.0
2020-09-01,289.018,2534.0,2534.0
2020-10-01,350.131,3070.0,3070.0
2020-11-01,501.747,4399.0,4399.0
2020-12-01,566.001,4962.0,4962.0
2021-01-01,576.057,5095.0,5095.0
2021-02-01,529.257,4681.0,4681.0
2021-03-01,506.716,4481.0,4481.0
2021-04-01,534.152,4724.0,4724.0
2021-05-01,515.849,4562.0,4562.0
2021-06-01,261.87,2316.0,2316.0
2021-07-01,119.902,1060.0,1060.0
2021-08-01,125.638,1111.0,1111.0
2021-09-01,187.562,1659.0,1659.0
2021-10-01,274.255,2426.0,2426.0
2021-11-01,383.562,3392.0,3392.0
2021-12-01,446.18,3946.0,3946.0
2022-01-01,478.579,1633.0,1633.0
2022-02-01,473.034,1614.0,1614.0
2022-03-01,499.067,1703.0,1703.0
2022-04-01,303.243,1035.0,1035.0
2022-05-01,386.345,1318.0,1318.0
2022-06-01,238.038,812.0,812.0
2022-07-01,293.51,1001.0,1001.0
2022-08-01,226.016,771.0,771.0
2022-09-01,308.636,1053.0,1053.0
2022-10-01,382.157,1304.0,1304.0
2022-11-01,457.395,1561.0,1561.0
2022-12-01,556.98,1900.0,1900.0
2023-01-01,454.0,1549.0,1549.0
2023-02-01,394.0,1344.0,1344.0
2023-03-01,536.0,1829.0,1829.0
2023-04-01,388.0,1324.0,1324.0
2023-05-01,358.0,1221.0,1221.0
2023-06-01,222.0,757.0,757.0
2023-07-01,218.0,744.0,744.0
2023-08-01,283.0,966.0,966.0
2023-09-01,309.0,1054.0,1054.0
2023-10-01,291.0,993.0,993.0
2023-11-01,421.0,1436.0,1436.0
2023-12-01,295.0,1007.0,1007.0
2024-01-01,418.0,1426.0,1426.0
2024-02-01,420.0,1433.0,1433.0
2024-03-01,547.0,1866.0,1866.0
2024-04-01,374.0,1276.0,1276.0
2024-05-01,316.0,1078.0,1078.0
2024-06-01,330.0,1126.0,1126.0
2024-07-01,264.0,901.0,901.0
2024-08-01,172.0,587.0,587.0
2024-09-01,234.0,798.0,798.0
2024-10-01,278.0,949.0,949.0
2024-11-01,493.0,1682.0,1682.0
2024-12-01,422.0,1440.0,1440.0
