measured_on,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,1641381.0,17139300.0,17139300.0
2001-02-01,1482806.0,15483460.0,15483460.0
2001-03-01,1050655.0,10970940.0,10970940.0
2001-04-01,909095.0,9492770.0,9492770.0
2001-05-01,1533526.0,16013078.0,16013078.0
2001-06-01,1568380.0,16377024.0,16377024.0
2001-07-01,1626269.0,16981501.0,16981501.0
2001-08-01,1618389.0,16899218.0,16899218.0
2001-09-01,1586322.0,16564374.0,16564374.0
2001-10-01,1639836.0,17123168.0,17123168.0
2001-11-01,1593926.0,16643775.0,16643775.0
2001-12-01,1614081.0,16854234.0,16854234.0
2002-01-01,1627242.0,16991661.0,16991661.0
2002-02-01,1368563.0,14290535.0,14290535.0
2002-03-01,813610.0,8495716.0,8495716.0
2002-04-01,959909.0,10023370.0,10023370.0
2002-05-01,1648911.0,17217929.0,17217929.0
2002-06-01,1586051.0,16561545.0,16561545.0
2002-07-01,1634103.0,17063304.0,17063304.0
2002-08-01,1631149.0,17032458.0,17032458.0
2002-09-01,1583552.0,16535450.0,16535450.0
2002-10-01,1274053.0,13303661.0,13303661.0
2002-11-01,1607308.0,16783510.0,16783510.0
2002-12-01,1663585.0,17371155.0,17371155.0
2003-01-01,820404.5,8549435.295000002,8549435.295000002
2003-02-01,711396.0,7413457.715,7413457.715
2003-03-01,488100.0,5086490.1,5086490.1
2003-04-01,511223.0,5327454.885,5327454.885
2003-05-01,824649.5,8593672.44,8593672.44
2003-06-01,787968.5,8211419.74,8211419.74
2003-07-01,826042.5,8608188.895,8608188.895
2003-08-01,821661.5,8562534.49,8562534.49
2003-09-01,693607.0,7228078.55,7228078.55
2003-10-01,833765.5,8688670.275,8688670.275
2003-11-01,812673.0,8468865.33,8468865.33
2003-12-01,848383.5,8841004.455,8841004.455
2004-01-01,825239.0,8604767.05,8604767.05
2004-02-01,701882.0,7318523.61,7318523.61
2004-03-01,432151.0,4506038.475,4506038.475
2004-04-01,494426.5,5155385.115,5155385.115
2004-05-01,834465.5,8700971.77,8700971.77
2004-06-01,808689.5,8432205.415,8432205.415
2004-07-01,840013.0,8758815.55,8758815.55
2004-08-01,833150.5,8687260.265,8687260.265
2004-09-01,809424.0,8439864.05,8439864.05
2004-10-01,847622.0,8838154.59,8838154.59
2004-11-01,724648.5,7555909.91,7555909.91
2004-12-01,859839.0,8965541.25,8965541.25
2005-01-01,861574.5,8990529.91,8990529.91
2005-02-01,690805.5,7208555.395,7208555.395
2005-03-01,519429.5,5420246.835,5420246.835
2005-04-01,741980.5,7742566.52,7742566.52
2005-05-01,842901.5,8795677.155000001,8795677.155000001
2005-06-01,734403.0,7663495.305,7663495.305
2005-07-01,820263.0,8559444.41,8559444.41
2005-08-01,828595.5,8646394.045,8646394.045
2005-09-01,808405.0,8435706.175,8435706.175
2005-10-01,801670.5,8365431.67,8365431.67
2005-11-01,619737.5,6466960.815,6466960.815
2005-12-01,862413.5,8999284.875,8999284.875
2006-01-01,861712.5,8991108.0,8991108.0
2006-02-01,766366.0,7996263.0,7996263.0
2006-03-01,464249.0,4843974.0,4843974.0
2006-04-01,618013.0,6448347.5,6448347.5
2006-05-01,776288.0,8099789.0,8099789.0
2006-06-01,751980.5,7846164.5,7846164.5
2006-07-01,819826.5,8554070.0,8554070.0
2006-08-01,830937.5,8670002.0,8670002.0
2006-09-01,790943.0,8252699.0,8252699.0
2006-10-01,587701.5,6132077.5,6132077.5
2006-11-01,770956.5,8044160.0,8044160.0
2006-12-01,863742.0,9012284.0,9012284.0
2007-01-01,862139.0,9039527.5,9039527.5
2007-02-01,778517.0,8162751.0,8162751.0
2007-03-01,454943.0,4770077.5,4770077.5
2007-04-01,581559.0,6097646.0,6097646.0
2007-05-01,851831.0,8931448.5,8931448.5
2007-06-01,811769.5,8511403.0,8511403.0
2007-07-01,838284.5,8789413.0,8789413.0
2007-08-01,834679.5,8751615.0,8751615.0
2007-09-01,814739.5,8542543.5,8542543.5
2007-10-01,590788.5,6194417.5,6194417.5
2007-11-01,833983.5,8744317.0,8744317.0
2007-12-01,865717.0,9077042.5,9077042.5
2008-01-01,865833.0,9080856.5,9080856.5
2008-02-01,805133.5,8444240.0,8444240.0
2008-03-01,471315.0,4943152.0,4943152.0
2008-04-01,567598.5,5952973.0,5952973.0
2008-05-01,867471.0,9098036.0,9098036.0
2008-06-01,817626.0,8575261.5,8575261.5
2008-07-01,851520.5,8930747.0,8930747.0
2008-08-01,836226.0,8770338.5,8770338.5
2008-09-01,831380.0,8719513.5,8719513.5
2008-10-01,875831.0,9185715.5,9185715.5
2008-11-01,846943.5,8882743.5,8882743.5
2008-12-01,883029.0,9261208.0,9261208.0
2009-01-01,885913.5,9291461.0,9291461.0
2009-02-01,801347.5,8404532.5,8404532.5
2009-03-01,863344.5,9054757.0,9054757.0
2009-04-01,502172.5,5266785.5,5266785.5
2009-05-01,594102.5,6230947.0,6230947.0
2009-06-01,844887.0,8861175.0,8861175.0
2009-07-01,878403.5,9212695.5,9212695.5
2009-08-01,872715.0,9153034.5,9153034.5
2009-09-01,847195.0,8885381.0,8885381.0
2009-10-01,891900.0,9354247.0,9354247.0
2009-11-01,869737.5,9121807.0,9121807.0
2009-12-01,891610.0,9351205.5,9351205.5
2010-01-01,903526.0,9449978.0,9449978.0
2010-02-01,782578.0,8184983.5,8184983.5
2010-03-01,459602.5,4806983.0,4806983.0
2010-04-01,345231.0,3610771.0,3610771.0
2010-05-01,782776.0,8187054.0,8187054.0
2010-06-01,864981.0,9046836.0,9046836.0
2010-07-01,658439.5,6886619.0,6886619.0
2010-08-01,838771.5,8772711.0,8772711.0
2010-09-01,880669.5,9210922.5,9210922.5
2010-10-01,912448.5,9543299.0,9543299.0
2010-11-01,898084.5,9393065.5,9393065.5
2010-12-01,930681.5,9733998.0,9733998.0
2011-01-01,864362.5,9044689.5,9044689.5
2011-02-01,841322.0,8803593.5,8803593.5
2011-03-01,795225.0,8321234.5,8321234.5
2011-04-01,514190.5,5380489.5,5380489.5
2011-05-01,222617.5,2355969.5,2355969.5
2011-06-01,43300.5,478628.5,478628.5
2011-07-01,805167.0,8425267.5,8425267.5
2011-08-01,850279.0,8897319.5,8897319.5
2011-09-01,908357.5,9505052.5,9505052.5
2011-10-01,952401.5,9965929.5,9965929.5
2011-11-01,922451.5,9652532.5,9652532.5
2011-12-01,962188.5,10068340.5,10068340.5
2013-01-01,956792.0,9997270.0,9997270.0
2013-02-01,863492.0,9022402.5,9022402.5
2013-03-01,956039.0,9989402.0,9989402.0
2013-04-01,638079.0,6667121.0,6667121.0
2013-05-01,112860.5,1227962.0,1227962.0
2013-06-01,570508.0,5961089.0,5961089.0
2013-07-01,870795.5,9098715.0,9098715.0
2013-08-01,934732.0,9766770.5,9766770.5
2013-09-01,727798.5,7604576.5,7604576.5
2013-10-01,947290.0,9897986.0,9897986.0
2013-11-01,909882.0,9507119.5,9507119.5
2013-12-01,961263.0,10043986.0,10043986.0
2014-01-01,956703.0,10006262.5,10006262.5
2014-02-01,851683.5,8907852.0,8907852.0
2014-03-01,558302.0,5839342.5,5839342.5
2014-04-01,629468.5,6583681.0,6583681.0
2014-05-01,468364.0,4898671.0,4898671.0
2014-06-01,694213.0,7260850.5,7260850.5
2014-07-01,852504.5,8916439.5,8916439.5
2014-08-01,907361.0,9490189.5,9490189.5
2014-09-01,745132.0,7793418.5,7793418.5
2014-10-01,945586.0,9889989.0,9889989.0
2014-11-01,930431.5,9731486.0,9731486.0
2014-12-01,850898.5,8899641.5,8899641.5
