measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2017-12-01,4.0,37.0,37.0
2018-01-01,651.984,5936.0,5936.0
2018-02-01,537.076,4890.0,4890.0
2018-03-01,631.114,5746.0,5746.0
2018-04-01,604.31,5502.0,5502.0
2018-05-01,461.102,4198.0,4198.0
2018-06-01,552.676,5032.0,5032.0
2018-07-01,323.353,2944.0,2944.0
2018-08-01,410.954,3741.0,3741.0
2018-09-01,518.748,4723.0,4723.0
2018-10-01,512.934,4670.0,4670.0
2018-11-01,520.87,4742.0,4742.0
2018-12-01,584.879,5325.0,5325.0
2019-01-01,600.132,5344.0,5344.0
2019-02-01,510.722,4548.0,4548.0
2019-03-01,694.468,6184.0,6184.0
2019-04-01,700.847,6241.0,6241.0
2019-05-01,569.84,5074.0,5074.0
2019-06-01,484.336,4313.0,4313.0
2019-07-01,493.21,4392.0,4392.0
2019-08-01,404.314,3600.0,3600.0
2019-09-01,666.956,5939.0,5939.0
2019-10-01,741.297,6601.0,6601.0
2019-11-01,690.048,6145.0,6145.0
2019-12-01,675.83,6018.0,6018.0
2020-01-01,654.848,5741.0,5741.0
2020-02-01,689.363,6044.0,6044.0
2020-03-01,667.232,5850.0,5850.0
2020-04-01,645.567,5660.0,5660.0
2020-05-01,557.548,4888.0,4888.0
2020-06-01,702.469,6159.0,6159.0
2020-07-01,507.7,4451.0,4451.0
2020-08-01,603.138,5288.0,5288.0
2020-09-01,654.932,5742.0,5742.0
2020-10-01,669.326,5868.0,5868.0
2020-11-01,710.712,6231.0,6231.0
2020-12-01,704.165,6173.0,6173.0
2021-01-01,530.09,4688.0,4688.0
2021-02-01,376.615,3331.0,3331.0
2021-03-01,656.611,5807.0,5807.0
2021-04-01,706.245,6246.0,6246.0
2021-05-01,590.37,5221.0,5221.0
2021-06-01,445.358,3939.0,3939.0
2021-07-01,430.236,3805.0,3805.0
2021-08-01,563.813,4986.0,4986.0
2021-09-01,577.777,5110.0,5110.0
2021-10-01,644.892,5703.0,5703.0
2021-11-01,716.244,6334.0,6334.0
2021-12-01,814.749,7206.0,7206.0
2022-01-01,739.315,2523.0,2523.0
2022-02-01,733.145,2501.0,2501.0
2022-03-01,830.752,2835.0,2835.0
2022-04-01,797.288,2720.0,2720.0
2022-05-01,581.731,1985.0,1985.0
2022-06-01,550.227,1877.0,1877.0
2022-07-01,477.104,1628.0,1628.0
2022-08-01,500.577,1708.0,1708.0
2022-09-01,592.18,2021.0,2021.0
2022-10-01,672.427,2294.0,2294.0
2022-11-01,846.147,2887.0,2887.0
2022-12-01,709.107,2419.0,2419.0
2023-01-01,673.0,2296.0,2296.0
2023-02-01,741.0,2528.0,2528.0
2023-03-01,701.0,2392.0,2392.0
2023-04-01,822.0,2805.0,2805.0
2023-05-01,585.0,1996.0,1996.0
2023-06-01,418.0,1426.0,1426.0
2023-07-01,340.0,1160.0,1160.0
2023-08-01,392.0,1338.0,1338.0
2023-09-01,330.0,1126.0,1126.0
2023-10-01,756.0,2579.0,2579.0
2023-11-01,588.0,2006.0,2006.0
2023-12-01,694.0,2368.0,2368.0
2024-01-01,239.0,815.0,815.0
2024-02-01,654.0,2231.0,2231.0
2024-03-01,857.0,2924.0,2924.0
2024-04-01,872.0,2975.0,2975.0
2024-05-01,699.0,2385.0,2385.0
2024-06-01,659.0,2249.0,2249.0
2024-07-01,326.0,1112.0,1112.0
2024-08-01,347.0,1184.0,1184.0
2024-09-01,517.0,1764.0,1764.0
2024-10-01,763.0,2603.0,2603.0
2024-11-01,702.0,2395.0,2395.0
2024-12-01,648.0,2211.0,2211.0
