measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2016-11-01,79.316,732.0,732.0
2016-12-01,57.684,533.0,533.0
2017-01-01,150.422,1386.0,1386.0
2017-02-01,275.684,2540.0,2540.0
2017-03-01,350.491,3229.0,3229.0
2017-04-01,365.224,3365.0,3365.0
2017-05-01,393.747,3628.0,3628.0
2017-06-01,449.045,4137.0,4137.0
2017-07-01,439.425,4048.0,4048.0
2017-08-01,439.224,4047.0,4047.0
2017-09-01,374.642,3452.0,3452.0
2017-10-01,238.011,2193.0,2193.0
2017-11-01,246.958,2275.0,2275.0
2017-12-01,162.127,1494.0,1494.0
2018-01-01,184.274,1678.0,1678.0
2018-02-01,171.278,1559.0,1559.0
2018-03-01,287.313,2616.0,2616.0
2018-04-01,285.899,2603.0,2603.0
2018-05-01,331.029,3014.0,3014.0
2018-06-01,367.677,3347.0,3347.0
2018-07-01,391.33,3563.0,3563.0
2018-08-01,340.218,3097.0,3097.0
2018-09-01,225.544,2053.0,2053.0
2018-10-01,208.253,1896.0,1896.0
2018-11-01,161.98,1475.0,1475.0
2018-12-01,154.205,1404.0,1404.0
2019-01-01,180.478,1607.0,1607.0
2019-02-01,215.993,1923.0,1923.0
2019-03-01,304.384,2711.0,2711.0
2019-04-01,289.081,2574.0,2574.0
2019-05-01,315.941,2813.0,2813.0
2019-06-01,344.385,3067.0,3067.0
2019-07-01,385.916,3437.0,3437.0
2019-08-01,346.126,3082.0,3082.0
2019-09-01,296.522,2641.0,2641.0
2019-10-01,212.615,1893.0,1893.0
2019-11-01,203.75,1814.0,1814.0
2019-12-01,126.809,1129.0,1129.0
2020-01-01,182.77,1602.0,1602.0
2020-02-01,204.055,1789.0,1789.0
2020-03-01,295.046,2587.0,2587.0
2020-04-01,295.853,2594.0,2594.0
2020-05-01,388.512,3406.0,3406.0
2020-06-01,390.565,3424.0,3424.0
2020-07-01,371.461,3257.0,3257.0
2020-08-01,315.396,2765.0,2765.0
2020-09-01,310.171,2719.0,2719.0
2020-10-01,220.207,1931.0,1931.0
2020-11-01,202.79,1778.0,1778.0
2020-12-01,137.174,1203.0,1203.0
2021-01-01,196.727,1740.0,1740.0
2021-02-01,139.147,1231.0,1231.0
2021-03-01,342.555,3030.0,3030.0
2021-04-01,349.081,3087.0,3087.0
2021-05-01,386.773,3421.0,3421.0
2021-06-01,382.826,3386.0,3386.0
2021-07-01,343.177,3035.0,3035.0
2021-08-01,328.013,2901.0,2901.0
2021-09-01,327.484,2896.0,2896.0
2021-10-01,253.529,2242.0,2242.0
2021-11-01,234.295,2072.0,2072.0
2021-12-01,156.393,1383.0,1383.0
2022-01-01,154.895,529.0,529.0
2022-02-01,194.224,663.0,663.0
2022-03-01,271.573,927.0,927.0
2022-04-01,317.453,1083.0,1083.0
2022-05-01,316.589,1080.0,1080.0
2022-06-01,335.794,1146.0,1146.0
2022-07-01,347.139,1184.0,1184.0
2022-08-01,345.522,1179.0,1179.0
2022-09-01,292.367,998.0,998.0
2022-10-01,284.758,972.0,972.0
2022-11-01,204.621,698.0,698.0
2022-12-01,156.065,532.0,532.0
2023-01-01,66.0,225.0,225.0
2023-02-01,158.0,539.0,539.0
2023-03-01,211.0,720.0,720.0
2023-04-01,292.0,996.0,996.0
2023-05-01,450.0,1535.0,1535.0
2023-06-01,358.0,1221.0,1221.0
2023-07-01,308.0,1051.0,1051.0
2023-08-01,346.0,1181.0,1181.0
2023-09-01,327.0,1116.0,1116.0
2023-10-01,209.0,713.0,713.0
2023-11-01,149.0,508.0,508.0
2023-12-01,78.0,266.0,266.0
2024-01-01,52.0,177.0,177.0
2024-02-01,206.0,703.0,703.0
2024-03-01,256.0,873.0,873.0
2024-04-01,219.0,747.0,747.0
2024-05-01,352.0,1201.0,1201.0
2024-06-01,310.0,1058.0,1058.0
2024-07-01,322.0,1099.0,1099.0
2024-08-01,270.0,921.0,921.0
2024-09-01,284.0,969.0,969.0
2024-10-01,263.0,897.0,897.0
2024-11-01,171.0,583.0,583.0
2024-12-01,89.0,304.0,304.0
