measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2017-12-01,,,,79.0,883.0,883.0
2018-01-01,,,,84.033,1086.0,1086.0
2018-02-01,,,,88.202,1140.0,1140.0
2018-03-01,,,,98.285,1270.0,1270.0
2018-04-01,,,,85.593,1106.0,1106.0
2018-05-01,,,,83.246,1075.0,1075.0
2018-06-01,,,,105.076,1358.0,1358.0
2018-07-01,,,,124.648,1610.0,1610.0
2018-08-01,,,,122.749,1586.0,1586.0
2018-09-01,,,,106.614,1378.0,1378.0
2018-10-01,,,,98.415,1271.0,1271.0
2018-11-01,,,,79.219,1023.0,1023.0
2018-12-01,,,,80.92,1045.0,1045.0
2019-01-01,,,,259.367,2569.0,2569.0
2019-02-01,,,,248.061,2457.0,2457.0
2019-03-01,,,,256.783,2544.0,2544.0
2019-04-01,,,,176.472,1749.0,1749.0
2019-05-01,,,,238.55,2364.0,2364.0
2019-06-01,,,,280.346,2778.0,2778.0
2019-07-01,,,,354.85,3515.0,3515.0
2019-08-01,,,,346.988,3438.0,3438.0
2019-09-01,,,,297.815,2951.0,2951.0
2019-10-01,,,,282.973,2804.0,2804.0
2019-11-01,,,,246.68,2444.0,2444.0
2019-12-01,,,,277.115,2746.0,2746.0
2020-01-01,,,,141.596,1394.0,1394.0
2020-02-01,,,,129.442,1274.0,1274.0
2020-03-01,,,,128.016,1260.0,1260.0
2020-04-01,,,,100.489,989.0,989.0
2020-05-01,,,,105.421,1038.0,1038.0
2020-06-01,,,,140.543,1384.0,1384.0
2020-07-01,,,,177.973,1752.0,1752.0
2020-08-01,,,,175.776,1731.0,1731.0
2020-09-01,,,,157.37,1550.0,1550.0
2020-10-01,,,,136.009,1339.0,1339.0
2020-11-01,,,,103.276,1017.0,1017.0
2020-12-01,,,,146.089,1438.0,1438.0
2021-01-01,,,,474.669,4393.0,4393.0
2021-02-01,,,,424.61,3929.0,3929.0
2021-03-01,,,,421.951,3904.0,3904.0
2021-04-01,,,,357.346,3306.0,3306.0
2021-05-01,,,,411.834,3811.0,3811.0
2021-06-01,,,,473.998,4386.0,4386.0
2021-07-01,,,,518.944,4802.0,4802.0
2021-08-01,22.849,0.0,0.0,518.008,4793.0,4793.0
2021-09-01,21.637,0.0,0.0,464.115,4294.0,4294.0
2021-10-01,24.164,0.0,0.0,404.799,3746.0,3746.0
2021-11-01,23.262,0.0,0.0,419.806,3884.0,3884.0
2021-12-01,25.088,0.0,0.0,483.92,4478.0,4478.0
2022-01-01,-41.599,0.0,0.0,813.114,9272.0,9272.0
2022-02-01,-34.91,0.0,0.0,757.285,8637.0,8637.0
2022-03-01,-45.247,0.0,0.0,786.839,8974.0,8974.0
2022-04-01,-42.274,0.0,0.0,625.887,7139.0,7139.0
2022-05-01,-41.959,0.0,0.0,659.332,7519.0,7519.0
2022-06-01,-41.317,0.0,0.0,788.854,8997.0,8997.0
2022-07-01,-45.373,0.0,0.0,940.699,10728.0,10728.0
2022-08-01,-43.752,0.0,0.0,933.824,10650.0,10650.0
2022-09-01,-37.12,0.0,0.0,845.138,9639.0,9639.0
2022-10-01,-42.238,0.0,0.0,802.068,9148.0,9148.0
2022-11-01,-45.054,0.0,0.0,725.937,8279.0,8279.0
2022-12-01,-47.157,0.0,0.0,830.023,9466.0,9466.0
2023-01-01,-33.0,0.0,0.0,106.828,1380.0,1380.0
2023-02-01,-60.0,0.0,0.0,97.783,1264.0,1264.0
2023-03-01,-57.0,0.0,0.0,103.021,1332.0,1332.0
2023-04-01,-39.0,0.0,0.0,80.833,1045.0,1045.0
2023-05-01,-43.0,0.0,0.0,87.038,1126.0,1126.0
2023-06-01,-64.0,0.0,0.0,104.991,1358.0,1358.0
2023-07-01,-60.0,0.0,0.0,118.636,1534.0,1534.0
2023-08-01,-55.0,0.0,0.0,117.363,1518.0,1518.0
2023-09-01,-57.0,0.0,0.0,104.719,1354.0,1354.0
2023-10-01,-50.0,0.0,0.0,79.165,1023.0,1023.0
2023-11-01,-58.0,0.0,0.0,80.536,1041.0,1041.0
2023-12-01,-35.0,0.0,0.0,97.087,1255.0,1255.0
2024-01-01,,,,105.398,1409.0,1409.0
2024-02-01,,,,103.697,1385.0,1385.0
2024-03-01,,,,109.325,1460.0,1460.0
2024-04-01,,,,87.324,1166.0,1166.0
2024-05-01,,,,103.751,1386.0,1386.0
2024-06-01,,,,117.663,1571.0,1571.0
2024-07-01,,,,127.07,1696.0,1696.0
2024-08-01,,,,122.379,1634.0,1634.0
2024-09-01,,,,106.978,1428.0,1428.0
2024-10-01,,,,81.183,1084.0,1084.0
2024-11-01,,,,92.974,1241.0,1241.0
2024-12-01,,,,111.258,1485.0,1485.0
