measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,62.0,934.0,934.0,145.0,2041.0,2041.0,126740.0,1360055.0,1360055.0
2001-02-01,19.0,292.0,292.0,87.0,908.0,908.0,111213.0,1229957.0,1229957.0
2001-03-01,0.0,0.0,0.0,64.0,631.0,631.0,128804.0,1405624.0,1405624.0
2001-04-01,0.0,0.0,0.0,90.0,1382.0,1382.0,124528.0,1370401.0,1370401.0
2001-05-01,1.0,12.0,12.0,415.0,5482.0,5482.0,116475.0,1291213.0,1291213.0
2001-06-01,29.0,479.0,479.0,1487.0,19322.0,19322.0,81128.0,912224.0,912224.0
2001-07-01,0.0,0.0,0.0,7015.0,91736.0,91736.0,120768.0,1327112.0,1327112.0
2001-08-01,0.0,0.0,0.0,11494.0,148686.0,148686.0,118255.0,1284607.0,1284607.0
2001-09-01,8.0,111.0,111.0,2634.0,34904.0,34904.0,114642.0,1249758.0,1249758.0
2001-10-01,0.0,0.0,0.0,1166.0,12722.0,12722.0,97665.0,1072043.0,1072043.0
2001-11-01,0.0,0.0,0.0,524.0,5701.0,5701.0,115870.0,1257860.0,1257860.0
2001-12-01,0.0,0.0,0.0,353.0,3770.0,3770.0,117176.0,1273032.0,1273032.0
2002-01-01,0.0,0.0,0.0,817.0,9274.0,9274.0,117512.0,1288435.0,1288435.0
2002-02-01,0.0,0.0,0.0,235.0,4667.0,4667.0,801.0,16038.0,16038.0
2002-03-01,0.0,0.0,0.0,42.0,696.0,696.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,4160.0,43553.0,43553.0,75644.0,781146.0,781146.0
2002-05-01,0.0,0.0,0.0,805.0,11390.0,11390.0,117342.0,1248363.0,1248363.0
2002-06-01,183.0,2691.0,2691.0,473.0,6683.0,6683.0,121897.0,1308104.0,1308104.0
2002-07-01,0.0,0.0,0.0,2087.0,27918.0,27918.0,128285.0,1385890.0,1385890.0
2002-08-01,0.0,0.0,0.0,1041.0,15457.0,15457.0,128361.0,1373733.0,1373733.0
2002-09-01,0.0,0.0,0.0,197.0,2104.0,2104.0,122835.0,1320956.0,1320956.0
2002-10-01,0.0,0.0,0.0,1111.0,14223.0,14223.0,110538.0,1180549.0,1180549.0
2002-11-01,0.0,0.0,0.0,123.0,1884.0,1884.0,121059.0,1301394.0,1301394.0
2002-12-01,0.0,0.0,0.0,1135.0,13045.0,13045.0,125844.0,1360329.0,1360329.0
2003-01-01,0.0,0.0,0.0,710.0,8163.5,8163.5,125227.0,1293496.0,1293496.0
2003-02-01,2685.0,34696.0,34696.0,18.0,228.0,228.0,110897.0,1155541.0,1155541.0
2003-03-01,0.0,0.0,0.0,30.5,361.0,361.0,121949.0,1291981.0,1291981.0
2003-04-01,0.0,0.0,0.0,99.5,1428.5,1428.5,71462.0,759384.0,759384.0
2003-05-01,0.0,0.0,0.0,446.5,4835.5,4835.5,75316.0,797280.0,797280.0
2003-06-01,0.0,0.0,0.0,6.0,61.5,61.5,122859.0,1293526.0,1293526.0
2003-07-01,0.0,0.0,0.0,314.5,3853.5,3853.5,108797.0,1160880.0,1160880.0
2003-08-01,0.0,0.0,0.0,771.0,11022.5,11022.5,123263.0,1312981.0,1312981.0
2003-09-01,0.0,0.0,0.0,471.5,6130.5,6130.5,111085.0,1182526.0,1182526.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,125339.0,1330158.0,1330158.0
2003-11-01,0.0,0.0,0.0,60.0,647.5,647.5,119788.0,1283304.0,1283304.0
2003-12-01,0.0,0.0,0.0,129.0,1394.0,1394.0,122495.0,1317730.0,1317730.0
2004-01-01,1.0,644.0,644.0,50.0,555.0,555.0,124729.0,1347140.0,1347140.0
2004-02-01,3.0,1833.0,1833.0,54.0,801.5,801.5,115872.0,1248687.0,1248687.0
2004-03-01,0.0,0.0,0.0,96.0,1050.0,1050.0,112680.0,1199538.0,1199538.0
2004-04-01,0.0,0.0,0.0,42.5,508.0,508.0,5673.0,67366.0,67366.0
2004-05-01,0.0,0.0,0.0,176.5,1921.0,1921.0,94951.0,1025727.0,1025727.0
2004-06-01,0.0,0.0,0.0,12.0,139.0,139.0,118887.0,1266872.0,1266872.0
2004-07-01,0.0,0.0,0.0,323.5,4315.0,4315.0,115024.0,1284739.0,1284739.0
2004-08-01,0.0,0.0,0.0,136.0,1449.5,1449.5,117516.0,1277417.0,1277417.0
2004-09-01,0.0,0.0,0.0,194.0,2389.5,2389.5,115976.0,1264190.0,1264190.0
2004-10-01,0.0,0.0,0.0,164.5,2338.0,2338.0,120432.0,1330717.0,1330717.0
2004-11-01,0.0,0.0,0.0,6.0,64.5,64.5,118701.0,1288823.0,1288823.0
2004-12-01,50.0,510.0,510.0,6.5,80.0,80.0,125255.0,1386792.0,1386792.0
