measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2019-01-01,426.376,3797.0,3797.0
2019-02-01,420.349,3743.0,3743.0
2019-03-01,670.553,5971.0,5971.0
2019-04-01,797.373,7101.0,7101.0
2019-05-01,835.719,7442.0,7442.0
2019-06-01,946.143,8425.0,8425.0
2019-07-01,834.408,7430.0,7430.0
2019-08-01,903.742,8048.0,8048.0
2019-09-01,728.1,6484.0,6484.0
2019-10-01,749.445,6674.0,6674.0
2019-11-01,422.777,3765.0,3765.0
2019-12-01,336.015,2992.0,2992.0
2020-01-01,229.083,2008.0,2008.0
2020-02-01,264.549,2319.0,2319.0
2020-03-01,298.492,2617.0,2617.0
2020-04-01,399.01,3498.0,3498.0
2020-05-01,432.204,3789.0,3789.0
2020-06-01,412.928,3620.0,3620.0
2020-07-01,413.775,3628.0,3628.0
2020-08-01,380.408,3335.0,3335.0
2020-09-01,343.708,3013.0,3013.0
2020-10-01,324.024,2841.0,2841.0
2020-11-01,231.406,2029.0,2029.0
2020-12-01,205.413,1801.0,1801.0
2021-01-01,201.493,1782.0,1782.0
2021-02-01,255.817,2262.0,2262.0
2021-03-01,317.21,2805.0,2805.0
2021-04-01,356.018,3149.0,3149.0
2021-05-01,422.709,3738.0,3738.0
2021-06-01,379.717,3358.0,3358.0
2021-07-01,307.931,2723.0,2723.0
2021-08-01,341.32,3019.0,3019.0
2021-09-01,303.863,2687.0,2687.0
2021-10-01,289.551,2561.0,2561.0
2021-11-01,213.788,1891.0,1891.0
2021-12-01,161.583,1429.0,1429.0
2022-01-01,157.376,537.0,537.0
2022-02-01,181.686,620.0,620.0
2022-03-01,228.185,779.0,779.0
2022-04-01,256.398,875.0,875.0
2022-05-01,296.998,1013.0,1013.0
2022-06-01,283.687,968.0,968.0
2022-07-01,254.243,867.0,867.0
2022-08-01,243.718,832.0,832.0
2022-09-01,224.48,766.0,766.0
2022-10-01,219.47,749.0,749.0
2022-11-01,161.9,552.0,552.0
2022-12-01,123.859,423.0,423.0
2023-01-01,177.0,604.0,604.0
2023-02-01,206.0,703.0,703.0
2023-03-01,279.0,952.0,952.0
2023-04-01,327.0,1116.0,1116.0
2023-05-01,324.0,1105.0,1105.0
2023-06-01,271.0,925.0,925.0
2023-07-01,231.0,788.0,788.0
2023-08-01,277.0,945.0,945.0
2023-09-01,213.0,727.0,727.0
2023-10-01,148.0,505.0,505.0
2023-11-01,102.0,348.0,348.0
2023-12-01,78.0,266.0,266.0
2024-01-01,57.0,194.0,194.0
2024-02-01,70.0,239.0,239.0
2024-03-01,99.0,338.0,338.0
2024-04-01,124.0,423.0,423.0
2024-05-01,134.0,457.0,457.0
2024-06-01,120.0,409.0,409.0
2024-07-01,123.0,420.0,420.0
2024-08-01,103.0,351.0,351.0
2024-09-01,86.0,293.0,293.0
2024-10-01,72.0,246.0,246.0
2024-11-01,53.0,181.0,181.0
2024-12-01,44.0,150.0,150.0
