measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2019-12-01,0.0,0.0,0.0
2020-01-01,436.327,5186.0,5186.0
2020-02-01,428.487,5092.0,5092.0
2020-03-01,445.291,5292.0,5292.0
2020-04-01,442.86,5263.0,5263.0
2020-05-01,479.068,5693.0,5693.0
2020-06-01,436.79,5190.0,5190.0
2020-07-01,582.656,6924.0,6924.0
2020-08-01,514.964,6119.0,6119.0
2020-09-01,404.333,4805.0,4805.0
2020-10-01,377.162,4483.0,4483.0
2020-11-01,339.713,4037.0,4037.0
2020-12-01,412.349,4900.0,4900.0
2021-01-01,1311.746,19832.0,19832.0
2021-02-01,1073.255,16228.0,16228.0
2021-03-01,810.993,12262.0,12262.0
2021-04-01,1195.759,18079.0,18079.0
2021-05-01,1241.869,18777.0,18777.0
2021-06-01,1363.851,20622.0,20622.0
2021-07-01,1619.764,24491.0,24491.0
2021-08-01,1668.798,25232.0,25232.0
2021-09-01,1480.075,22379.0,22379.0
2021-10-01,1376.44,20812.0,20812.0
2021-11-01,1104.423,16699.0,16699.0
2021-12-01,1492.027,22559.0,22559.0
2022-01-01,7441.838,93633.0,93633.0
2022-02-01,6919.789,87064.0,87064.0
2022-03-01,5621.72,70732.0,70732.0
2022-04-01,4817.424,60612.0,60612.0
2022-05-01,7523.176,94655.0,94655.0
2022-06-01,9410.802,118405.0,118405.0
2022-07-01,10522.968,132398.0,132398.0
2022-08-01,10660.083,134124.0,134124.0
2022-09-01,8782.213,110497.0,110497.0
2022-10-01,7913.199,99563.0,99563.0
2022-11-01,6111.206,76890.0,76890.0
2022-12-01,5493.582,69120.0,69120.0
2023-01-01,8190.463,94101.0,94101.0
2023-02-01,7975.119,91626.0,91626.0
2023-03-01,8708.079,100047.0,100047.0
2023-04-01,9188.576,105567.0,105567.0
2023-05-01,9908.099,113834.0,113834.0
2023-06-01,9281.555,106635.0,106635.0
2023-07-01,11067.302,127152.0,127152.0
2023-08-01,10750.754,123515.0,123515.0
2023-09-01,8787.311,100957.0,100957.0
2023-10-01,8208.379,94306.0,94306.0
2023-11-01,7881.672,90552.0,90552.0
2023-12-01,8579.691,98572.0,98572.0
2024-01-01,7482.545,92811.0,92811.0
2024-02-01,7630.864,94650.0,94650.0
2024-03-01,6197.125,76866.0,76866.0
2024-04-01,5092.843,63169.0,63169.0
2024-05-01,8182.056,101486.0,101486.0
2024-06-01,8045.005,99786.0,99786.0
2024-07-01,9257.25,114822.0,114822.0
2024-08-01,10666.141,132298.0,132298.0
2024-09-01,8812.174,109302.0,109302.0
2024-10-01,9566.915,118664.0,118664.0
2024-11-01,6616.446,82068.0,82068.0
2024-12-01,7441.636,92302.0,92302.0
