measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2019-01-01,1607.644,15979.0,15979.0
2019-02-01,1490.625,14814.0,14814.0
2019-03-01,1299.898,12919.0,12919.0
2019-04-01,912.135,9065.0,9065.0
2019-05-01,785.999,7812.0,7812.0
2019-06-01,1051.022,10445.0,10445.0
2019-07-01,1656.836,16466.0,16466.0
2019-08-01,1946.152,19341.0,19341.0
2019-09-01,1712.469,17019.0,17019.0
2019-10-01,1753.938,17431.0,17431.0
2019-11-01,1720.156,17095.0,17095.0
2019-12-01,1784.126,17731.0,17731.0
2020-01-01,1164.574,227.0,227.0
2020-02-01,1028.43,200.0,200.0
2020-03-01,1141.626,222.0,222.0
2020-04-01,807.358,157.0,157.0
2020-05-01,759.135,148.0,148.0
2020-06-01,1067.883,208.0,208.0
2020-07-01,1493.856,291.0,291.0
2020-08-01,1857.715,361.0,361.0
2020-09-01,1617.78,315.0,315.0
2020-10-01,1680.105,327.0,327.0
2020-11-01,1342.008,261.0,261.0
2020-12-01,1487.53,289.0,289.0
2021-01-01,1560.697,14121.0,14121.0
2021-02-01,1323.521,11974.0,11974.0
2021-03-01,1423.041,12875.0,12875.0
2021-04-01,1262.712,11425.0,11425.0
2021-05-01,1319.697,11940.0,11940.0
2021-06-01,1804.61,16327.0,16327.0
2021-07-01,2490.328,22531.0,22531.0
2021-08-01,2273.753,20572.0,20572.0
2021-09-01,1934.696,17505.0,17505.0
2021-10-01,1844.359,16687.0,16687.0
2021-11-01,1695.057,15336.0,15336.0
2021-12-01,1749.529,15829.0,15829.0
2022-01-01,1502.124,14334.0,14334.0
2022-02-01,1247.163,11900.0,11900.0
2022-03-01,1153.957,11011.0,11011.0
2022-04-01,1182.038,11279.0,11279.0
2022-05-01,1084.721,10350.0,10350.0
2022-06-01,1475.293,14077.0,14077.0
2022-07-01,1970.842,18805.0,18805.0
2022-08-01,2378.084,22691.0,22691.0
2022-09-01,2179.507,20796.0,20796.0
2022-10-01,2001.543,19098.0,19098.0
2022-11-01,1838.072,17539.0,17539.0
2022-12-01,2031.656,19386.0,19386.0
2023-01-01,1637.436,15970.0,15970.0
2023-02-01,1394.777,13603.0,13603.0
2023-03-01,1340.56,13074.0,13074.0
2023-04-01,1047.257,10214.0,10214.0
2023-05-01,678.303,6615.0,6615.0
2023-06-01,892.332,8703.0,8703.0
2023-07-01,2065.575,20145.0,20145.0
2023-08-01,2084.207,20327.0,20327.0
2023-09-01,1475.259,14388.0,14388.0
2023-10-01,1801.565,17571.0,17571.0
2023-11-01,1692.369,16506.0,16506.0
2023-12-01,1905.36,18583.0,18583.0
2024-01-01,1377.0,14138.0,14138.0
2024-02-01,1490.0,14604.0,14604.0
2024-03-01,1783.0,17754.0,17754.0
2024-04-01,1712.0,17234.0,17234.0
2024-05-01,1520.0,15351.0,15351.0
2024-06-01,1654.0,16845.0,16845.0
2024-07-01,1282.0,13879.0,13879.0
2024-08-01,1592.0,15990.0,15990.0
2024-09-01,1211.0,12296.0,12296.0
2024-10-01,1007.0,11006.0,11006.0
2024-11-01,1130.0,12418.0,12418.0
2024-12-01,1598.0,15881.0,15881.0
