measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2004-01-01,-1.167,199.0,199.0,,,
2004-02-01,-1.167,199.0,199.0,,,
2004-03-01,-1.167,199.0,199.0,,,
2004-04-01,-1.167,199.0,199.0,,,
2004-05-01,-1.167,199.0,199.0,,,
2004-06-01,-1.167,199.0,199.0,,,
2004-07-01,-1.167,199.0,199.0,,,
2004-08-01,-1.167,199.0,199.0,,,
2004-09-01,-1.167,199.0,199.0,,,
2004-10-01,-1.167,199.0,199.0,,,
2004-11-01,-1.167,199.0,199.0,,,
2004-12-01,-1.167,199.0,199.0,,,
2005-01-01,26.96,517.53,517.53,,,
2005-02-01,13.683,262.66,262.66,,,
2005-03-01,16.56,317.89,317.89,,,
2005-04-01,17.256,331.26,331.26,,,
2005-05-01,20.333000000000002,390.33,390.33,,,
2005-06-01,18.409000000000002,353.4,353.4,,,
2005-07-01,29.478,565.88,565.88,,,
2005-08-01,32.622,626.23,626.23,,,
2005-09-01,32.396,621.88,621.88,,,
2005-10-01,19.331,371.08,371.08,,,
2005-11-01,15.408000000000001,295.77,295.77,,,
2005-12-01,33.563,644.3,644.3,,,
2006-01-01,13.649000000000001,312.0,312.0,,,
2006-02-01,13.507000000000001,309.0,309.0,,,
2006-03-01,11.843,271.0,271.0,,,
2006-04-01,15.623000000000001,357.0,357.0,,,
2006-05-01,14.119000000000002,323.0,323.0,,,
2006-06-01,16.886,386.0,386.0,,,
2006-07-01,16.38,375.0,375.0,,,
2006-08-01,17.629,403.0,403.0,,,
2006-09-01,12.524000000000001,286.0,286.0,,,
2006-10-01,16.119,369.0,369.0,,,
2006-11-01,14.07,322.0,322.0,,,
