measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2020-06-01,3034.872,135628.0,135628.0
2020-07-01,3255.377,145482.0,145482.0
2020-08-01,2885.297,128944.0,128944.0
2020-09-01,2394.421,107007.0,107007.0
2020-10-01,2421.203,108204.0,108204.0
2020-11-01,1992.214,89032.0,89032.0
2020-12-01,2810.616,125606.0,125606.0
2022-01-01,2983.772,134492.0,134492.0
2022-02-01,2607.396,117526.0,117526.0
2022-03-01,2339.224,105438.0,105438.0
2022-04-01,2624.804,118311.0,118311.0
2022-05-01,2649.084,119406.0,119406.0
2022-06-01,2832.271,127662.0,127662.0
2022-07-01,2967.471,133756.0,133756.0
2022-08-01,2869.463,129339.0,129339.0
2022-09-01,2352.905,106055.0,106055.0
2022-10-01,3043.267,137173.0,137173.0
2022-11-01,2713.021,122287.0,122287.0
2022-12-01,3044.322,137221.0,137221.0
2023-01-01,2946.805,33515.0,132489.0
2023-02-01,2773.865,31548.0,124713.0
2023-03-01,2931.922,33346.0,131819.0
2023-04-01,2276.02,25886.0,102330.0
2023-05-01,2594.557,29509.0,116652.0
2023-06-01,3408.647,38768.0,153252.0
2023-07-01,3445.866,39191.0,154926.0
2023-08-01,2965.612,33729.0,133334.0
2023-09-01,2647.723,30113.0,119042.0
2023-10-01,2497.364,28403.0,112282.0
2023-11-01,2669.02,30356.0,119999.0
2023-12-01,2927.599,33297.0,131624.0
2024-01-01,2869.243,32633.0,127401.0
2024-02-01,2838.309,32281.0,126028.0
2024-03-01,2858.823,32514.0,126938.0
2024-04-01,2377.78,27043.0,105580.0
2024-05-01,2779.184,31609.0,123402.0
2024-06-01,2922.499,33239.0,129766.0
2024-07-01,3418.216,38877.0,151778.0
2024-08-01,3264.504,37128.0,144952.0
2024-09-01,2602.954,29604.0,115577.0
2024-10-01,3219.506,36617.0,142954.0
2024-11-01,2623.591,29839.0,116494.0
2024-12-01,2980.391,33897.0,132337.0
