measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,1384.0,12561.0,12561.0
2023-10-01,714.0,6335.0,6335.0
2023-11-01,1250.0,11962.0,11962.0
2023-12-01,1718.0,14908.0,14908.0
2024-01-01,1525.0,13202.0,13202.0
2024-02-01,1611.0,14234.0,14234.0
2024-03-01,1725.0,15181.0,15181.0
2024-04-01,1442.0,14970.0,14970.0
2024-05-01,1790.0,16032.0,16032.0
2024-06-01,1543.0,14026.0,14026.0
2024-07-01,1556.0,14500.0,14500.0
2024-08-01,1242.0,11011.0,11011.0
2024-09-01,474.0,4619.0,4619.0
2024-10-01,1370.0,12893.0,12893.0
2024-11-01,1434.0,14067.0,14067.0
2024-12-01,1080.0,11229.0,11229.0
